,Track Name,Artist,Count,Streams,Position,spotify_id
0,Say You Won't Let Go,James Arthur,148,98253,7,5uCax9HTNlzGybIStD3vDh
1,Shape of You,Ed Sheeran,147,98651,1,7qiZfU4dY1lWllzX7mPBI3
2,Perfect,Ed Sheeran,141,99552,5,0tgVpDi06FyKpA1z0VMD4v
3,Believer,Imagine Dragons,139,99987,9,0CcQNd8CINkwQfe1RDtGV6
4,goosebumps,Travis Scott,137,54615,51,6gBFPUFcJLzWGx4lenP6h2
5,I Like Me Better,Lauv,134,83588,26,1wjzFQodRWrPcQ0AnYnvQ9
6,Congratulations,Post Malone,124,95229,7,3a1lNhkSLSkpJE4MSHpDu9
7,Thunder,Imagine Dragons,122,96532,13,0tKcYR2II1VCQWT79i5NrW
8,HUMBLE.,Kendrick Lamar,119,99874,1,7KXjTSCq5nL1LoYtL7XAwS
9,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,119,98742,15,4e4fqjx0Izh4svvTef1z7e
10,Unforgettable,French Montana,112,90593,1,1F2HXIJrE2Xn81OzT2zZvW
11,Young Dumb & Broke,Khalid,107,89657,22,5Z3GHaZ6ec9bsiI5BenrbY
12,I Fall Apart,Post Malone,104,98609,9,75ZvA4QfFiZvzhj2xkaWAh
13,Don't Stop Believin',Journey,103,48725,97,4bHsxqR3GMrXTxEPLuK5ue
14,Location,Khalid,103,73260,32,152lZdxL1OR0ZMW6KquMif
15,Body Like A Back Road,Sam Hunt,103,76798,29,7mldq42yDuxiUNn08nvzHO
16,XO Tour Llif3,Lil Uzi Vert,99,98723,5,7GX5flRQZVHRAGd6B4TmDO
17,Ric Flair Drip (& Metro Boomin),Offset,99,99887,6,7sO5G9EABYOXQKNPNiE9NR
18,BUTTERFLY EFFECT,Travis Scott,98,94266,16,1yxgsra98r3qAtxqiGZPiX
19,Closer (feat. Halsey),The Chainsmokers,97,95043,5,7BKLCZ1jbUBVqRi2FVlTVw
20,Jocelyn Flores,XXXTENTACION,96,98841,6,7m9OqQk4RVRkw9JJdeAw96
21,SAD!,XXXTENTACION,95,99315,1,35ieKju5aLWFN5UgfJ27mL
22,God's Plan,Drake,94,96576,1,2VWbHHhWnMzKWPUs4IEEW9
23,Youngblood,5 Seconds of Summer,89,97483,11,2iUXsYOEPhVqEBwsqP70rE
24,One Dance,Drake,89,63364,20,1xznGGDReH1oQq0xzbwXa3
25,Better Now,Post Malone,87,97092,1,7dt6x5M1jzdTEt8oCbisTK
26,rockstar (feat. 21 Savage),Post Malone,87,94043,7,0e7ipj03S05BNilyu5bRzt
27,Silence,Marshmello,87,99751,6,7vGuf3Y35N4wmASOKLUVVU
28,The Middle,Zedd,86,98780,7,09IStsImFySgyp0pIQdqAc
29,Lucid Dreams,Juice WRLD,85,97931,4,0X8DcetL926BYiPJYstJTc
30,New Rules,Dua Lipa,85,98953,9,2ekn2ttSfGqwhhate0LSR0
31,Psycho (feat. Ty Dolla $ign),Post Malone,83,98767,1,3swc6WTsr7rl9DqQKQA55C
