,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,149,9619,1,7qiZfU4dY1lWllzX7mPBI3
1,Believer,Imagine Dragons,116,9735,10,0CcQNd8CINkwQfe1RDtGV6
2,Perfect,Ed Sheeran,115,9317,4,0tgVpDi06FyKpA1z0VMD4v
3,Thunder,Imagine Dragons,96,8958,4,0tKcYR2II1VCQWT79i5NrW
4,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,93,6966,80,5Z01UMMf7V1o0MzF86s6WJ
5,079,Lo & Leduc,92,9845,1,3dfCKQy9JY2ixI58zTeUn9
6,Ohne mein Team,Bonez MC,89,6370,68,05Mp2UJulSttxQ4E6hQPH3
7,Despacito (Featuring Daddy Yankee),Luis Fonsi,84,9526,2,4aWmUDTfIPGksMNLV2rQP2
8,Unforgettable,French Montana,84,9391,2,1F2HXIJrE2Xn81OzT2zZvW
9,More Than You Know,Axwell /\ Ingrosso,82,9662,2,3PEgB3fkiojxms35ntsTgs
10,In My Mind,Dynoro,79,9761,1,0E9ZjEAyAwOXZ7wJC0PD33
11,goosebumps,Travis Scott,78,8067,59,6gBFPUFcJLzWGx4lenP6h2
12,Be Alright,Dean Lewis,75,9982,11,2H4gf1wLxvYreMj1jcaN0k
13,Nevermind,Dennis Lloyd,75,9693,3,63SevszngYpZOwf63o61K4
14,High Hopes,Panic! At The Disco,74,9856,3,1rqqCSm0Qe4I9rUvWncaom
15,500 PS,Bonez MC,74,9883,3,4UOXo3xWnxYdTf3sFyRaUG
16,rockstar (feat. 21 Savage),Post Malone,73,9669,13,0e7ipj03S05BNilyu5bRzt
17,Without You (feat. Sandro Cavazza),Avicii,73,9807,16,6Pgkp4qUoTmJIPn7ReaGxL
18,Solo Dance,Martin Jensen,72,9715,10,6HUnnBwYZqcED1eQztxMBN
19,BUTTERFLY EFFECT,Travis Scott,72,9125,32,1yxgsra98r3qAtxqiGZPiX
20,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,69,9773,7,7ycWLEP1GsNjVvcjawXz3z
21,Eastside (with Halsey & Khalid),benny blanco,66,9997,14,0d2iYfpKoM0QCKvcLCkBao
22,Shallow,Lady Gaga,65,39458,1,2VxeLyX666F8uXCJ0dZF8B
23,These Days,Rudimental,64,9187,2,20ZP3Om9DvDazXrNUC7WM2
24,Something Just Like This,The Chainsmokers,64,9769,3,6RUKPb4LETWmmr3iAEQktW
25,Sweet but Psycho,Ava Max,64,9925,1,25sgk305KZfyuqVBQIahim
26,Say You Won't Let Go,James Arthur,64,9788,9,5uCax9HTNlzGybIStD3vDh
27,Always Remember Us This Way,Lady Gaga,63,9344,30,2rbDhOo9Fh61Bbu23T2qCk
28,when the party's over,Billie Eilish,63,9995,25,14JzyD6FlBD5z0wV5P07YI
29,Symphony (feat. Zara Larsson),Clean Bandit,63,9655,7,1x5sYLZiu9r5E43kMlt9f8
30,Mask Off,Future,62,9420,5,0VgkVdmE4gld66l8iyGjgx
31,New Rules,Dua Lipa,62,9417,3,2ekn2ttSfGqwhhate0LSR0
32,I Like Me Better,Lauv,62,9664,18,1wjzFQodRWrPcQ0AnYnvQ9
33,Bohemian Rhapsody - 2011 Mix,Queen,62,9897,32,4u7EnebtmKWzUH433cf5Qv
34,Me Rehúso,Danny Ocean,62,9951,25,6De0lHrwBfPfrhorm9q1Xl
35,OK,Robin Schulz,62,9891,8,3bWAqKDWg6u1davspr5IkS
36,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,61,9936,18,0RiRZpuVRbi7oqRdSMwhQY
37,Rise,Jonas Blue,61,9826,5,3KLygy1YWhmrQx0GRs7IOx
38,Call On Me - Ryan Riback Extended Remix,Starley,61,9593,5,78rIJddV4X0HkNAInEcYde
39,Moonlight,XXXTENTACION,61,9675,3,0JP9xo3adEtGSdUEISiszL
40,Congratulations,Post Malone,61,9629,39,3a1lNhkSLSkpJE4MSHpDu9
41,2002,Anne-Marie,61,9443,20,2BgEsaKNfHUdlh97KmvFyo
42,I Like It,Cardi B,61,9795,4,58q2HKrzhC3ozto2nDdN4z
43,Happier,Marshmello,61,9892,5,2dpaYNEQHiRxtZbfNsse99
44,Taste (feat. Offset),Tyga,61,9923,4,2toVe5hfuIi97ytDPDbQFt
45,lovely (with Khalid),Billie Eilish,61,9915,30,0u2P5u6lvoDfwTYjAADbn4
46,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,60,9599,2,3NdDpSvN911VPGivFlV5d0
47,Stargazing,Kygo,59,9545,6,0Zbbxnx4SGGHoIow4PpISP
48,'Till I Collapse,Eminem,59,5944,105,4xkOaSrkexMciUUogZKVTS
49,Galway Girl,Ed Sheeran,59,9992,4,0afhq8XCExXpqazXczTSve
50,Issues,Julia Michaels,59,9799,12,0xG0SHshCStMEyNbNC5d4k
51,Photograph,Ed Sheeran,59,8610,43,6fxVffaTuwjgEk5h9QyRjy
52,One Dance,Drake,59,9439,18,1xznGGDReH1oQq0xzbwXa3
53,SAD!,XXXTENTACION,59,9882,1,35ieKju5aLWFN5UgfJ27mL
54,Scared to Be Lonely,Martin Garrix,59,7125,4,0KR2W3St74th8z3LS94Ffh
55,Feel It Still,Portugal. The Man,59,9600,11,6QgjcU0zLnzq5OrUoSZ3OK
56,Havana (feat. Young Thug),Camila Cabello,58,9764,1,1rfofaqEpACxVEHIZBJe6W
57,XO Tour Llif3,Lil Uzi Vert,58,9827,21,7GX5flRQZVHRAGd6B4TmDO
58,Body (feat. brando),Loud Luxury,58,9669,11,7K7MUBCnzgBAvMVW2RTWNs
59,Better Now,Post Malone,57,9983,4,7dt6x5M1jzdTEt8oCbisTK
60,Happy Now,Kygo,57,9945,39,14sOS5L36385FJ3OL8hew4
