,Track Name,Artist,Count,Streams,Position,spotify_id
0,Me Rehúso,Danny Ocean,152,99195,1,6De0lHrwBfPfrhorm9q1Xl
1,Serenata cruel,Villa Cariño,144,43898,65,152U4ecGSiYeKm2gnFc4wA
2,Shape of You,Ed Sheeran,137,98380,2,7qiZfU4dY1lWllzX7mPBI3
3,Otra vez (feat. J Balvin),Zion & Lennox,127,96789,3,3QwBODjSEzelZyVjxPOHdq
4,El Gil de Tu Ex,Santaferia,126,84107,29,3cUE3p7E39CzGjQoEsg7sM
5,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,125,99635,5,5q2JbCNi4FcnglgPfxcV65
6,Perfect,Ed Sheeran,123,33257,61,0tgVpDi06FyKpA1z0VMD4v
7,Believer,Imagine Dragons,115,27742,79,0CcQNd8CINkwQfe1RDtGV6
8,Hacerlo de Día,Moral Distraida,107,9994,50,0nApFXPoSanA4n7j563Ind
9,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,100,93744,2,1j6xOGusnyXq3l6IryKF3G
10,Thinking out Loud,Ed Sheeran,98,21482,80,1Slwb6dOYkBlWal1PGtnNg
11,Haciendo Nada,Santaferia,98,42320,63,0dlFCeKHsPhnLKPbqoOwwH
12,I Feel It Coming,The Weeknd,98,57052,26,5GXAXm5YOmYT0kL5jHvYBt
13,La player (Bandolera),Zion & Lennox,97,92814,1,0VKkyBKCXyR99navhVRqcP
14,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,97,51597,28,2FrnTVSHjgnEylKGdHRUK1
15,Robarte un Beso,Carlos Vives,91,99500,13,0JcNysfWVWaMS7R6vzGB2k
16,Una Lady Como Tú,Manuel Turizo,91,99805,9,7MHN1aCFtLXjownGhvEQlF
17,Te Boté - Remix,Nio Garcia,87,91913,1,3V8UKqhEK5zBkBb6d6ub8i
18,New Rules,Dua Lipa,87,77370,26,2ekn2ttSfGqwhhate0LSR0
19,Amárrame,Mon Laferte,87,94198,8,0u13src3QcditRU5VPduML
20,Un Poco Más De Frío,Cami,86,52673,57,0QMFJjtAC1BCA9N7RlFrvt
21,Bella y Sensual,Romeo Santos,85,98010,6,0ERbK7qVqveCaBWIiYCrl3
22,Despacito (Featuring Daddy Yankee),Luis Fonsi,85,95171,1,4aWmUDTfIPGksMNLV2rQP2
23,No Es Justo,J Balvin,85,97868,2,1RTlTuLOdnmgbe11ynwR7c
24,Sin Pijama,Becky G,83,98675,2,2ijef6ni2amuunRoKTlgww
25,Reggaetón Lento (Bailemos),CNCO,82,90620,1,3AEZUABDXNtecAOSC1qTfo
26,No Hay Nadie Más,Sebastian Yatra,82,57829,38,3IPJg1sdqLj12kFIndaonN
27,Ahora Dice,Chris Jeday,82,95926,4,22eADXu8DfOAUEDw4vU8qy
28,Querida Rosa,Cami,82,91902,26,6wBrZZ1LyiBxytLnpgnlhf
29,Criminal,Natti Natasha,79,98958,1,2SmgFAhQkQCQPyBiBxR6Te
30,No Lie,Sean Paul,79,9924,75,3cFsmM51N5zMAuu1nNY4Tw
31,Vaina Loca,Ozuna,79,91919,1,1s2B5cndbqK8rPJEIcKJRQ
32,Felices los 4,Maluma,78,98295,1,0qYTZCo5Bwh1nsUFGZP3zn
33,Me Llamas (feat. Maluma) - Remix,Piso 21,77,77713,7,5hEM0JchdVzQ5PwvSfITeX
34,Traicionera,Sebastian Yatra,77,53654,18,4Ft0391aLVNtCPPseh98lp
35,Photograph,Ed Sheeran,77,19968,81,6fxVffaTuwjgEk5h9QyRjy
36,Mayores,Becky G,77,99464,1,7JNh1cfm0eXjqFVOzKLyau
