,Track Name,Artist,Count,Streams,Position,spotify_id
0,Caraluna,Bacilos,153,9981,93,7DhYjNLksXZhbRQeheAums
1,Shape of You,Ed Sheeran,153,9214,2,7qiZfU4dY1lWllzX7mPBI3
2,Te Mando Flores,Fonseca,153,9705,93,2in1gSZtv2lRbcZUmN9aAl
3,Otra vez (feat. J Balvin),Zion & Lennox,153,8955,1,3QwBODjSEzelZyVjxPOHdq
4,Me Rehúso,Danny Ocean,153,9859,1,6De0lHrwBfPfrhorm9q1Xl
5,Bajo El Agua,Manuel Medrano,152,9971,45,5QSYWruQQ7kBCHScI4xJ9g
6,Believer,Imagine Dragons,148,9936,55,0CcQNd8CINkwQfe1RDtGV6
7,Una Lady Como Tú,Manuel Turizo,147,9967,1,0GGFHWt4u223Vm1RkXQKTj
8,Perfect,Ed Sheeran,132,9791,51,0tgVpDi06FyKpA1z0VMD4v
9,Robarte un Beso,Carlos Vives,125,8496,1,0JcNysfWVWaMS7R6vzGB2k
10,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,122,9942,7,5q2JbCNi4FcnglgPfxcV65
11,Thinking out Loud,Ed Sheeran,118,8727,64,1Slwb6dOYkBlWal1PGtnNg
12,Una y Otra Vez,Manuel Medrano,116,9822,33,0bK3jxkbq5cDKWr68KtO8G
13,La flaca,Jarabe De Palo,113,9976,109,2LsbizbOeNa4x6qsi2jAMb
14,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,113,9857,1,1j6xOGusnyXq3l6IryKF3G
15,Besos En Guerra,Morat,111,8977,31,1d0c62VFYauOOgxZ2eFUxx
16,Amantes,Greeicy,111,9947,3,1qzAOAPuU9LbsKC86SNwwu
17,La Bicicleta,Carlos Vives,104,9798,15,0Gx4VrHzS7pZOEAGrmXXBH
18,The Scientist,Coldplay,103,8343,146,75JFxkI2RXiU7L9VXzMkle
19,New Rules,Dua Lipa,102,9933,13,2ekn2ttSfGqwhhate0LSR0
20,No Hay Nadie Más,Sebastian Yatra,99,9961,9,0U8WdltGpu3OC0ma9yLmjX
21,Let Me Love You,DJ Snake,97,8187,6,0lYBSQXN6rCTvUZvg9S0lU
22,Esperándote,Manuel Turizo,96,9705,2,1nfyE13arjOuO54HH0zmqj
23,Dulce Pecado,Jessi Uribe,96,9871,50,14Oqgy47ik2WEgbdwy9Ecn
24,La player (Bandolera),Zion & Lennox,95,9230,2,0VKkyBKCXyR99navhVRqcP
25,Ahora Dice,Chris Jeday,93,9602,4,22eADXu8DfOAUEDw4vU8qy
26,Criminal,Natti Natasha,93,9974,2,2SmgFAhQkQCQPyBiBxR6Te
27,Traicionera,Sebastian Yatra,93,9263,14,4Ft0391aLVNtCPPseh98lp
28,Te Voy a Amar,Andrés Cepeda,92,9972,15,6G6DiIkasBrTbARK74U7kv
29,One Dance,Drake,92,9289,13,1xznGGDReH1oQq0xzbwXa3
30,Sweet Child O' Mine,Guns N' Roses,92,9707,121,7o2CTH4ctstm8TNelqjb51
31,Simples Corazones,Fonseca,92,9847,38,13vkcX5tmzimIS5Hr17ZJ1
32,Te Quiero Pa´Mi,Don Omar,92,9792,6,2rXZir7PFYmCw93pK3iVaW
33,Te Amo,Piso 21,91,9924,4,2RVrdr062uLFxXwIxwdXPH
34,Vivo Pensando En Ti (feat. Maluma),Felipe Peláez,91,9990,9,0H7cz1bR7w9PulJL7Na774
35,Felices los 4,Maluma,88,9565,1,0qYTZCo5Bwh1nsUFGZP3zn
36,Por Fin Te Encontré,Cali Y El Dandee,86,9484,38,2DAULesb1U4Qz4FSTZpEUJ
37,Se Preparó,Ozuna,86,9920,1,1m69ELEgE6k5ZWsap40ozt
38,Si Tú La Ves (feat. Wisin),Nicky Jam,86,9596,14,4yN6xPLopmTLvc27pO9LIE
39,Mi Gente,J Balvin,86,96899,1,2rb5MvYT7ZIxbKW5hfcHx8
40,No Es Justo,J Balvin,85,87592,1,1RTlTuLOdnmgbe11ynwR7c
41,Bonita,J Balvin,85,9676,3,0atfY1ew83Ql9nNnJiD2t5
42,Quiero Repetir,Ozuna,85,9646,5,0MIcPSq9n2z5H8TAfEstri
43,Sigo Extrañándote,J Balvin,83,9840,6,0k23rRi1B8ZHrKtzECGoyk
44,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,83,9766,53,2FrnTVSHjgnEylKGdHRUK1
45,Me Llamas (feat. Maluma) - Remix,Piso 21,83,9832,16,5hEM0JchdVzQ5PwvSfITeX
46,Más Fuerte,Greeicy,82,9948,3,10ei7ybZQsu9Zc7RfZFe2Q
47,Girls Like You (feat. Cardi B),Maroon 5,82,9876,21,6FRLCMO5TUHTexlWo8ym1W
48,Mocca,Lalo Ebratt,82,9980,1,0NKoPGc72yUKTIneVhFfg1
49,Me Niego (feat. Ozuna & Wisin),Reik,82,9954,3,4ggiDYAkJ7Yk8d5xOr7Xjo
50,Besame,Valentino,81,9610,5,7Ckhk1XW5NV2k4jpqtQNlz
51,Dembow,Danny Ocean,81,9935,8,2EzRdhuoPyNJDlep7lnNf2
52,Escápate Conmigo (feat. Ozuna),Wisin,81,9840,16,1KSqYYJFyfTecXFk9M0prc
53,Flaca,Andrés Calamaro,81,9001,153,1p7m9H4H8s0Y7SgRm7j3ED
54,Cuando Nadie Ve,Morat,81,9857,25,1Cxd4ZJJ9VOQQpNcpdcZEQ
55,Adiós Amor,Christian Nodal,80,9790,82,63bmZnBN1CiJ9sA4qTEe8y
56,Por Pura Curiosidad,Fonseca,80,9939,36,1kLTaKK1qbtGuxggUtz8iz
57,Closer (feat. Halsey),The Chainsmokers,80,9768,10,7BKLCZ1jbUBVqRi2FVlTVw
