,Track Name,Artist,Count,Streams,Position,spotify_id
0,Me Rehúso,Danny Ocean,154,9966,1,6De0lHrwBfPfrhorm9q1Xl
1,Shape of You,Ed Sheeran,154,9804,1,7qiZfU4dY1lWllzX7mPBI3
2,The Scientist,Coldplay,154,4093,76,75JFxkI2RXiU7L9VXzMkle
3,Sweet Child O' Mine,Guns N' Roses,154,4488,103,7o2CTH4ctstm8TNelqjb51
4,Otra vez (feat. J Balvin),Zion & Lennox,152,9763,2,3QwBODjSEzelZyVjxPOHdq
5,Believer,Imagine Dragons,149,8171,30,0CcQNd8CINkwQfe1RDtGV6
6,Perfect,Ed Sheeran,146,9999,8,0tgVpDi06FyKpA1z0VMD4v
7,Caraluna,Bacilos,144,3677,126,7DhYjNLksXZhbRQeheAums
8,Thinking out Loud,Ed Sheeran,137,9903,18,1Slwb6dOYkBlWal1PGtnNg
9,Photograph,Ed Sheeran,137,9960,16,6fxVffaTuwjgEk5h9QyRjy
10,Closer (feat. Halsey),The Chainsmokers,127,9268,6,7BKLCZ1jbUBVqRi2FVlTVw
11,Thunder,Imagine Dragons,127,5646,53,0tKcYR2II1VCQWT79i5NrW
12,Something Just Like This,The Chainsmokers,122,9747,9,6RUKPb4LETWmmr3iAEQktW
13,Ilegal,Cultura Profética,121,4256,80,2K2YkSn2utzsRntEClbyB8
14,La flaca,Jarabe De Palo,120,3914,105,2LsbizbOeNa4x6qsi2jAMb
15,Robarte un Beso,Carlos Vives,118,9964,5,0JcNysfWVWaMS7R6vzGB2k
16,New Rules,Dua Lipa,117,9479,8,2ekn2ttSfGqwhhate0LSR0
17,Stay With Me,Sam Smith,117,3547,120,2whoe0pPKh4JRn6eWSIqTV
18,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,114,9284,1,1j6xOGusnyXq3l6IryKF3G
19,Una Lady Como Tú,Manuel Turizo,112,9907,1,5jf0PmPCHefQ78uAzqIqbj
20,All of Me,John Legend,112,3785,98,2q6tgiA9tpb6DMguABwCWE
21,No Lie,Sean Paul,112,5678,54,3cFsmM51N5zMAuu1nNY4Tw
22,Let Her Go,Passenger,111,3182,117,2jyjhRf6DVbMPU5zxagN2h
23,Too Good At Goodbyes,Sam Smith,110,9913,20,1mXVgsBdtIVeCLJnSnmtdV
24,Besos En Guerra,Morat,109,7162,34,1d0c62VFYauOOgxZ2eFUxx
25,One Dance,Drake,109,9053,8,1xznGGDReH1oQq0xzbwXa3
26,Fever,Vybz Kartel,107,8466,23,4C1Smq2t3MVOPzsUPWW0oX
27,I'm Not The Only One,Sam Smith,106,3741,104,0fioLzGM8ngbD1w6fMmm45
28,Faded,Alan Walker,106,4176,56,698ItKASDavgwZ3WjaWjtz
29,Adiós Amor,Christian Nodal,105,6498,53,63bmZnBN1CiJ9sA4qTEe8y
30,Se Preparó,Ozuna,105,9915,1,1m69ELEgE6k5ZWsap40ozt
31,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,104,9824,14,2FrnTVSHjgnEylKGdHRUK1
32,That's What I Like,Bruno Mars,104,9962,13,0KKkJNfGyhkQ5aFogxQAPU
33,No Hay Nadie Más,Sebastian Yatra,100,9992,10,3IPJg1sdqLj12kFIndaonN
34,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,100,8517,27,5q2JbCNi4FcnglgPfxcV65
35,Wonderwall - Remastered,Oasis,100,3259,115,5qqabIl2vWzo9ApSC317sa
36,Criminal,Natti Natasha,96,9923,2,2SmgFAhQkQCQPyBiBxR6Te
37,La player (Bandolera),Zion & Lennox,96,9939,3,0VKkyBKCXyR99navhVRqcP
38,Ahora Dice,Chris Jeday,95,9614,4,22eADXu8DfOAUEDw4vU8qy
39,Quiero Repetir,Ozuna,92,9939,2,0MIcPSq9n2z5H8TAfEstri
40,Scared to Be Lonely,Martin Garrix,91,9915,22,0KR2W3St74th8z3LS94Ffh
41,Te Boté - Remix,Nio Garcia,90,9506,1,3V8UKqhEK5zBkBb6d6ub8i
42,Reggaetón Lento (Bailemos),CNCO,90,9811,1,3AEZUABDXNtecAOSC1qTfo
43,Traicionera,Sebastian Yatra,90,9988,15,4Ft0391aLVNtCPPseh98lp
44,Stressed Out,Twenty One Pilots,89,6832,42,3CRDbSIZ4r5MsZ0YwxuEkn
45,rockstar (feat. 21 Savage),Post Malone,87,9420,20,0e7ipj03S05BNilyu5bRzt
46,Me Llamas (feat. Maluma) - Remix,Piso 21,87,7887,37,5hEM0JchdVzQ5PwvSfITeX
47,Dile Que Tu Me Quieres,Ozuna,86,8063,38,20ZAJdsKB5IGbGj4ilRt2o
48,Mi Gente,J Balvin,85,9958,1,2rb5MvYT7ZIxbKW5hfcHx8
49,Te Amo,Piso 21,85,9940,3,2RVrdr062uLFxXwIxwdXPH
50,Síguelo Bailando,Ozuna,84,9727,2,5Y9fnynLlIvqtM710MHzfz
51,Escápate Conmigo (feat. Ozuna),Wisin,83,8842,12,1KSqYYJFyfTecXFk9M0prc
52,Girls Like You (feat. Cardi B),Maroon 5,83,9956,18,6FRLCMO5TUHTexlWo8ym1W
53,Let Me Love You,DJ Snake,82,9926,6,0lYBSQXN6rCTvUZvg9S0lU
54,IDGAF,Dua Lipa,82,9954,20,76cy1WJvNGJTj78UqeA5zr
55,No Es Justo,J Balvin,82,9459,4,1RTlTuLOdnmgbe11ynwR7c
56,Cuando Nadie Ve,Morat,81,9280,21,1Cxd4ZJJ9VOQQpNcpdcZEQ
57,Me Dediqué a Perderte,Alejandro Fernandez,80,4324,106,4NUt1fcnO9aQAELBgXq3Kr
58,Despacito (Featuring Daddy Yankee),Luis Fonsi,80,9764,1,4aWmUDTfIPGksMNLV2rQP2
59,Vaina Loca,Ozuna,79,9866,1,1s2B5cndbqK8rPJEIcKJRQ
60,I'm Yours,Jason Mraz,79,3465,113,3S0OXQeoh0w6AY8WQVckRW
