,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,154,9543,1,7qiZfU4dY1lWllzX7mPBI3
1,Believer,Imagine Dragons,150,9993,3,0CcQNd8CINkwQfe1RDtGV6
2,Something Just Like This,The Chainsmokers,147,9777,2,6RUKPb4LETWmmr3iAEQktW
3,Svaz ceskych bohemu,Wohnout,144,7449,30,0LhVh2VbRkJhpOfuNxG2Uc
4,In the End,Linkin Park,142,5594,1,60a0Rd6pjrkxjPbaKzXjfq
5,Perfect,Ed Sheeran,138,8429,10,0tgVpDi06FyKpA1z0VMD4v
6,Thunder,Imagine Dragons,138,9924,1,0tKcYR2II1VCQWT79i5NrW
7,More Than You Know,Axwell /\ Ingrosso,131,9696,1,3PEgB3fkiojxms35ntsTgs
8,Wonderwall - Remastered,Oasis,131,3799,100,5qqabIl2vWzo9ApSC317sa
9,Whatever It Takes,Imagine Dragons,130,9049,10,0yt31hMKZMiyIEfiBiLD2N
10,'Till I Collapse,Eminem,126,3546,92,4xkOaSrkexMciUUogZKVTS
11,I Like Me Better,Lauv,122,6591,24,1wjzFQodRWrPcQ0AnYnvQ9
12,Demons,Imagine Dragons,119,4365,58,2Oehrcv4Kov0SuIgWyQY9e
13,Without You (feat. Sandro Cavazza),Avicii,118,9655,7,6Pgkp4qUoTmJIPn7ReaGxL
14,Numb,Linkin Park,116,4880,4,2nLtzopw4rPReszdYBJU6h
15,Closer (feat. Halsey),The Chainsmokers,114,6866,6,7BKLCZ1jbUBVqRi2FVlTVw
16,Galway Girl,Ed Sheeran,108,9447,2,0afhq8XCExXpqazXczTSve
17,Symphony (feat. Zara Larsson),Clean Bandit,107,9488,4,1x5sYLZiu9r5E43kMlt9f8
18,Human,Rag'n'Bone Man,106,5218,23,58zsLZPvfflaiIbNWoA22O
19,Feel It Still,Portugal. The Man,99,9200,8,6QgjcU0zLnzq5OrUoSZ3OK
20,Faded,Alan Walker,96,3541,63,698ItKASDavgwZ3WjaWjtz
21,These Days,Rudimental,96,9792,2,20ZP3Om9DvDazXrNUC7WM2
22,"Když nemůžeš, tak přidej",Mirai,95,3818,87,3Mlck1bd0M3Mw1mOvNTZYC
23,Radioactive,Imagine Dragons,94,3920,63,4G8gkOterJn0Ywt6uhqbhp
24,Potkal Jsem Tě Po Letech,Chinaski,92,3994,72,3wnSkikz2xzpf03UEDgTj9
25,Youngblood,5 Seconds of Summer,89,8738,7,2iUXsYOEPhVqEBwsqP70rE
26,New Rules,Dua Lipa,89,9537,5,2ekn2ttSfGqwhhate0LSR0
