,Track Name,Artist,Count,Streams,Position,spotify_id
0,Ohne mein Team,Bonez MC,141,98947,9,05Mp2UJulSttxQ4E6hQPH3
1,Was du Liebe nennst,Bausa,113,99838,1,2hIY4sjfMeKwXXh2LvhrMo
2,Shape of You,Ed Sheeran,102,97582,1,7qiZfU4dY1lWllzX7mPBI3
3,Believer,Imagine Dragons,96,91402,16,0CcQNd8CINkwQfe1RDtGV6
4,Von Party zu Party,SXTN,91,83917,77,0PnctHaHNXS61dCBN04Ljb
5,Palmen aus Plastik,Bonez MC,91,97008,26,6wHRm1KR8pzVDPdmR6Qovj
6,Knöcheltief,Trettmann,86,97040,22,1qfM92o8OuFfWouqqfUBF8
7,In My Mind,Dynoro,85,97065,1,0E9ZjEAyAwOXZ7wJC0PD33
8,More Than You Know,Axwell /\ Ingrosso,80,98892,1,3PEgB3fkiojxms35ntsTgs
9,Kontrollieren,RAF Camora,77,97882,11,1uGERQ2DVv7j9WSsWzOHVp
10,500 PS,Bonez MC,73,869195,2,4UOXo3xWnxYdTf3sFyRaUG
11,Casanova,Summer Cem,72,99086,1,0jB0RNZIfaihaDKNmdrI40
12,Dior 2001,RIN,70,94419,4,2eNSyVH3sNPiAj9WpRYK73
13,Primo,RAF Camora,69,97705,3,7y5chiQbuvviOYUfUmOPqo
14,Heute mit mir,Nimo,69,90469,8,7fUWZUNj5qbEuoL6K9947g
15,In the End,Linkin Park,68,85293,10,60a0Rd6pjrkxjPbaKzXjfq
16,Solo Dance,Martin Jensen,67,92787,5,6HUnnBwYZqcED1eQztxMBN
17,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,67,60601,116,5Z01UMMf7V1o0MzF86s6WJ
18,Thunder,Imagine Dragons,66,98858,3,0tKcYR2II1VCQWT79i5NrW
19,Bros,RIN,66,99676,22,0mG6upCcUF0Qvq08FnjRDZ
20,Unforgettable,French Montana,65,85766,2,1F2HXIJrE2Xn81OzT2zZvW
21,Sweet but Psycho,Ava Max,63,95048,2,25sgk305KZfyuqVBQIahim
22,Millionär,187 Strassenbande,63,98842,1,6mw02h3qbWmuq2bJCRjRAe
23,High Hopes,Panic! At The Disco,63,99444,9,1rqqCSm0Qe4I9rUvWncaom
24,Wohin willst du,Gestört aber GeiL,62,98114,6,3h4HDzL7ha4eYalx9Eknyj
25,Ya Salam,Kurdo,62,98974,24,5fpujciVjGBhnR2XFx06E7
26,Nummer 1,Zuna,62,99744,7,3sgGmPQD2J6aQduN36RDBO
27,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,62,98824,1,4Nip6oiJU24LqcUEi7u19S
28,Neymar,Capital Bra,61,99899,1,0d0d2CuQSQDF7Q7vNhwA3i
29,Olé Olé,Capital Bra,61,94724,20,4v4ZuW2tjSyyci2BcE5bTp
30,Senorita,Kay One,60,94265,1,5OHOykHs3Ct2pgbqod8uMD
31,Tausend Tattoos,Sido,60,94854,4,1rGZd7EVl4aOClpzDLNPwy
32,Perfect,Ed Sheeran,60,97749,7,0tgVpDi06FyKpA1z0VMD4v
33,Lambo Diablo GT (feat. Nimo),Capo,60,94318,18,6HxFJbQahRd5rWQ752D710
34,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,59,98158,2,6kex4EBAj0WHXDKZMEJaaF
35,rockstar (feat. 21 Savage),Post Malone,59,98096,20,0e7ipj03S05BNilyu5bRzt
36,Murcielago,KC Rebell,59,92622,17,0p6ZRPPmXONaxaqWVdBZmD
37,Congratulations,Post Malone,59,86522,56,3a1lNhkSLSkpJE4MSHpDu9
38,Shallow,Lady Gaga,59,99787,24,2VxeLyX666F8uXCJ0dZF8B
39,Bon Voyage,Miami Yacine,58,98552,5,1VfSu8qtTf5PMi3d8XVZGj
40,Tamam Tamam,Summer Cem,58,99876,4,0Ch40WfKG9UfWmyPVEWxow
41,Something Just Like This,The Chainsmokers,58,98979,3,6RUKPb4LETWmmr3iAEQktW
42,Nevermind,Dennis Lloyd,58,98830,6,63SevszngYpZOwf63o61K4
43,Copacabana,Leon Machère,57,99512,10,214Mx6MSJhtaO1uPtZGqLH
44,Kokain,Bonez MC,56,954961,1,1H3oIeKUEHpBhXUiso0IMH
45,Magisch,Olexesh,55,99650,1,4gnuy9VBU2GGrN60UMB79t
46,FRIENDS,Marshmello,55,90735,2,08bNPGLD8AhKpnnERrAc6G
47,Taste (feat. Offset),Tyga,54,96867,10,2toVe5hfuIi97ytDPDbQFt
48,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,54,99791,35,0RiRZpuVRbi7oqRdSMwhQY
49,Galway Girl,Ed Sheeran,54,98173,3,0afhq8XCExXpqazXczTSve
50,Kokaina,Miami Yacine,54,97014,24,2KHbPYI22yWIOgWUsApYIS
51,SAD!,XXXTENTACION,54,99751,6,35ieKju5aLWFN5UgfJ27mL
52,Wie Falco,Nimo,53,95268,58,6ZyLo7sln0QFP7YXqgXCU8
53,Despacito (Featuring Daddy Yankee),Luis Fonsi,53,96611,6,4aWmUDTfIPGksMNLV2rQP2
54,Tuesday,Burak Yeter,53,98109,4,5c4tB0saSkNHX5CyDosuF7
55,Call On Me - Ryan Riback Extended Remix,Starley,53,95104,6,78rIJddV4X0HkNAInEcYde
56,God's Plan,Drake,52,97459,1,2VWbHHhWnMzKWPUs4IEEW9
57,Body (feat. brando),Loud Luxury,52,98255,7,7K7MUBCnzgBAvMVW2RTWNs
58,'Till I Collapse,Eminem,52,55812,127,4xkOaSrkexMciUUogZKVTS
59,Mask Off,Future,52,92580,8,0VgkVdmE4gld66l8iyGjgx
60,Blah Blah Blah,Armin van Buuren,51,93773,16,0tp6mwUt99QnfY95T30Lqj
61,Better Now,Post Malone,51,96203,5,7dt6x5M1jzdTEt8oCbisTK
62,An ihnen vorbei,Bonez MC,51,90275,17,7istTRCq9OK5cEC8sPAc50
63,One Night Stand,Capital Bra,51,96702,1,3AXtDUSO78KrGa9Rq8rWUS
64,HUMBLE.,Kendrick Lamar,50,92244,12,7KXjTSCq5nL1LoYtL7XAwS
65,These Days,Rudimental,50,88751,4,20ZP3Om9DvDazXrNUC7WM2
66,Prinzessa,Capital Bra,49,99439,1,0Tq0EhQpVeQJwV3E3P5Jti
67,Someone You Loved,Lewis Capaldi,49,99619,32,2TIlqbIneP0ZY1O0EzYLlc
68,New Rules,Dua Lipa,49,99428,5,2ekn2ttSfGqwhhate0LSR0
69,Wonderwall - Remastered,Oasis,48,55099,139,5qqabIl2vWzo9ApSC317sa
70,OK,Robin Schulz,48,87576,2,3bWAqKDWg6u1davspr5IkS
71,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,48,95356,10,1NDxZ7cFAo481dtYWdrUnR
72,You Don't Know Me - Radio Edit,Jax Jones,48,97323,2,00lNx0OcTJrS3MKHcB80HY
73,Nice Girl 2.0,Ufo361,48,99896,14,4QoNt2TztGQsRfUMtMJK6Y
74,Abfahrt,FiNCH ASOZiAL,47,94191,61,4Gq7MQyUxW3C7iGWooMffP
75,Melodien (feat. Juju),Capital Bra,47,815844,1,5d35jcJj7WjDQBOHCHPY6t
76,Havana (feat. Young Thug),Camila Cabello,47,98009,4,1rfofaqEpACxVEHIZBJe6W
77,Safari,Maxwell,47,98878,42,6hjck7ERXicpsW51UkdHCA
78,One Dance,Drake,47,92745,37,1xznGGDReH1oQq0xzbwXa3
79,2002,Anne-Marie,47,90719,27,2BgEsaKNfHUdlh97KmvFyo
80,Mama,Jonas Blue,47,91043,4,0NiXXAI876aGImAd6rTj8w
81,Rise,Jonas Blue,47,99149,7,3KLygy1YWhmrQx0GRs7IOx
82,Barking,Ramz,46,98159,3,2U5cq89GCnsR1yixKkC8d5
83,Happier,Marshmello,46,99717,12,2dpaYNEQHiRxtZbfNsse99
84,One Kiss (with Dua Lipa),Calvin Harris,46,96190,2,7ef4DlsgrMEH11cDZd32M6
85,Benzema,Capital Bra,46,973953,1,0gyO8zq1Hw5GTQ33EXcc40
86,DNA,KC Rebell,46,98274,1,43DtCXAz2qUJ4YiTX6ICT0
87,I Like Me Better,Lauv,46,82862,7,1wjzFQodRWrPcQ0AnYnvQ9
88,Lucid Dreams,Juice WRLD,45,96124,26,0X8DcetL926BYiPJYstJTc
89,Solo (feat. Demi Lovato),Clean Bandit,45,99477,2,3NuK5xMlSlB6K2Qp16zf3h
90,Yapma,C ARMA,45,96390,25,1194zYf7UfSXP4omxVTmPa
91,Gib Ihm,Shirin David,45,99070,1,1rD0dknJwavElUpZ3AUyiO
92,Without You (feat. Sandro Cavazza),Avicii,45,89424,16,6Pgkp4qUoTmJIPn7ReaGxL
93,Mi Gente,J Balvin,44,98425,2,2rb5MvYT7ZIxbKW5hfcHx8
94,Lambo Diablo GT (feat. Nimo & Juju) - Remix,Capo,44,92594,18,3TMW1GOB1lsmvf8er2dE8g
95,It Ain't Me (with Selena Gomez),Kygo,44,95193,2,3eR23VReFzcdmS7TYCrhCe
96,Silence,Marshmello,44,92604,5,7vGuf3Y35N4wmASOKLUVVU
97,Moonlight,XXXTENTACION,44,99894,22,0JP9xo3adEtGSdUEISiszL
98,Scared to Be Lonely,Martin Garrix,44,96214,4,0KR2W3St74th8z3LS94Ffh
