,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,141,9752,2,7qiZfU4dY1lWllzX7mPBI3
1,Me Rehúso,Danny Ocean,136,9489,4,6De0lHrwBfPfrhorm9q1Xl
2,Otra vez (feat. J Balvin),Zion & Lennox,131,7153,5,3QwBODjSEzelZyVjxPOHdq
3,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,130,7154,4,2FrnTVSHjgnEylKGdHRUK1
4,Sobredosis (feat. Ozuna),Romeo Santos,116,9076,6,1WbXIpiGBJkCiv3hn40iPB
5,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,115,7959,5,5q2JbCNi4FcnglgPfxcV65
6,Dile Que Tu Me Quieres,Ozuna,114,6347,7,20ZAJdsKB5IGbGj4ilRt2o
7,Imitadora,Romeo Santos,109,9521,2,19CAKZdXVNyZrfmF60RAj3
8,Ahora Dice,Chris Jeday,104,9733,1,22eADXu8DfOAUEDw4vU8qy
9,Criminal,Natti Natasha,99,9677,2,2SmgFAhQkQCQPyBiBxR6Te
10,Se Preparó,Ozuna,97,9952,1,1m69ELEgE6k5ZWsap40ozt
11,La player (Bandolera),Zion & Lennox,96,9886,3,0VKkyBKCXyR99navhVRqcP
12,Una Lady Como Tú,Manuel Turizo,95,6217,15,5jf0PmPCHefQ78uAzqIqbj
13,Solita,Ozuna,95,9665,1,7rwX0O3RlxqqIjQM8evm5E
14,Perfect,Ed Sheeran,94,3588,42,0tgVpDi06FyKpA1z0VMD4v
15,Robarte un Beso,Carlos Vives,91,5768,16,0JcNysfWVWaMS7R6vzGB2k
16,Bella y Sensual,Romeo Santos,91,8531,8,0ERbK7qVqveCaBWIiYCrl3
17,Te Boté - Remix,Nio Garcia,90,9582,1,3V8UKqhEK5zBkBb6d6ub8i
18,Síguelo Bailando,Ozuna,89,9076,5,5Y9fnynLlIvqtM710MHzfz
19,I Like It,Cardi B,88,9523,2,58q2HKrzhC3ozto2nDdN4z
20,Soy Peor,Bad Bunny,87,9953,1,5MT96Zz0ymUJNm8obKZQr0
21,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,87,7722,8,1j6xOGusnyXq3l6IryKF3G
22,One Dance,Drake,87,4369,21,1xznGGDReH1oQq0xzbwXa3
23,Bebe (feat. Anuel AA),Ozuna,86,8967,4,6SIrNxmmdbv1KUbFBu1PaN
24,Quiero Repetir,Ozuna,86,9729,3,0MIcPSq9n2z5H8TAfEstri
25,Me Mata,Bad Bunny,85,7079,7,2wgDAPgBhFA7pnIbm0YOhP
26,El Farsante - Remix,Ozuna,82,8853,6,7uYgVgRSgqluZclLS7wpp4
27,Escápate Conmigo (feat. Ozuna),Wisin,82,5931,17,1KSqYYJFyfTecXFk9M0prc
28,Diabla - Official Remix,Farruko,81,4319,24,2OxUtaKYeahAGNaBiahXtR
29,Pa Ti,Bad Bunny,80,7193,7,17nOaHsTn06jxuU9NpHuFU
30,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcangel,79,7244,3,6NSMQFKgjpQb0KkjMDYIK0
31,Vaina Loca,Ozuna,79,9635,1,1s2B5cndbqK8rPJEIcKJRQ
32,Estamos Bien,Bad Bunny,77,9782,1,2OWVCFTolecLiGZPquvWvT
