,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,154,9948,2,7qiZfU4dY1lWllzX7mPBI3
1,Me Rehúso,Danny Ocean,154,9924,1,6De0lHrwBfPfrhorm9q1Xl
2,Bajo El Agua,Manuel Medrano,154,6037,55,5QSYWruQQ7kBCHScI4xJ9g
3,Caraluna,Bacilos,153,6384,86,7DhYjNLksXZhbRQeheAums
4,Believer,Imagine Dragons,149,6361,59,0CcQNd8CINkwQfe1RDtGV6
5,Otra vez (feat. J Balvin),Zion & Lennox,145,9868,3,3QwBODjSEzelZyVjxPOHdq
6,La flaca,Jarabe De Palo,130,5326,100,2LsbizbOeNa4x6qsi2jAMb
7,Traicionera,Sebastian Yatra,129,9928,9,4Ft0391aLVNtCPPseh98lp
8,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,129,9978,8,5q2JbCNi4FcnglgPfxcV65
9,Robarte un Beso,Carlos Vives,126,9458,1,0JcNysfWVWaMS7R6vzGB2k
10,Perfect,Ed Sheeran,124,8360,40,0tgVpDi06FyKpA1z0VMD4v
11,Una Lady Como Tú,Manuel Turizo,118,9502,3,5jf0PmPCHefQ78uAzqIqbj
12,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,114,9741,1,1j6xOGusnyXq3l6IryKF3G
13,Besos En Guerra,Morat,112,9993,25,1d0c62VFYauOOgxZ2eFUxx
14,The Scientist,Coldplay,111,3622,122,75JFxkI2RXiU7L9VXzMkle
15,Amantes,Greeicy,109,9816,19,3IyPnNX142pvWx6D5CiimD
16,Te Mando Flores,Fonseca,105,5101,125,2in1gSZtv2lRbcZUmN9aAl
17,No Hay Nadie Más,Sebastian Yatra,100,9212,12,0U8WdltGpu3OC0ma9yLmjX
18,Vivo Pensando En Ti (feat. Maluma),Felipe Peláez,97,9742,4,0H7cz1bR7w9PulJL7Na774
19,La player (Bandolera),Zion & Lennox,95,9715,4,0VKkyBKCXyR99navhVRqcP
20,Por Hacerme el Bueno,Bacilos,95,6424,52,1iEIQ69PuAM76GCBT9HCek
21,Cómo Te Atreves,Morat,95,4803,57,2z0EshEO4XptiepEb9j3Og
22,Por Perro,Sebastian Yatra,91,9987,3,1XM5PgxjpYcF0JuE9nfUbS
23,Sé Que Te Duele,Alejandro Fernandez,91,8577,17,1OJkKHmXsZVKtWlECdpDAe
24,Una y Otra Vez,Manuel Medrano,89,4004,76,0bK3jxkbq5cDKWr68KtO8G
25,Criminal,Natti Natasha,88,9917,1,2SmgFAhQkQCQPyBiBxR6Te
26,Photograph,Ed Sheeran,88,4881,46,6fxVffaTuwjgEk5h9QyRjy
27,New Rules,Dua Lipa,87,9224,29,2ekn2ttSfGqwhhate0LSR0
28,Me Llamas (feat. Maluma) - Remix,Piso 21,86,9870,12,5hEM0JchdVzQ5PwvSfITeX
29,La Bicicleta,Carlos Vives,86,7984,15,0Gx4VrHzS7pZOEAGrmXXBH
30,Despacito (Featuring Daddy Yankee),Luis Fonsi,86,9675,1,4aWmUDTfIPGksMNLV2rQP2
31,Sin Pijama,Becky G,86,9835,2,2ijef6ni2amuunRoKTlgww
32,Reggaetón Lento (Bailemos),CNCO,85,9741,1,3AEZUABDXNtecAOSC1qTfo
33,Felices los 4,Maluma,85,8835,1,0qYTZCo5Bwh1nsUFGZP3zn
34,No Es Justo,J Balvin,85,9342,1,1RTlTuLOdnmgbe11ynwR7c
35,Te Boté - Remix,Nio Garcia,84,9765,1,3V8UKqhEK5zBkBb6d6ub8i
36,Andas En Mi Cabeza,Chino & Nacho,84,8325,16,23WI5V2eD4EyGKxSl7Pyeq
37,Me Niego (feat. Ozuna & Wisin),Reik,84,9551,2,4ggiDYAkJ7Yk8d5xOr7Xjo
38,Thinking out Loud,Ed Sheeran,82,3576,59,1Slwb6dOYkBlWal1PGtnNg
39,Te Amo,Piso 21,81,9710,5,2RVrdr062uLFxXwIxwdXPH
40,Cuando Nadie Ve,Morat,81,9952,14,1Cxd4ZJJ9VOQQpNcpdcZEQ
41,Suena El Dembow,Joey Montana,81,9245,3,0woHVOh3KXLSDv8VU9XwZ4
42,Si Tú La Ves (feat. Wisin),Nicky Jam,81,9983,7,4yN6xPLopmTLvc27pO9LIE
43,Dembow,Danny Ocean,81,9421,6,2EzRdhuoPyNJDlep7lnNf2
44,Como Mirarte,Sebastian Yatra,80,6120,76,0CXEPVeQDLgDBfvcsQpXq1
45,Girls Like You (feat. Cardi B),Maroon 5,80,8843,30,6FRLCMO5TUHTexlWo8ym1W
46,One Dance,Drake,80,7624,19,1xznGGDReH1oQq0xzbwXa3
47,Puntos Suspensivos,Piso 21,80,9764,12,04cd1MHVq1D8v1nuTZoCdv
48,Hey DJ,CNCO,79,9889,5,1XgpK29CGGjZnxPYkiRbh4
49,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,79,5389,37,2FrnTVSHjgnEylKGdHRUK1
50,Bella,Wolfine,79,9308,1,1Ft13La2daEGqz5yWJC7lx
51,Creo en Ti,Reik,79,5035,114,0xXhgLXfEHnWJHVgRvFvdn
52,Vaina Loca,Ozuna,78,9631,1,1s2B5cndbqK8rPJEIcKJRQ
53,Échame La Culpa,Luis Fonsi,77,9786,1,0mlAOSILGRys2IbvyOT5VJ
54,Más Fuerte,Greeicy,76,7279,44,10ei7ybZQsu9Zc7RfZFe2Q
55,Esperándote,Manuel Turizo,76,9922,7,1nfyE13arjOuO54HH0zmqj
56,Por Pura Curiosidad,Fonseca,76,9121,37,1kLTaKK1qbtGuxggUtz8iz
57,Culpables,Manuel Turizo,75,9461,8,2zufEOvbBeIzYnRktwYk1W
58,I Feel It Coming,The Weeknd,75,7499,21,5GXAXm5YOmYT0kL5jHvYBt
59,Bohemian Rhapsody - 2011 Mix,Queen,75,9804,16,4u7EnebtmKWzUH433cf5Qv
60,Cuando Te Besé,Becky G,74,9965,3,2XXMDz7SPZ4mSFN1PXfHUy
61,Se Preparó,Ozuna,74,9768,5,1m69ELEgE6k5ZWsap40ozt
62,Enamorándonos,Cabas,73,3209,68,0aywfeIr0tmhLZJxzqOhzP
63,Que Va,Alex Sensation,73,9047,5,6J1R5wtPXiHiwiPstOSI56
64,Ya No Tiene Novio,Sebastian Yatra,73,9847,1,7uQmJ1jgNzBpATSoWKSPFu
65,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,72,9657,6,6stYbAJgTszHAHZMPxWWCY
66,Vacaciones,Wisin,72,9474,7,1rXojdsUqqxGj2WCmJGWHP
67,Mayores,Becky G,72,9779,1,7JNh1cfm0eXjqFVOzKLyau
68,Thunder,Imagine Dragons,72,3973,64,0tKcYR2II1VCQWT79i5NrW
