,Track Name,Artist,Count,Streams,Position,spotify_id
0,I Got Love,MiyaGi & Endspiel,98,2695,10,5rwsJbBNa8SfPW4oFA1GjP
1,Mina Ka,Nublu,80,9191,1,0e3Eh5SmHCXDs7ee0lHpc2
2,Trenažöör,5MIINUST,79,2297,15,6CUrRWNO3KlHuvuw8yESSU
3,öölaps!,Nublu,73,9180,1,70qZhu8T6VHpeugYFZCnVk
4,Shape of You,Ed Sheeran,64,8244,1,7qiZfU4dY1lWllzX7mPBI3
5,when the party's over,Billie Eilish,63,3417,5,14JzyD6FlBD5z0wV5P07YI
6,Shallow,Lady Gaga,62,4566,1,2VxeLyX666F8uXCJ0dZF8B
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,62,3710,2,0RiRZpuVRbi7oqRdSMwhQY
8,SAD!,XXXTENTACION,61,5027,1,35ieKju5aLWFN5UgfJ27mL
9,Lucid Dreams,Juice WRLD,57,3348,7,0X8DcetL926BYiPJYstJTc
10,Better Now,Post Malone,53,5272,1,7dt6x5M1jzdTEt8oCbisTK
11,rockstar (feat. 21 Savage),Post Malone,51,3829,4,0e7ipj03S05BNilyu5bRzt
12,Congratulations,Post Malone,50,1711,23,3a1lNhkSLSkpJE4MSHpDu9
13,Jocelyn Flores,XXXTENTACION,50,3757,3,7m9OqQk4RVRkw9JJdeAw96
14,Eastside (with Halsey & Khalid),benny blanco,50,3074,8,0d2iYfpKoM0QCKvcLCkBao
15,More Than You Know,Axwell /\ Ingrosso,49,3518,1,3PEgB3fkiojxms35ntsTgs
16,In My Mind,Dynoro,48,5675,2,0E9ZjEAyAwOXZ7wJC0PD33
17,Thunder,Imagine Dragons,46,3410,1,0tKcYR2II1VCQWT79i5NrW
18,Youngblood,5 Seconds of Summer,46,2697,8,2iUXsYOEPhVqEBwsqP70rE
19,Tsirkus,5MIINUST,46,3338,4,0x4cbwsF2NN3BwmQRgkljV
20,Moonlight,XXXTENTACION,46,3633,4,0JP9xo3adEtGSdUEISiszL
21,HUMBLE.,Kendrick Lamar,44,4001,1,7KXjTSCq5nL1LoYtL7XAwS
22,Let Me Down Slowly,Alec Benjamin,43,2924,7,2qxmye6gAegTMjLKEBoR3d
23,Be Alright,Dean Lewis,42,2402,11,2H4gf1wLxvYreMj1jcaN0k
24,Nevermind,Dennis Lloyd,42,3854,1,63SevszngYpZOwf63o61K4
25,Happier,Marshmello,41,3028,8,2dpaYNEQHiRxtZbfNsse99
26,7 rings,Ariana Grande,41,7643,1,14msK75pk3pA33pzPVNtBF
27,bad guy,Billie Eilish,40,7962,1,2Fxmhks0bxGSBdJ92vM42m
28,Tmt,Nublu,39,3172,9,4pBHwhJOeTivwkxjLm75jN
29,Sweet but Psycho,Ava Max,39,3457,2,25sgk305KZfyuqVBQIahim
30,SICKO MODE,Travis Scott,38,2818,8,2xLMifQCjDGFmkHkpNLD9h
31,New Rules,Dua Lipa,37,3247,1,2ekn2ttSfGqwhhate0LSR0
32,Someone You Loved,Lewis Capaldi,37,2552,13,2TIlqbIneP0ZY1O0EzYLlc
33,2 Quick Start,Nublu,37,9195,3,10grDfoRWXGpQmZs8MueFf
34,Believer,Imagine Dragons,36,2465,4,0CcQNd8CINkwQfe1RDtGV6
35,God's Plan,Drake,36,4448,1,2VWbHHhWnMzKWPUs4IEEW9
36,lovely (with Khalid),Billie Eilish,36,1817,24,0u2P5u6lvoDfwTYjAADbn4
37,Unforgettable,French Montana,36,3042,3,1F2HXIJrE2Xn81OzT2zZvW
38,Silence,Marshmello,36,2823,3,7vGuf3Y35N4wmASOKLUVVU
39,Without Me,Halsey,35,3271,4,5p7ujcrUXASCNwRaWNHR1C
40,Ma Kuulsin Seda Läbi Viinamarjaväädi,Reket,35,5518,3,4eSp4AmnW1L4d6rCteCGnD
41,Body (feat. brando),Loud Luxury,35,2673,11,7K7MUBCnzgBAvMVW2RTWNs
42,Mõtetes,Pluuto,34,1759,30,3syMpkCHtT1bxuBFU63L2I
43,Promises (with Sam Smith),Calvin Harris,34,4720,3,5N5k9nd479b1xpDZ4usjrg
44,I Don't Care (with Justin Bieber),Ed Sheeran,34,7948,1,0hVXuCcriWRGvwMV1r5Yn9
45,Wow.,Post Malone,33,4379,1,2ve5NyzWHUbIYxL33goCX7
46,Piece Of Your Heart,MEDUZA,33,3263,5,1DFD5Fotzgn6yYXkYsKiGs
47,Solo Dance,Martin Jensen,32,2053,12,6HUnnBwYZqcED1eQztxMBN
48,Feel It Still,Portugal. The Man,32,2611,6,6QgjcU0zLnzq5OrUoSZ3OK
49,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,32,2657,6,7ycWLEP1GsNjVvcjawXz3z
50,High Hopes,Panic! At The Disco,32,2897,6,1rqqCSm0Qe4I9rUvWncaom
51,I Like Me Better,Lauv,32,1779,20,1wjzFQodRWrPcQ0AnYnvQ9
52,Psycho (feat. Ty Dolla $ign),Post Malone,31,4553,1,3swc6WTsr7rl9DqQKQA55C
53,Something Just Like This,The Chainsmokers,31,3610,2,6RUKPb4LETWmmr3iAEQktW
54,One Kiss (with Dua Lipa),Calvin Harris,30,4379,1,7ef4DlsgrMEH11cDZd32M6
55,rockstar,Post Malone,30,6771,1,1OmcAT5Y8eg5bUPv9qJT4R
56,Bad Liar,Imagine Dragons,30,3346,4,2RSHsoi04658QL5xgQVov3
