,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,132,99219,2,7qiZfU4dY1lWllzX7mPBI3
1,Me Rehúso,Danny Ocean,131,98116,2,6De0lHrwBfPfrhorm9q1Xl
2,Sirenas,Taburete,116,99886,34,4unOsvr9C2NqI9aJXrxpCy
3,Antes de Morirme (feat. Rosalía),C. Tangana,111,98572,24,7aFBy1CBLGnZE1Iv6TvEZE
4,Besos En Guerra,Morat,100,97697,23,1d0c62VFYauOOgxZ2eFUxx
5,Believer,Imagine Dragons,100,66686,55,0CcQNd8CINkwQfe1RDtGV6
6,Lo siento,Beret,94,99995,15,4S6gJt4RYR34t4sjW8wEah
7,Déjala Que Baile,Melendi,92,98722,14,2KK9N6iBAisA0booTu3bGd
8,Princesas,Pereza,91,48810,129,3hlWUNjAlbZ6nOjAbrivBv
9,Perfect,Ed Sheeran,90,97629,23,0tgVpDi06FyKpA1z0VMD4v
10,Cicatrices,Natos y Waor,89,88996,43,19OsDvOm2hw28Bqg7wo4Ox
11,Échame La Culpa,Luis Fonsi,87,99595,1,0mlAOSILGRys2IbvyOT5VJ
12,Sin Pijama,Becky G,85,99336,1,2ijef6ni2amuunRoKTlgww
13,Qué Tienes Tú,Dvicio,83,97446,24,4txQPJDlvU72lC6EMhT7m9
14,Cuando Nadie Ve,Morat,82,99693,21,1Cxd4ZJJ9VOQQpNcpdcZEQ
15,MALAMENTE - Cap.1: Augurio,ROSALÍA,82,97962,6,1B0BQaSRHxhI0AUlItY3LK
16,Despacito (Featuring Daddy Yankee),Luis Fonsi,81,93494,1,4aWmUDTfIPGksMNLV2rQP2
17,Soldadito marinero,Fito y Fitipaldis,80,52045,119,0eVborSuxUeSg0meWYd9dZ
18,A Partir De Hoy,David Bisbal,79,87079,12,1FMNuRMIcPD6PDQGoi5Ifn
19,"Y, ¿Si Fuera Ella? - + Es +",Pablo Alborán,77,53653,57,0wru6HfqrQGzzQj5XUScvS
20,New Rules,Dua Lipa,77,98713,12,2ekn2ttSfGqwhhate0LSR0
21,La Llamada,Leiva,76,95658,26,5ZCamgcqvkckdf2FdfYuth
22,Usted,Juan Magán,76,89075,3,3JAuTxQUTSjoV1XsYngT0P
23,Criminal,Natti Natasha,76,89339,1,2SmgFAhQkQCQPyBiBxR6Te
24,Felices los 4,Maluma,73,94504,1,0qYTZCo5Bwh1nsUFGZP3zn
25,La isla del amor (feat. Maki),Demarco Flamenco,73,97954,6,0Gw9QC3RqHmTdGqHIWLHb6
26,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,72,92720,4,4QtiVmuA88tPQiCOHZuQ5b
27,La Cintura,Alvaro Soler,72,91303,3,19MBk3PbNFE36wqIqkMq9H
28,Me Niego (feat. Ozuna & Wisin),Reik,71,90932,2,4ggiDYAkJ7Yk8d5xOr7Xjo
29,Vaina Loca,Ozuna,71,91902,1,1s2B5cndbqK8rPJEIcKJRQ
30,No Hay Nadie Más,Sebastian Yatra,69,54882,78,3IPJg1sdqLj12kFIndaonN
31,Vuelve,Beret,69,48590,74,0U5ccxswFKAEIXofNHFcQi
32,Ojalá,Beret,69,52178,83,0s3kHupM6ZlQGkHzveZSJq
33,Shallow,Lady Gaga,66,96520,28,2VxeLyX666F8uXCJ0dZF8B
34,Mayores,Becky G,66,84107,1,7JNh1cfm0eXjqFVOzKLyau
35,Duro y Suave,Leslie Grace,66,96747,6,31M5m42C3EGlbydf9XB5to
36,Te Boté - Remix,Nio Garcia,66,99649,1,3V8UKqhEK5zBkBb6d6ub8i
37,5 Sentidos,Dvicio,66,98985,34,7chjOPhoxbpRYSrO1rvdnu
38,Te esperaré toda la vida,Dani Fernández,65,62432,76,2LJTFnJnjebtRreAK4QgVF
39,Desde Que Estamos Juntos,Melendi,65,89714,21,66VmioeXL4i1TCfHIO8R9t
40,Issues,Julia Michaels,64,60270,57,0xG0SHshCStMEyNbNC5d4k
41,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,63,98366,11,5q2JbCNi4FcnglgPfxcV65
42,IDGAF,Dua Lipa,63,97128,34,76cy1WJvNGJTj78UqeA5zr
43,TELÉFONO,Aitana,63,93153,1,5UBF2uyFNOfCCOV7vTE8CD
44,Te echo de menos,Beret,63,83487,8,1YgPkZ6GOwajDveEsuy3uH
45,Me Haces Falta,Antonio José,62,53626,58,4K6kgwifpSo3xVVPztMILM
46,Cómo Te Atreves,Morat,62,82720,25,2z0EshEO4XptiepEb9j3Og
47,Reggaetón Lento (Bailemos),CNCO,61,97815,2,3AEZUABDXNtecAOSC1qTfo
48,One Kiss (with Dua Lipa),Calvin Harris,61,96465,19,7ef4DlsgrMEH11cDZd32M6
49,Mala Mujer,C. Tangana,61,95073,3,067QpM2xLhK24hTiovC3Zo
50,Ella Quiere Beber - Remix,Anuel AA,61,90916,6,2cYnZNzFRFK0H7vSNxPsUq
51,Ya No Quiero Ná,Lola Indigo,61,99870,5,2A2Q4CYBcVvBF2OqgJ3OWX
52,No Es Justo,J Balvin,60,74341,3,1RTlTuLOdnmgbe11ynwR7c
53,Adan y Eva,Paulo Londra,60,92137,1,132ALUzVLmqYB4UsBj5qD6
54,Thunder,Imagine Dragons,60,97280,38,0tKcYR2II1VCQWT79i5NrW
55,La player (Bandolera),Zion & Lennox,59,94962,14,0VKkyBKCXyR99navhVRqcP
56,Él no soy yo,Blas Cantó,59,84208,29,38mCl4EuWhML4eaZPdNQ3a
57,Calma - Remix,Pedro Capó,58,97101,3,5iwz1NiezX7WWjnCgY5TH4
58,Lumbra,Cali Y El Dandee,58,94427,6,6VHdcVbiKLYYOcMbIqBcuK
59,Traicionera,Sebastian Yatra,58,99092,8,4Ft0391aLVNtCPPseh98lp
60,Mi Gente,J Balvin,58,96984,1,2rb5MvYT7ZIxbKW5hfcHx8
61,Ni La Hora,Ana Guerra,58,93583,4,1aIeJAvEbFrD33tjUEJ7yo
62,Flames,David Guetta,58,89285,46,33IOhptvC2Qoy2UhjiHXLV
63,No Me Acuerdo,Thalía,58,97498,5,00EPIEnX1JFjff8sC6bccd
64,Robarte un Beso,Carlos Vives,57,88244,15,0JcNysfWVWaMS7R6vzGB2k
65,La Rompe Corazones,Daddy Yankee,57,98589,7,4okba5wu9mMLXx79DXLKi3
66,Perro Fiel (feat. Nicky Jam),Shakira,57,98439,4,70lnL3QaSOIIyMa2X9aVRL
67,Vas A Quedarte,Aitana,57,99173,1,0fwIHsKXNEcb57u2um7z9I
68,Otra vez (feat. J Balvin),Zion & Lennox,57,99114,6,3QwBODjSEzelZyVjxPOHdq
69,Hey DJ,CNCO,57,97725,4,1XgpK29CGGjZnxPYkiRbh4
70,FRIENDS,Marshmello,57,83277,18,08bNPGLD8AhKpnnERrAc6G
71,El Amante,Nicky Jam,56,99512,3,3umS4y3uQDkqekNjVpiRUs
72,Perdón,David Bisbal,56,93155,33,4iCJFRTRsFlj4UWoEd7bS9
73,Girls Like You (feat. Cardi B),Maroon 5,56,99895,36,6FRLCMO5TUHTexlWo8ym1W
74,No Te Preocupes por Mi,Leiva,55,92119,28,2huX4MIVEWQtzCpu6B05SV
75,La Bicicleta,Carlos Vives,55,99503,10,0Gx4VrHzS7pZOEAGrmXXBH
76,Me Llamas (feat. Maluma) - Remix,Piso 21,55,98937,18,5hEM0JchdVzQ5PwvSfITeX
77,Síguelo Bailando,Ozuna,55,99815,5,5Y9fnynLlIvqtM710MHzfz
78,Soy Peor,Bad Bunny,55,43060,72,5MT96Zz0ymUJNm8obKZQr0
79,Ahora Dice,Chris Jeday,55,98838,5,22eADXu8DfOAUEDw4vU8qy
80,I Like It,Cardi B,54,97056,10,58q2HKrzhC3ozto2nDdN4z
81,SUBEME LA RADIO,Enrique Iglesias,54,83918,2,7nKBxz47S9SD79N086fuhn
82,Attention,Charlie Puth,54,97477,16,4iLqG9SeJSnt0cSPICSjxv
83,Se Preparó,Ozuna,54,93392,2,1m69ELEgE6k5ZWsap40ozt
84,Una Lady Como Tú,Manuel Turizo,54,97758,3,7MHN1aCFtLXjownGhvEQlF
85,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,54,93922,3,5knuzwU65gJK7IF5yJsuaW
86,Ando buscando (feat. Piso 21),Carlos Baute,54,96619,18,7BwJtE8KSbCQKOCTIAY3jX
87,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,54,43198,79,2FrnTVSHjgnEylKGdHRUK1
88,Amanece,Anuel AA,53,94642,6,1LiN0Z98FkR1t0m8KmLcAH
89,Si Tú La Ves (feat. Wisin),Nicky Jam,53,69783,52,4yN6xPLopmTLvc27pO9LIE
90,Chantaje (feat. Maluma),Shakira,53,95341,1,6mICuAdrwEjh6Y6lroV2Kg
91,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,53,98449,10,1j6xOGusnyXq3l6IryKF3G
92,PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,52,98612,4,0qKxqVcFCMmrjjvIgjjEE6
93,Vacaciones,Wisin,52,93405,11,1rXojdsUqqxGj2WCmJGWHP
94,These Days,Rudimental,52,99865,39,20ZP3Om9DvDazXrNUC7WM2
95,Báilame - Remix,Nacho,52,98012,4,3VClLWqNn80Llv0PJOsKgr
96,Imposible,Luis Fonsi,52,71231,4,3ao3OVxHlb3C08vAaApUlm
97,Something Just Like This,The Chainsmokers,52,85753,10,6RUKPb4LETWmmr3iAEQktW
98,Calypso,Luis Fonsi,51,99740,6,2u7tDWQ6LX0Kw1LiK1jaok
99,Havana (feat. Young Thug),Camila Cabello,51,97284,8,1rfofaqEpACxVEHIZBJe6W
100,Guerrera,DELLAFUENTE,51,96886,19,3Q6zROQvMXRtR9NYfDpNWL
101,Clandestino,Shakira,51,97018,11,7DrluKkTviBwCc8AV3VGmf
102,Symphony (feat. Zara Larsson),Clean Bandit,51,99660,27,1x5sYLZiu9r5E43kMlt9f8
103,Happier,Marshmello,51,89180,28,2dpaYNEQHiRxtZbfNsse99
104,Bohemian Rhapsody - 2011 Mix,Queen,50,98136,44,4u7EnebtmKWzUH433cf5Qv
105,Salvajes irracionales,Efecto Pasillo,50,37284,123,1Ft3KKDbvXduw91Y9DZ2AB
106,Sigo Extrañándote,J Balvin,50,92756,10,0k23rRi1B8ZHrKtzECGoyk
107,Un Año,Sebastian Yatra,50,91551,6,2vrpcQNg6itmgVZWsNjWe0
108,Vente Pa' Ca,Ricky Martin,50,98696,5,7DM4BPaS7uofFul3ywMe46
109,Bonita,J Balvin,49,86558,6,693iqPOQvhI7PobtR8CC8v
110,Desconocidos,Mau y Ricky,49,93061,21,0s5DNDV6LAKn2u2Ufa3VjQ
111,Con Calma,Daddy Yankee,49,96185,1,5w9c2J52mkdntKOmRLeM2m
112,La reina del local (feat. Manuel Delgado),Sergio Contreras,49,46443,86,11jKfAyVtsZlo1vtlrui8G
113,Vamo´ a la calle,Carlos Baute,48,46720,71,2yd4FH40jSVLOCgZ1sJM2z
114,Deja vu,Prince Royce,48,99260,20,46HdsiK0uR26B2dY9QPzda
115,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,48,99859,11,6kex4EBAj0WHXDKZMEJaaF
116,OK,Robin Schulz,48,96331,30,3bWAqKDWg6u1davspr5IkS
117,Suena El Dembow,Joey Montana,48,98098,5,0woHVOh3KXLSDv8VU9XwZ4
118,Ibiza,Ozuna,48,95916,7,1h9P5WJwyvK8OB7O2YiXgp
119,Contando Lunares (feat. Cruz Cafuné),Don Patricio,48,540136,1,6Cs7b9bu3fy5XhMwBA9Tz4
120,Alguien Robo,Sebastian Yatra,47,98928,17,5i50gKdLAjjIr7UxRT5IVy
121,Kung Fu,Dasoul,47,98883,10,0B6GRS3vGtzu6w5BQXqWMq
122,MIA (feat. Drake),Bad Bunny,47,85031,2,116H0KvKr2Zl4RPuVBruDO
123,Solo (feat. Demi Lovato),Clean Bandit,47,95249,31,3NuK5xMlSlB6K2Qp16zf3h
124,Loco Enamorado,Abraham Mateo,47,98582,10,4N1c5rmWOzRmB9SMacr5wB
