,Track Name,Artist,Count,Streams,Position,spotify_id
0,Esson baariin,Poju,121,8793,12,2SNZVqgDiiuOUe2qPOW1m1
1,Shape of You,Ed Sheeran,118,9970,1,7qiZfU4dY1lWllzX7mPBI3
2,Nössö,Petri Nygård,112,9974,2,0gySKxqIOHTVD3YObTsJug
3,Believer,Imagine Dragons,111,9891,21,0CcQNd8CINkwQfe1RDtGV6
4,Antaudun,Reino Nordin,108,9899,1,1tHecEhjSqsh8QGhau0iHC
5,Jättiläinen,Pyhimys,103,9906,1,0ECAT7Yu90YumhfMP1F4eC
6,Imus,Gasellit,98,9952,53,0xU0O3fzfb1HCnd6nsVxQL
7,Solmussa (feat. BEHM),Pikku G,94,9998,1,2rHVaNBkAWylDbgh9l47n5
8,Popkorni,JVG,92,9570,1,7m101w73Md4O2MDgxjSwop
9,Tää On Se Maa,Pasi ja Anssi,90,9698,20,3v3K7xgKQahAml0BGjdIfY
10,Karjala Takas,Portion Boys,87,9940,2,1PZNjZOmm3ZmaWkqvmJpaY
11,rockstar (feat. 21 Savage),Post Malone,87,9746,21,0e7ipj03S05BNilyu5bRzt
12,Faded,Alan Walker,86,9853,71,698ItKASDavgwZ3WjaWjtz
13,Lössi,Gettomasa,84,9902,8,2XruMFzX9m7Zup8LStQVlb
14,Bäng Bäng typerä sydän (feat. eetu),Ellinoora,83,9922,5,0Qepv4ugEKn0Alg2HoLSM6
15,"Kynnet, Kynnet",Pyhimys,83,9993,4,5HFUJIjkg7DgP3EuWtZ1rA
16,XTC,Lukas Leon,81,9775,1,17OUBczN4xbjuCDcx0xmXL
17,Ota varovasti,Vesta,80,9997,18,46wULtWD6WHdbYNXk2KLMJ
18,Pannaan Suomi Kuntoon,Petri Nygård,79,9973,87,0EYIDbETAhEBJFINmswacs
19,Monaco,Aste,78,9978,5,2LX4aFpvRRFY1YRxV9TRYO
20,Lucid Dreams,Juice WRLD,78,9947,8,0X8DcetL926BYiPJYstJTc
21,Tarkenee,JVG,73,9930,43,4ttjtLeCx3rwltZR3w7gWV
22,Hombre (feat. Vesala),JVG,70,9771,3,6h4EXoiVFJehGrK9Xl8Zeo
23,Elefantin paino,Ellinoora,69,9754,68,1OmwCW3wffqU4DNwMAW8qs
24,Mä en pelkää,Lauri Tähkä,68,9796,17,04EVzCgLNbs4ivZ1rzc56K
25,Sweet but Psycho,Ava Max,68,9853,1,25sgk305KZfyuqVBQIahim
26,Rikkinäinen Prinsessa,Nikke Ankara,68,9980,1,3whMjJiy2d7Uv80A6Kmljw
27,Rahan takii,Antti Tuisku,68,9953,1,1NB2U3ix3mCQ3LLojIt1P7
28,Ei suomalaiset tanssi,Haloo Helsinki!,67,9924,21,36knYZNgwftBUhMZOzmtmE
29,Jocelyn Flores,XXXTENTACION,67,9718,17,7m9OqQk4RVRkw9JJdeAw96
30,Shallow,Lady Gaga,66,9914,6,2VxeLyX666F8uXCJ0dZF8B
31,Forza Italia,Spekti,66,9973,14,6lnfd9m4h6vl6Q3qyeIT6I
32,YsäriBoi,DJ Oku Luukkainen,66,9957,12,5Cqd96h4G16XV4Fx2VuTn9
33,Honey,Evelina,65,9909,93,6oWx00So8wCAopjyZ41F76
34,#ihanaa,Petri Nygård,64,9893,2,4hK01qQsklh2Cw15f6VQ5I
35,Summer Air,ItaloBrothers,64,9915,9,0V9cosR5jWa4fr2koARmhD
36,Kylmii Väreitä,Evelina,64,9885,1,5UvkgU1cYs7jA5pHDpjbfX
37,SAD!,XXXTENTACION,64,9426,9,35ieKju5aLWFN5UgfJ27mL
38,Hulluuden Highway,Haloo Helsinki!,64,9975,2,1RPMDcIljymdp7dSgTfhls
39,Meidän biisi,Arttu Wiskari,63,9947,4,3nSiEJPNSH86D7JTFsyyly
40,More Than You Know,Axwell /\ Ingrosso,63,9952,5,3PEgB3fkiojxms35ntsTgs
41,Neljä Vuodenaikaa,Petri Nygård,63,9960,6,3coYPmuUrK9Yr6kqsMSr7H
42,Surulapsi (Vain elämää kausi 7),Cheek,63,9946,3,5pSSjM7U4ZIxcjdDLarOVI
43,Better Now,Post Malone,63,9848,2,7dt6x5M1jzdTEt8oCbisTK
44,Jacuzzi,SANNI,63,9954,1,20HxqjE03spuS8c4mz6HDz
45,Kevät,Adi L Hasla,62,99778,1,7xrMRHovEoiZ72bQxDuev8
46,Kakkuu Järvellä,Pasi ja Anssi,62,9889,3,0chFcp7zVMi1ru2zSBYwze
47,Ei mitää järkee (feat. Gracias),Gettomasa,61,9678,16,3CXs8zscgSdJXDS5ty9WxY
48,Let Me Down Slowly,Alec Benjamin,61,9748,6,2qxmye6gAegTMjLKEBoR3d
49,Suomen muotoisen pilven alla,Arttu Wiskari,60,46361,4,2lvZlCIDkDHWc2Q9Y51GUJ
50,Juna,Spekti,60,9403,1,5fB7KNzDNtTLWAa6D2zcBJ
51,Be Alright,Dean Lewis,59,9285,27,2H4gf1wLxvYreMj1jcaN0k
52,Mitä Mä Malagas?,Gasellit,59,9943,1,4Q1ixIPlK5hR16qZgRNKcN
53,Liikaa Sussa Kii,Mikael Gabriel,59,9937,1,0MEuAbpzkCXjFu2ey5vKaD
54,Solo (feat. Demi Lovato),Clean Bandit,58,9619,1,3NuK5xMlSlB6K2Qp16zf3h
55,when the party's over,Billie Eilish,58,9622,19,14JzyD6FlBD5z0wV5P07YI
56,Despacito - Remix,Luis Fonsi,58,9874,1,5CtI0qwDJkDQGwXD1H1cLb
57,All For Love,Tungevaag & Raaban,58,9605,6,5VGBgPVFO3e0lWz4WHYntQ
58,Hula Hula,Robin Packalen,58,9980,1,4MuAzurUYpbuzGgUiOSjAM
59,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,57,9874,4,5knuzwU65gJK7IF5yJsuaW
60,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,56,9250,135,5Z01UMMf7V1o0MzF86s6WJ
61,Congratulations,Post Malone,56,9870,39,3a1lNhkSLSkpJE4MSHpDu9
62,In My Mind,Dynoro,55,9915,1,0E9ZjEAyAwOXZ7wJC0PD33
63,Perfect,Ed Sheeran,55,9870,15,0tgVpDi06FyKpA1z0VMD4v
64,Supervoimii,Elastinen,55,9950,2,7rehjyv0IQ0WQoB6wZRfnY
65,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,55,9951,8,0RiRZpuVRbi7oqRdSMwhQY
