,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,111,96113,1,7qiZfU4dY1lWllzX7mPBI3
1,Yeux disent,Lomepal,100,89171,20,0RsI4r9abN1pSFJro36Hon
2,Θ. Macarena,Damso,94,99275,1,2UZW9WOPXdxw9YMG1bebS8
3,Hit Sale (feat. Roméo Elvis),Therapie TAXI,93,95946,11,3yndKI4zWEyC36BQYrdKBA
4,Jusqu'au dernier gramme,PNL,87,95814,19,2jBleFNl3YK8lyJc1OvxXt
5,Désaccordé,Vald,82,91883,1,0FYpW0zBO7cht8qGRY41Mz
6,Feu de bois,Damso,80,99816,2,4L0Iwsk1s8cbdBcEgdm8K5
7,Reine,Dadju,80,87066,3,1bxP4M9ICllcg7mel8kH89
8,Djadja,Aya Nakamura,80,97573,1,3XfnssSD9HMQ9LhVOJvXTE
9,Billets verts,Maes,74,98636,6,3uTNli5uz5rNOqD6qZFi8L
10,Moonlight,XXXTENTACION,71,98930,5,0JP9xo3adEtGSdUEISiszL
11,Onizuka,PNL,70,75390,10,4GCIYE1x1TWJCChPkpy9by
12,De l'autre côté (feat. Nekfeu),Ninho,69,97336,1,3ldfGgw7IoLHbaqmspX3ME
13,1000°C,Lomepal,67,96918,2,4lzjE9GlGamkuYqQBfCY8R
14,Mobali,Siboy,65,98339,8,1qZ2qGQoyrbyD6H33a1Lyi
15,Train de vie,Koba LaD,65,99130,4,3Tm8FfsoIgqk1gXHrOION9
16,Tout oublier,Angèle,65,96535,1,06O3hxudc6V0BOuoCFSy71
17,Balance ton quoi,Angèle,65,98462,2,2jX5c5RFp0A9E1GDsvGxIa
18,Shallow,Lady Gaga,65,92072,10,2VxeLyX666F8uXCJ0dZF8B
19,Par amour,Dadju,63,77375,34,3alSzdz0U10gV2aXVigYkT
20,Air Max,Rim'K,63,93232,1,0RTvfKVdkt10ATfJ8BjMEI
21,Réseaux,Niska,62,99486,1,0HKNlsZ0zFlSqUqWj1nVVG
22,Madrina,Maes,62,92445,1,4miiqu2dxOhBguQDHtqssH
23,Pookie,Aya Nakamura,61,98976,8,2QpUWi6VSNOt2WyH5FIeLD
24,Γ. Mosaïque solitaire,Damso,61,98129,3,1E3zyoTHtJzsu5CjwIFIhY
25,Bené,PNL,60,99286,4,00X2yv2vrtritPt2CZnUTZ
26,Ε. Signaler,Damso,60,99381,5,03aduXwm6cTqO9bb4XFQ2b
27,N. J Respect R,Damso,60,96816,10,75UFzgBCaVwJJ4IVIaatpe
28,91's,PNL,59,96188,1,4LAGHmHcSt0HHwXCJcFri6
29,Ramenez la coupe à la maison,Vegedream,59,89134,1,1m0UFnuTktOkksvjbF9z0m
30,Guerilla,Soolking,57,98794,18,3w8yBGCi5jm2rKsrsHJpdD
31,Mauvaise graine,Nekfeu,57,99093,2,0KwdqPzC3HtIM2dXgJUvJQ
32,Sale mood,Bramsito,57,93848,2,5TlGrvOMiAltKgRw3anXKo
33,Ma 6t a craqué (feat. Ninho),Kpoint,57,98268,2,2KtpMkc1TS1FMwy9FR0gCM
34,Trop beau,Lomepal,56,91239,3,4WB9OeauHXnGOMUK4s80gM
35,Rose,Ninho,56,98892,5,4Ln4KAwk37peyCh2QpqYnP
36,Bob Marley,Dadju,56,98949,3,2qXmVc811574AdIdDgayRP
37,SAD!,XXXTENTACION,56,91023,3,35ieKju5aLWFN5UgfJ27mL
38,À nos souvenirs,Trois Cafés Gourmands,55,97093,32,07hD8enBYY6mo2Mkyo8A8V
39,Mafiosa (feat. Caroliina),Lartiste,55,99568,1,0WxiQqTcK3ZErx2mMWgtm6
40,Copines,Aya Nakamura,55,97348,1,1Bhm5HNO1cq8olDbBmokyL
41,Madre mia (feat. Ninho),Sadek,53,98815,8,37YNulvDhyzULfhHycmhEl
42,In My Mind,Dynoro,53,96040,6,0E9ZjEAyAwOXZ7wJC0PD33
43,Les méchants,Heuss L'enfoiré,53,98663,4,0r64LBR8RlnXcdd5HTFubd
44,Salé,Niska,52,93260,2,0uBu60Wd7yzm2sFrj2hSr6
45,Un Poco,Ninho,52,99105,7,3MVTefqbeNX5yHFOmnHy3X
46,Fendi,Ninho,52,98062,2,7BtAkqRFQjvOYOq5k5mlCb
47,One Dance,Drake,52,66858,13,1xznGGDReH1oQq0xzbwXa3
48,La thune,Angèle,52,92113,25,3iBOe7U7kRPNIoL3QLCVu2
