,Track Name,Artist,Count,Streams,Position,spotify_id
0,Mr. Brightside,The Killers,155,99998,30,7d8GetOsjbxYnlo6Y9e5Kw
1,Shape of You,Ed Sheeran,151,99265,1,7qiZfU4dY1lWllzX7mPBI3
2,Wonderwall - Remastered,Oasis,149,86726,66,5qqabIl2vWzo9ApSC317sa
3,Say You Won't Let Go,James Arthur,120,95128,7,5uCax9HTNlzGybIStD3vDh
4,Naive,The Kooks,116,96808,51,7BHPGtpuuWWsvE7cCaMuEU
5,Don't Look Back in Anger - Remastered,Oasis,107,90043,39,0UvCh63URrLFcPkKt99hHd
6,Unforgettable,French Montana,107,99752,2,1F2HXIJrE2Xn81OzT2zZvW
7,Perfect,Ed Sheeran,106,95654,5,0tgVpDi06FyKpA1z0VMD4v
8,Castle on the Hill,Ed Sheeran,104,98501,2,6PCUP3dWmTjcTtXY02oFdT
9,One Dance,Drake,102,95181,24,1xznGGDReH1oQq0xzbwXa3
10,Africa,TOTO,102,85635,76,2374M0fQpWi3dLnB54qaLX
11,Believer,Imagine Dragons,101,94815,43,0CcQNd8CINkwQfe1RDtGV6
12,New Rules,Dua Lipa,94,95856,1,2ekn2ttSfGqwhhate0LSR0
13,Paradise,George Ezra,94,97842,7,38zwkK6TtTjIW9tpYBfZ3D
14,Shotgun,George Ezra,93,99690,1,4ofwffwvvnbSkrMSCKQDaC
15,No Scrubs,TLC,93,81651,70,1KGi9sZVMeszgZOWivFpxs
16,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,92,82823,118,2tUBqZG2AbRi7Q0BIrVrEj
17,You Make My Dreams,Daryl Hall & John Oates,92,98399,78,4o6BgsqLIBViaGVbx5rbRk
18,I Fall Apart,Post Malone,89,94251,8,75ZvA4QfFiZvzhj2xkaWAh
19,Congratulations,Post Malone,88,90919,22,3a1lNhkSLSkpJE4MSHpDu9
20,rockstar (feat. 21 Savage),Post Malone,87,99920,10,0e7ipj03S05BNilyu5bRzt
21,These Days,Rudimental,86,91720,2,20ZP3Om9DvDazXrNUC7WM2
22,This Is Me,Keala Settle,86,92731,5,2xGjteMU3E1tkEPVFBO08U
23,God's Plan,Drake,86,99004,1,2VWbHHhWnMzKWPUs4IEEW9
24,2002,Anne-Marie,86,98549,3,2BgEsaKNfHUdlh97KmvFyo
25,Lucid Dreams,Juice WRLD,84,97725,6,0X8DcetL926BYiPJYstJTc
26,Everywhere - 2017 Remaster,Fleetwood Mac,84,93808,84,254bXAqt3zP6P50BdQvEsq
27,Better Now,Post Malone,84,89541,3,7dt6x5M1jzdTEt8oCbisTK
28,Feel It Still,Portugal. The Man,83,95374,7,6QgjcU0zLnzq5OrUoSZ3OK
29,Do I Wanna Know?,Arctic Monkeys,82,82355,83,3rq5w4bQGigXOfdN30ATJt
30,She's So Lovely,Scouting For Girls,82,75893,83,0JpxNq2SYwPt2uSqdcSvyQ
31,Butterflies (feat. Not3s),AJ Tracey,81,95129,23,4hGsbyf3p0U5mlJTJwiUTq
32,High Hopes,Panic! At The Disco,79,98939,17,1rqqCSm0Qe4I9rUvWncaom
33,One Kiss (with Dua Lipa),Calvin Harris,78,98659,1,7ef4DlsgrMEH11cDZd32M6
34,The Greatest Show,Hugh Jackman,78,99702,13,43ay9lQZ5rfNcOOHhRF2cM
35,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,77,85762,58,3bidbhpOYeV4knp8AIu8Xn
36,Fluorescent Adolescent,Arctic Monkeys,77,94202,59,7e8utCy2JlSB8dRHKi49xM
37,Jocelyn Flores,XXXTENTACION,77,98538,8,7m9OqQk4RVRkw9JJdeAw96
38,Happier,Ed Sheeran,77,84167,5,2RttW7RAu5nOAfq6YFvApB
39,Eastside (with Halsey & Khalid),benny blanco,76,96884,2,0d2iYfpKoM0QCKvcLCkBao
40,Youngblood,5 Seconds of Summer,76,96475,8,2iUXsYOEPhVqEBwsqP70rE
41,SAD!,XXXTENTACION,76,98932,2,35ieKju5aLWFN5UgfJ27mL
42,Taste (feat. Offset),Tyga,74,96165,8,2toVe5hfuIi97ytDPDbQFt
43,Rewrite The Stars,Zac Efron,74,97463,13,630sXRhIcfwr2e4RdNtjKN
