,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,145,9891056,1,7qiZfU4dY1lWllzX7mPBI3
1,Say You Won't Let Go,James Arthur,145,929825,8,5uCax9HTNlzGybIStD3vDh
2,Believer,Imagine Dragons,141,998629,18,0CcQNd8CINkwQfe1RDtGV6
3,Perfect,Ed Sheeran,137,990721,5,0tgVpDi06FyKpA1z0VMD4v
4,Closer (feat. Halsey),The Chainsmokers,126,903104,4,7BKLCZ1jbUBVqRi2FVlTVw
5,Thunder,Imagine Dragons,126,999881,11,0tKcYR2II1VCQWT79i5NrW
6,I Like Me Better,Lauv,124,985197,28,1wjzFQodRWrPcQ0AnYnvQ9
7,Congratulations,Post Malone,110,991174,26,3a1lNhkSLSkpJE4MSHpDu9
8,goosebumps,Travis Scott,107,997954,66,6gBFPUFcJLzWGx4lenP6h2
9,Jocelyn Flores,XXXTENTACION,105,998552,3,7m9OqQk4RVRkw9JJdeAw96
10,Something Just Like This,The Chainsmokers,102,981549,2,6RUKPb4LETWmmr3iAEQktW
11,Too Good At Goodbyes,Sam Smith,102,997718,3,1mXVgsBdtIVeCLJnSnmtdV
12,SAD!,XXXTENTACION,96,978554,1,35ieKju5aLWFN5UgfJ27mL
13,Thinking out Loud,Ed Sheeran,93,887313,58,1Slwb6dOYkBlWal1PGtnNg
14,Photograph,Ed Sheeran,93,942234,49,6fxVffaTuwjgEk5h9QyRjy
15,New Rules,Dua Lipa,92,998951,2,2ekn2ttSfGqwhhate0LSR0
16,Moonlight,XXXTENTACION,92,982916,2,0JP9xo3adEtGSdUEISiszL
17,God's Plan,Drake,91,964719,1,2VWbHHhWnMzKWPUs4IEEW9
18,Youngblood,5 Seconds of Summer,90,986009,6,2iUXsYOEPhVqEBwsqP70rE
19,Havana (feat. Young Thug),Camila Cabello,88,994125,1,1rfofaqEpACxVEHIZBJe6W
20,Better Now,Post Malone,88,994472,1,7dt6x5M1jzdTEt8oCbisTK
21,rockstar (feat. 21 Savage),Post Malone,88,978661,7,0e7ipj03S05BNilyu5bRzt
22,2002,Anne-Marie,87,990235,27,2BgEsaKNfHUdlh97KmvFyo
23,I Fall Apart,Post Malone,85,996558,12,75ZvA4QfFiZvzhj2xkaWAh
24,Lucid Dreams,Juice WRLD,85,987801,5,0X8DcetL926BYiPJYstJTc
25,XO Tour Llif3,Lil Uzi Vert,85,989738,10,7GX5flRQZVHRAGd6B4TmDO
26,HUMBLE.,Kendrick Lamar,84,996142,1,7KXjTSCq5nL1LoYtL7XAwS
27,Girls Like You (feat. Cardi B),Maroon 5,83,996659,2,6FRLCMO5TUHTexlWo8ym1W
28,The Middle,Zedd,82,966629,7,09IStsImFySgyp0pIQdqAc
29,High Hopes,Panic! At The Disco,81,996126,10,1rqqCSm0Qe4I9rUvWncaom
30,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,80,976607,17,4e4fqjx0Izh4svvTef1z7e
31,One Dance,Drake,78,984710,18,1xznGGDReH1oQq0xzbwXa3
32,Wonderwall - Remastered,Oasis,77,731499,150,5qqabIl2vWzo9ApSC317sa
33,Eastside (with Halsey & Khalid),benny blanco,77,993479,3,0d2iYfpKoM0QCKvcLCkBao
34,Psycho (feat. Ty Dolla $ign),Post Malone,76,986544,1,3swc6WTsr7rl9DqQKQA55C
35,IDGAF,Dua Lipa,76,998249,4,76cy1WJvNGJTj78UqeA5zr
36,Fuck Love (feat. Trippie Redd),XXXTENTACION,75,988382,14,7AQim7LbvFVZJE3O8TYgf2
37,I Like It,Cardi B,75,980182,2,58q2HKrzhC3ozto2nDdN4z
38,Be Alright,Dean Lewis,74,967170,13,2H4gf1wLxvYreMj1jcaN0k
39,SICKO MODE,Travis Scott,74,996339,3,2xLMifQCjDGFmkHkpNLD9h
40,Happier,Marshmello,72,995862,2,2dpaYNEQHiRxtZbfNsse99
41,One Kiss (with Dua Lipa),Calvin Harris,70,999577,2,7ef4DlsgrMEH11cDZd32M6
42,Bohemian Rhapsody - 2011 Mix,Queen,68,996349,11,4u7EnebtmKWzUH433cf5Qv
43,In My Mind,Dynoro,68,955410,6,0E9ZjEAyAwOXZ7wJC0PD33
44,Taste (feat. Offset),Tyga,67,994563,5,2toVe5hfuIi97ytDPDbQFt
45,lovely (with Khalid),Billie Eilish,66,999069,26,0u2P5u6lvoDfwTYjAADbn4
46,Shallow,Lady Gaga,66,5174337,2,2VxeLyX666F8uXCJ0dZF8B
47,Sweet but Psycho,Ava Max,66,984930,5,25sgk305KZfyuqVBQIahim
48,FRIENDS,Marshmello,65,995596,4,08bNPGLD8AhKpnnERrAc6G
49,Happier,Ed Sheeran,65,883955,12,2RttW7RAu5nOAfq6YFvApB
50,Without Me,Halsey,65,987973,4,5p7ujcrUXASCNwRaWNHR1C
51,Unforgettable,French Montana,64,952856,4,1F2HXIJrE2Xn81OzT2zZvW
52,when the party's over,Billie Eilish,63,991763,9,14JzyD6FlBD5z0wV5P07YI
53,Better,Khalid,63,923866,7,2OpBganfGk2GVdSlRdxzaX
54,That's What I Like,Bruno Mars,63,973340,5,0KKkJNfGyhkQ5aFogxQAPU
55,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,63,5033261,1,0RiRZpuVRbi7oqRdSMwhQY
56,Young Dumb & Broke,Khalid,63,999625,13,5Z3GHaZ6ec9bsiI5BenrbY
57,What Lovers Do (feat. SZA),Maroon 5,62,963866,5,04JL2liXXV9B9coeGuUsPw
58,Ric Flair Drip (& Metro Boomin),Offset,62,973697,33,7sO5G9EABYOXQKNPNiE9NR
59,Silence,Marshmello,61,996281,7,7vGuf3Y35N4wmASOKLUVVU
60,Location,Khalid,61,985518,39,152lZdxL1OR0ZMW6KquMif
61,Africa,TOTO,60,756432,133,2374M0fQpWi3dLnB54qaLX
62,"thank u, next",Ariana Grande,60,981424,1,2rPE9A1vEgShuZxxzR2tZH
63,Look At Me!,XXXTENTACION,60,998115,35,4ARPvK8DHLwt4oX65ZAFMw
64,Calma - Remix,Pedro Capó,59,970852,6,5iwz1NiezX7WWjnCgY5TH4
65,no tears left to cry,Ariana Grande,59,998613,4,2qT1uLXPVPzGgFOx4jtEuo
66,Don't Stop Me Now - 2011 Mix,Queen,59,997162,48,5T8EDUDqKcs6OSOwEsfqG7
67,Feel It Still,Portugal. The Man,58,995481,19,6QgjcU0zLnzq5OrUoSZ3OK
68,Me Rehúso,Danny Ocean,58,957281,20,6De0lHrwBfPfrhorm9q1Xl
69,Another One Bites The Dust - Remastered 2011,Queen,57,999069,36,5vdp5UmvTsnMEMESIF2Ym7
70,Starboy,The Weeknd,57,779286,3,5aAx2yezTd8zXrkmtKl66Z
71,BUTTERFLY EFFECT,Travis Scott,56,987910,30,1yxgsra98r3qAtxqiGZPiX
72,Look Alive (feat. Drake),BlocBoy JB,56,956204,6,4qKcDkK6siZ7Jp1Jb4m0aL
73,changes,XXXTENTACION,55,968136,5,4PANCoXZX3RaT2D6mqSdEU
74,Body (feat. brando),Loud Luxury,55,996898,20,7K7MUBCnzgBAvMVW2RTWNs
75,Redbone,Childish Gambino,55,998271,44,3kxfsdsCpFgN412fpnW85Y
76,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,54,848210,2,3NdDpSvN911VPGivFlV5d0
77,Going Bad (feat. Drake),Meek Mill,53,992501,12,2IRZnDFmlqMuOrYOLnZZyc
78,Promises (with Sam Smith),Calvin Harris,53,993540,4,5N5k9nd479b1xpDZ4usjrg
79,Wow.,Post Malone,53,974385,1,2ve5NyzWHUbIYxL33goCX7
80,MIA (feat. Drake),Bad Bunny,52,928134,1,116H0KvKr2Zl4RPuVBruDO
81,Despacito - Remix,Luis Fonsi,52,980209,1,5CtI0qwDJkDQGwXD1H1cLb
82,Issues,Julia Michaels,52,848392,11,0xG0SHshCStMEyNbNC5d4k
83,Everybody Dies In Their Nightmares,XXXTENTACION,51,963942,20,3GVkPk8mqxz0itaAriG1L7
84,These Days,Rudimental,51,992143,9,20ZP3Om9DvDazXrNUC7WM2
85,More Than You Know,Axwell /\ Ingrosso,51,988874,14,3PEgB3fkiojxms35ntsTgs
86,Mi Gente,J Balvin,51,990531,1,2rb5MvYT7ZIxbKW5hfcHx8
87,Te Boté - Remix,Nio Garcia,51,999670,7,3V8UKqhEK5zBkBb6d6ub8i
88,Dancing With A Stranger (with Normani),Sam Smith,51,981985,7,6Qs4SXO9dwPj5GKvVOv8Ki
89,Let Me Down Slowly,Alec Benjamin,50,996871,28,2qxmye6gAegTMjLKEBoR3d
90,Candy Paint,Post Malone,50,943298,16,32lItqlMi4LBhb4k0BaSaC
91,In My Blood,Shawn Mendes,50,996591,4,21YnmkSDhUkmkkni22Svc4
92,In My Feelings,Drake,50,995563,1,0bAkKNCQfWkexHFn7fIKns
93,Someone You Loved,Lewis Capaldi,50,881138,4,2TIlqbIneP0ZY1O0EzYLlc
94,Despacito (Featuring Daddy Yankee),Luis Fonsi,50,970035,4,4aWmUDTfIPGksMNLV2rQP2
95,7 rings,Ariana Grande,50,9092057,1,14msK75pk3pA33pzPVNtBF
96,MIDDLE CHILD,J. Cole,49,970071,2,2JvzF1RMd7lE3KmFlsyZD8
97,Con Calma,Daddy Yankee,49,978238,2,5w9c2J52mkdntKOmRLeM2m
98,Attention,Charlie Puth,49,998547,8,4iLqG9SeJSnt0cSPICSjxv
99,Love Lies (with Normani),Khalid,49,934449,11,45Egmo7icyopuzJN0oMEdk
100,Sorry Not Sorry,Demi Lovato,49,975467,8,25C5CowdsfXld2jJanbiex
