,Track Name,Artist,Count,Streams,Position,spotify_id
0,Believer,Imagine Dragons,130,3441,9,0CcQNd8CINkwQfe1RDtGV6
1,goosebumps,Travis Scott,122,3044,60,6gBFPUFcJLzWGx4lenP6h2
2,Shape of You,Ed Sheeran,117,9693,1,7qiZfU4dY1lWllzX7mPBI3
3,HUMBLE.,Kendrick Lamar,114,5648,2,7KXjTSCq5nL1LoYtL7XAwS
4,Thunder,Imagine Dragons,110,3594,10,0tKcYR2II1VCQWT79i5NrW
5,Unforgettable,French Montana,102,5392,3,1F2HXIJrE2Xn81OzT2zZvW
6,New Rules,Dua Lipa,89,6269,2,2ekn2ttSfGqwhhate0LSR0
7,rockstar (feat. 21 Savage),Post Malone,86,4797,7,0e7ipj03S05BNilyu5bRzt
8,XO Tour Llif3,Lil Uzi Vert,85,3897,13,7GX5flRQZVHRAGd6B4TmDO
9,Medusa,Snik,81,6806,3,4dZsxlUWfHgpmIKIGQy9kR
10,SAD!,XXXTENTACION,80,7949,1,35ieKju5aLWFN5UgfJ27mL
11,Better Now,Post Malone,79,5580,2,7dt6x5M1jzdTEt8oCbisTK
12,Taste (feat. Offset),Tyga,77,6630,4,2toVe5hfuIi97ytDPDbQFt
13,IDGAF,Dua Lipa,75,4695,5,76cy1WJvNGJTj78UqeA5zr
14,I Like It,Cardi B,72,7055,1,58q2HKrzhC3ozto2nDdN4z
15,Youngblood,5 Seconds of Summer,72,5099,4,2iUXsYOEPhVqEBwsqP70rE
16,SICKO MODE,Travis Scott,72,6189,2,2xLMifQCjDGFmkHkpNLD9h
17,Ric Flair Drip (& Metro Boomin),Offset,72,2905,14,7sO5G9EABYOXQKNPNiE9NR
18,I Like Me Better,Lauv,71,2891,25,1wjzFQodRWrPcQ0AnYnvQ9
19,God's Plan,Drake,71,9579,1,2VWbHHhWnMzKWPUs4IEEW9
20,Bodak Yellow,Cardi B,69,2980,13,2771LMNxwf62FTAdpJMQfM
21,Ksero Mana,Saske,66,9252,11,5HWolqY3ip2Bh7rS6UJ5c0
22,Moonlight,XXXTENTACION,66,6635,3,0JP9xo3adEtGSdUEISiszL
23,'Till I Collapse,Eminem,66,1720,64,4xkOaSrkexMciUUogZKVTS
24,Dusk Till Dawn - Radio Edit,ZAYN,66,7491,1,1j4kHkkpqZRBwE0A4CN4Yv
25,Feel It Still,Portugal. The Man,65,3440,6,6QgjcU0zLnzq5OrUoSZ3OK
26,Look Alive (feat. Drake),BlocBoy JB,65,4935,2,4qKcDkK6siZ7Jp1Jb4m0aL
27,Nonstop,Drake,65,6906,1,0TlLq3lA83rQOYtrqBqSct
28,2002,Anne-Marie,65,2626,31,2BgEsaKNfHUdlh97KmvFyo
29,no tears left to cry,Ariana Grande,65,8062,1,2qT1uLXPVPzGgFOx4jtEuo
30,Without Me,Halsey,64,7339,2,5p7ujcrUXASCNwRaWNHR1C
31,lovely (with Khalid),Billie Eilish,64,3975,13,0u2P5u6lvoDfwTYjAADbn4
32,Havana (feat. Young Thug),Camila Cabello,64,7004,1,1rfofaqEpACxVEHIZBJe6W
33,Shallow,Lady Gaga,63,9048,2,2VxeLyX666F8uXCJ0dZF8B
34,More Than You Know,Axwell /\ Ingrosso,63,3915,10,3PEgB3fkiojxms35ntsTgs
35,Sweet but Psycho,Ava Max,63,3908,13,25sgk305KZfyuqVBQIahim
36,The Middle,Zedd,63,2900,14,09IStsImFySgyp0pIQdqAc
37,GANGSTA,Snik,62,9074,1,56hwvng962V4BzUvAuVtAC
38,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,62,4937,8,0RiRZpuVRbi7oqRdSMwhQY
39,when the party's over,Billie Eilish,62,6420,11,14JzyD6FlBD5z0wV5P07YI
40,Mo Bamba,Sheck Wes,62,4769,7,1xzBco0xcoJEDXktl7Jxrr
41,Call Out My Name,The Weeknd,61,9861,1,09mEdoA6zrmBPgTEN5qXmN
42,Eastside (with Halsey & Khalid),benny blanco,60,4640,10,0d2iYfpKoM0QCKvcLCkBao
43,Jocelyn Flores,XXXTENTACION,59,4588,12,7m9OqQk4RVRkw9JJdeAw96
44,Girls Like You (feat. Cardi B),Maroon 5,59,5620,2,6FRLCMO5TUHTexlWo8ym1W
45,Happier,Marshmello,59,5420,9,2dpaYNEQHiRxtZbfNsse99
46,Mosca,Light,58,9215,14,3rwuYQM6eEqTLWapNYAeZD
47,FRIENDS,Marshmello,58,4764,2,08bNPGLD8AhKpnnERrAc6G
48,Lucid Dreams,Juice WRLD,58,6888,8,0X8DcetL926BYiPJYstJTc
49,In My Mind,Dynoro,55,5018,6,0E9ZjEAyAwOXZ7wJC0PD33
50,De Me Theloun,Fy,55,9650,3,5z8K92vYj0FH6C05HAT2Ve
51,River (feat. Ed Sheeran),Eminem,55,8123,1,1cS0TgbR263ey9jn0MwD2s
