,Track Name,Artist,Count,Streams,Position,spotify_id
0,Me Rehúso,Danny Ocean,155,9947,1,6De0lHrwBfPfrhorm9q1Xl
1,Otra vez (feat. J Balvin),Zion & Lennox,155,9819,3,3QwBODjSEzelZyVjxPOHdq
2,Shape of You,Ed Sheeran,152,9700,2,7qiZfU4dY1lWllzX7mPBI3
3,Believer,Imagine Dragons,151,5467,49,0CcQNd8CINkwQfe1RDtGV6
4,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,151,7826,8,5q2JbCNi4FcnglgPfxcV65
5,Caraluna,Bacilos,150,4092,54,7DhYjNLksXZhbRQeheAums
6,Adiós Amor,Christian Nodal,139,4993,31,0HhtLyMxtbpaZon5A8OQU6
7,Closer (feat. Halsey),The Chainsmokers,126,5998,7,7BKLCZ1jbUBVqRi2FVlTVw
8,Probablemente,Christian Nodal,125,4445,51,0ib1eHSccu3AZ9UnL4JZdc
9,Perfect,Ed Sheeran,124,3792,44,0tgVpDi06FyKpA1z0VMD4v
10,Una Lady Como Tú,Manuel Turizo,121,9661,2,5jf0PmPCHefQ78uAzqIqbj
11,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,114,9595,1,1j6xOGusnyXq3l6IryKF3G
12,El Color de Tus Ojos,Banda Sinaloense MS de Sergio Lizárraga,113,5287,51,1l77YWrGUp3qX3NS1rz7lq
13,Besos En Guerra,Morat,110,5346,31,1d0c62VFYauOOgxZ2eFUxx
14,The Scientist,Coldplay,109,2562,110,75JFxkI2RXiU7L9VXzMkle
15,Robarte un Beso,Carlos Vives,107,9964,1,0JcNysfWVWaMS7R6vzGB2k
16,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,107,4736,23,2FrnTVSHjgnEylKGdHRUK1
17,Thunder,Imagine Dragons,104,3404,49,0tKcYR2II1VCQWT79i5NrW
18,Traicionera,Sebastian Yatra,104,6198,10,4Ft0391aLVNtCPPseh98lp
19,Ella,Ricardo Arjona,99,7669,11,7hydwXc3IVJIItIif6ZuLH
20,Let Me Love You,DJ Snake,98,6564,5,0lYBSQXN6rCTvUZvg9S0lU
21,Me Llamas (feat. Maluma) - Remix,Piso 21,98,6002,14,5hEM0JchdVzQ5PwvSfITeX
22,No Hay Nadie Más,Sebastian Yatra,98,6264,21,0U8WdltGpu3OC0ma9yLmjX
23,La player (Bandolera),Zion & Lennox,97,9973,2,0VKkyBKCXyR99navhVRqcP
24,New Rules,Dua Lipa,96,5125,24,2ekn2ttSfGqwhhate0LSR0
25,Ahora Dice,Chris Jeday,95,9921,4,22eADXu8DfOAUEDw4vU8qy
26,Criminal,Natti Natasha,94,9463,1,2SmgFAhQkQCQPyBiBxR6Te
27,Thinking out Loud,Ed Sheeran,91,2048,59,1Slwb6dOYkBlWal1PGtnNg
28,Se Preparó,Ozuna,91,9786,1,1m69ELEgE6k5ZWsap40ozt
29,Something Just Like This,The Chainsmokers,89,7933,9,6RUKPb4LETWmmr3iAEQktW
30,Bella y Sensual,Romeo Santos,89,7039,16,0ERbK7qVqveCaBWIiYCrl3
31,Te Boté - Remix,Nio Garcia,89,9774,1,3V8UKqhEK5zBkBb6d6ub8i
32,Te Amo,Piso 21,88,9984,6,2RVrdr062uLFxXwIxwdXPH
33,Scared to Be Lonely,Martin Garrix,87,5401,20,0KR2W3St74th8z3LS94Ffh
34,Tengo Que Colgar,Banda Sinaloense MS de Sergio Lizárraga,87,2349,114,2yGNkkwU2iT0doFxkxhcXH
35,Felices los 4,Maluma,87,9938,1,0qYTZCo5Bwh1nsUFGZP3zn
36,No Es Justo,J Balvin,86,9973,2,1RTlTuLOdnmgbe11ynwR7c
37,Dembow,Danny Ocean,86,9338,8,2EzRdhuoPyNJDlep7lnNf2
38,Tu Postura,Banda Sinaloense MS de Sergio Lizárraga,86,4490,87,4RNzKQEzmlvVHca4t6Txkj
39,One Dance,Drake,85,4541,16,1xznGGDReH1oQq0xzbwXa3
40,Por Perro,Sebastian Yatra,84,9863,4,1XM5PgxjpYcF0JuE9nfUbS
41,Escápate Conmigo (feat. Ozuna),Wisin,84,7479,13,1KSqYYJFyfTecXFk9M0prc
42,Fíjate Que Si,Edwin Luna y La Trakalosa de Monterrey,83,7149,16,1kUc8p4VewK8Bgu61NYNhw
43,Me Niego (feat. Ozuna & Wisin),Reik,83,9924,2,4ggiDYAkJ7Yk8d5xOr7Xjo
44,Cuando Nadie Ve,Morat,82,6283,24,1Cxd4ZJJ9VOQQpNcpdcZEQ
45,Si Tú La Ves (feat. Wisin),Nicky Jam,80,5243,18,4yN6xPLopmTLvc27pO9LIE
46,Vaina Loca,Ozuna,79,8768,1,1s2B5cndbqK8rPJEIcKJRQ
47,Reggaetón Lento (Bailemos),CNCO,79,9896,1,3AEZUABDXNtecAOSC1qTfo
48,Girls Like You (feat. Cardi B),Maroon 5,79,6412,22,6FRLCMO5TUHTexlWo8ym1W
49,Sin Pijama,Becky G,78,9679,3,2ijef6ni2amuunRoKTlgww
50,Esperándote,Manuel Turizo,78,9866,8,1nfyE13arjOuO54HH0zmqj
51,Sobredosis (feat. Ozuna),Romeo Santos,76,3111,61,1WbXIpiGBJkCiv3hn40iPB
52,Bella,Wolfine,75,9182,1,1Ft13La2daEGqz5yWJC7lx
53,Faded,Alan Walker,75,2185,54,698ItKASDavgwZ3WjaWjtz
54,Puntos Suspensivos,Piso 21,75,8914,22,04cd1MHVq1D8v1nuTZoCdv
55,Culpables,Manuel Turizo,74,8504,8,2zufEOvbBeIzYnRktwYk1W
56,rockstar (feat. 21 Savage),Post Malone,74,4503,38,0e7ipj03S05BNilyu5bRzt
57,Suena El Dembow,Joey Montana,74,8569,8,0woHVOh3KXLSDv8VU9XwZ4
58,Quiero Repetir,Ozuna,74,9147,4,0MIcPSq9n2z5H8TAfEstri
59,Andas En Mi Cabeza,Chino & Nacho,74,4084,29,5mey7CLLuFToM2P68Qu1gF
60,La Rompe Corazones,Daddy Yankee,74,7041,10,4okba5wu9mMLXx79DXLKi3
61,Cuando Te Besé,Becky G,74,9413,5,2XXMDz7SPZ4mSFN1PXfHUy
62,Devuélveme a mi chica,Hombres G,74,3307,113,1Wrzhfa5bNlqvsnCztz190
63,Que Va,Alex Sensation,74,9944,3,6J1R5wtPXiHiwiPstOSI56
64,Lamento Boliviano,Los Enanitos Verdes,73,4709,92,6Pur3hWy6Nzc27ilmsp5HA
65,Ya No Tiene Novio,Sebastian Yatra,73,9462,9,7uQmJ1jgNzBpATSoWKSPFu
66,Mayores,Becky G,73,9908,4,7JNh1cfm0eXjqFVOzKLyau
67,Me Vas a Extrañar,Banda Sinaloense MS de Sergio Lizárraga,72,3667,130,2yS8aYWXEWJ1NlZ7VPDroT
68,En Peligro de Extinción,La Adictiva Banda San José de Mesillas,72,6754,44,45sVRPegWSGpIcsrDoaaCY
69,Sigo Extrañándote,J Balvin,72,9939,3,0k23rRi1B8ZHrKtzECGoyk
