,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,154,9883,1,7qiZfU4dY1lWllzX7mPBI3
1,不該,Jay Chou,154,5953,37,7LyCtbxher5m97MImn5M3l
2,告白氣球,Jay Chou,154,9385,16,1ivCIgrYZyE0BvItL4Z8lk
3,Closer (feat. Halsey),The Chainsmokers,154,9752,2,7BKLCZ1jbUBVqRi2FVlTVw
4,囍帖街,Kay Tse,154,6452,36,0Ye5Yf1jxFArVcNwkXwUjQ
5,後來的我們,Mayday,154,7241,13,0qepAQsUGIzofBj82iP17C
6,不為誰而作的歌,JJ Lin,154,4298,54,0VqSdtXseb9khdZrnYVyM1
7,Photograph,Ed Sheeran,154,7032,17,6fxVffaTuwjgEk5h9QyRjy
8,命硬,Justin Lo,154,5479,38,331aol4yMUVA93MsVBZV9R
9,羅生門,Juno Mak,154,5530,35,7gMJDavVEw4jDdFp0RNFP6
10,說散就散,JC 陳泳彤,154,8545,11,35fpQiijFocukVyzHCjhCn
11,Faded,Alan Walker,154,6439,22,698ItKASDavgwZ3WjaWjtz
12,以後別做朋友,Eric Chou,154,4028,66,7zyYmIdjqqiX6kLryb7QBx
13,時光機,Terence Siufay,154,4843,49,53lFtfrl5Of2Hkr5eiNscQ
14,哪裡只得我共你,Dear Jane,154,6767,21,6oHNXUrt4s5JJIM1WoOwsZ
15,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""",Eric Chou,154,7127,28,2gug6MRv4xQFYi9LA3PJCS
16,Say You Won't Let Go,James Arthur,154,9138,6,5uCax9HTNlzGybIStD3vDh
17,We Don't Talk Anymore,Charlie Puth,154,7607,15,68EMU2RD1ECNeOeJ5qAXCV
18,你瞞我瞞,Jason Chan,154,7251,23,1eId3TVzGrwv73YAWAVQMX
19,突然好想你,Mayday,154,5551,31,0IAgufC1FlOg1nZMmRZxRr
20,可惜沒如果,JJ Lin,153,5141,32,6WoQzK5Exbfcmow1AoNRkl
21,你是你本身的傳奇,Charmaine Fong,153,6976,21,5uMkdWf1H6JEcpcdnPOSZM
22,必殺技 - Live,Leo Ku,152,4636,51,7oPrKydZ1xLIFXzjHLUGE5
23,說好的幸福呢,Jay Chou,149,4772,53,6W2tmkeuHKaedHhdTPnyVs
24,演員,Joker Xue,148,5498,34,6LunoYd3xpZ19sICOXS8Xd
25,她說,JJ Lin,148,4280,55,632VyMrvhsHIsO4zq9khts
26,無盡,Supper Moment,147,5212,49,6TNz79kvUVVQSM2EhZQVq8
27,Something Just Like This,The Chainsmokers,147,9795,1,6RUKPb4LETWmmr3iAEQktW
28,幸福之歌,Supper Moment,146,5297,40,1Us7HBNaxMEaS4W5IUK882
29,Perfect,Ed Sheeran,146,9915,5,0tgVpDi06FyKpA1z0VMD4v
30,長相廝守,ToNick,143,9773,3,3VSFri2BxieCG7RtuxFMXr
31,晴天,Jay Chou,139,6680,34,0F02KChKwbcQ3tk4q1YxLH
32,春秋,Hins Cheung,139,8319,16,1W3mTAGO3ecMb1xWb5lnNO
33,不許你注定一人,Dear Jane,139,3934,72,0B2fMb8KALZeoFbRv7m3iE
34,Attention,Charlie Puth,137,9960,3,4iLqG9SeJSnt0cSPICSjxv
35,分手總約在雨天,Charmaine Fong,135,7329,16,4F58voptx3uo1bNiJ6i1P9
36,野孩子,Miriam Yeung,131,4061,61,2pYSB4jUkWDmoZqfJUKV0g
37,Thinking out Loud,Ed Sheeran,130,6538,20,1Slwb6dOYkBlWal1PGtnNg
38,無賴,Ronald Cheng,129,3974,77,1zAFaIAd1kek5IEi5AwPvL
39,明年今日,Eason Chan,128,5281,49,4UD5xrQI4nKftCje1y5Te9
40,歲月如歌,Eason Chan,123,5515,43,209lkexhDOdjGJMv9iw3rJ
41,那些你很冒險的夢,JJ Lin,122,5767,25,5kZDxLcbqglZ2yYXg4Mkjc
42,別來無恙,Jason Chan,121,5246,44,2wgF570uODvVSxfd8o3eRf
43,可惜我是水瓶座,Miriam Yeung,120,5844,48,1sWUT5hSawhEctQEQrVQdn
44,修煉愛情,JJ Lin,119,4372,51,190kU2WKyIzx9XaBjfWRPk
45,耿耿於懷,Juno Mak,116,3472,80,027DJzimsjm1M1hflEWLnv
46,I Like Me Better,Lauv,113,7673,17,1wjzFQodRWrPcQ0AnYnvQ9
47,心淡,Joey Yung,113,7300,20,0Eum5dQqpUDgwJiUucG3QU
48,Treat You Better,Shawn Mendes,112,5667,33,3AFfyUXTfj12PgrOkZiiJo
49,獨一無二,AGA,112,5912,29,1EiEkNCO1maB0Rl3XQ5f6A
50,再不再見,C AllStar,112,3843,69,1kcNUj4udKEFesxdclbh8n
51,經過一些秋與冬,Dear Jane,110,7325,17,4pw59ml6lY3WnP90tfyDGP
52,如果雨之後,Eric Chou,107,4425,50,1YBr9ZEaKexARNikscECzj
53,淘汰(國),Eason Chan,107,3683,111,3aawXLnJpcDVXCl1UUksAW
54,Kong,Justin Lo,104,3939,68,5hQwJOWx41wiWH305GT7pf
55,Havana (feat. Young Thug),Camila Cabello,103,9693,2,1rfofaqEpACxVEHIZBJe6W
56,等你下課,Jay Chou,102,9565,1,76WthWB0v0KXUHZoAclMVV
57,驗傷,Janice Vidal,99,7417,21,2SLjuVYSrcUhZmpBokuupj
58,假使世界原來不像你預期,Charmaine Fong,98,8830,6,53HxUdYRCRMdzYPG0qhGUP
59,大哥,Janice Vidal,97,4752,74,2fzOOTi4YDXENpUCr1fiaW
60,Wolves,Selena Gomez,96,9880,1,0tBbt8CrmxbjRP0pueQkyU
61,Symphony (feat. Zara Larsson),Clean Bandit,96,9726,3,1x5sYLZiu9r5E43kMlt9f8
62,All Falls Down (feat. Juliander),Alan Walker,95,9922,4,1HvCFAUIWQsWV9zud3UhDl
63,體面(電影《前任3:再見前任》插曲),Kelly Yu,93,4819,44,7cE5ehlKJ3L9Ejhzm3udcF
64,櫻花樹下,Hins Cheung,92,7111,27,2FgDWCqMCIAATvqr9ozeYm
65,慢慢喜歡你,Karen Mok,91,4034,61,7EoyERNueJuFlQbyrRB0US
66,Too Good At Goodbyes,Sam Smith,91,9842,3,1mXVgsBdtIVeCLJnSnmtdV
67,戀無可戀,Leo Ku,89,4850,63,4zVevFBE0Ub4WaUS91f9g1
68,2002,Anne-Marie,89,7780,8,2BgEsaKNfHUdlh97KmvFyo
69,風箏,Supper Moment,89,6167,26,5tXGkM9WZX2uL6MYFPV2tU
70,木紋,Denise Ho,87,3385,97,1MlFD4KiaEoT1TnRzAsXGU
71,That's What I Like,Bruno Mars,87,9957,6,0KKkJNfGyhkQ5aFogxQAPU
72,Fairy tale,Yoga Lin,86,4969,55,5EXpL9orGpIsscSyBgPdSx
73,The Middle,Zedd,85,9901,3,09IStsImFySgyp0pIQdqAc
74,Girls Like You (feat. Cardi B),Maroon 5,83,9999,1,6FRLCMO5TUHTexlWo8ym1W
75,Believer,Imagine Dragons,82,8749,14,0CcQNd8CINkwQfe1RDtGV6
76,心之科學,Joey Yung,80,9054,13,1gVMd7oYGo6Whlgg7pAa7M
77,漸漸,Eason Chan,79,9413,3,1o5PE9VNUd8EJtcYLA3QxP
78,我們 - 《後來的我們》電影主題曲,Eason Chan,78,6960,3,0Uf0SvwUrf02ucIt1d0Wos
79,New Rules,Dua Lipa,76,9974,6,2ekn2ttSfGqwhhate0LSR0
80,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,75,8409,2,3NdDpSvN911VPGivFlV5d0
81,最後晚餐,Supper Moment,75,5097,36,0Jm0goItLKozRDZ2r3ZbWz
82,百年不合,Pakho Chau,74,4701,47,0euGAAHr3mQyhVKgq0mM5d
83,光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,73,4224,73,1bkvGbgK4HU8B7Ue4k7O7I
84,年少有為,Ronghao Li,72,5300,47,4F189oz9W9JOV6ovuHsHYV
85,傳聞,Pakho Chau,72,4929,70,0nJx06quWzRoqStpsyv4fe
86,死性不改,Twins,70,4500,73,7aMEBZUCJFyV4VM60yEHtC
87,Happier,Marshmello,70,9635,1,2dpaYNEQHiRxtZbfNsse99
88,未來見,RubberBand,69,8688,9,5OPqZ5dEqrdPGatJgnZ8xG
89,Don't Let Me Down,The Chainsmokers,69,5540,33,0QsvXIfqM0zZoerQfsI9lm
90,Paris,The Chainsmokers,69,9140,2,72jbDTw1piOOj770jWNeaG
91,Let Her Go,Passenger,68,2544,156,2jyjhRf6DVbMPU5zxagN2h
92,Despacito - Remix,Luis Fonsi,67,9021,1,5CtI0qwDJkDQGwXD1H1cLb
93,矛盾一生,JW,67,5751,31,1WZB9LOzHALTglpvsf9CXY
94,Eastside (with Halsey & Khalid),benny blanco,67,9297,1,0d2iYfpKoM0QCKvcLCkBao
95,Shallow,Lady Gaga,66,9773,1,2VxeLyX666F8uXCJ0dZF8B
96,As If It's Your Last,BLACKPINK,66,9916,4,1Zyd6zQnC6XIIzmg3hP7Ot
97,"沒有你, 我甚麼都不是",Jason Chan,66,7047,19,1zlUxL11eVVjPSPSI7tIjQ
98,Without Me,Halsey,65,9963,2,5p7ujcrUXASCNwRaWNHR1C
99,See You Again (feat. Charlie Puth),Wiz Khalifa,65,2903,127,2JzZzZUQj3Qff7wapcbKjc
100,Sweet but Psycho,Ava Max,65,9225,8,25sgk305KZfyuqVBQIahim
101,IDGAF,Dua Lipa,64,9977,3,76cy1WJvNGJTj78UqeA5zr
102,百年樹木,Hins Cheung,63,9824,4,3QZWdwawy8K2Thsn4LwYDv
103,別𠱁我,JC 陳泳彤,63,7126,12,4CDk3NMFnmLsvLuAnWKaGf
104,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,63,9482,1,0RiRZpuVRbi7oqRdSMwhQY
105,What Lovers Do (feat. SZA),Maroon 5,62,9511,3,04JL2liXXV9B9coeGuUsPw
106,難得一遇,Phil Lam,62,4174,55,0gKNqldG2cL6UZGCre4rAj
107,Scared to Be Lonely,Martin Garrix,61,9658,4,0KR2W3St74th8z3LS94Ffh
108,原來她不夠愛我,Kwan Gor,61,4095,58,37drQorIyWkqlnvwyeV84L
109,"thank u, next",Ariana Grande,60,9908,1,2rPE9A1vEgShuZxxzR2tZH
110,Love Yourself,Justin Bieber,60,3119,91,3hB5DgAiMAQ4DzYbsMq1IT
111,在月台上等你,Janice Vidal,60,5742,31,4apKcYGPasaBCwmEVvGB0k
112,霸氣情歌,Jason Chan,59,6721,27,0e3nb2Nttd12LNBhweuNms
113,龍舌蘭,Eason Chan,58,8986,2,2yJuzhRAp75De9QFcR0qXl
114,Always Remember Us This Way,Lady Gaga,57,9145,2,2rbDhOo9Fh61Bbu23T2qCk
115,Rewrite The Stars,Zac Efron,57,9550,1,630sXRhIcfwr2e4RdNtjKN
116,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,57,8945,2,1bhUWB0zJMIKr9yVPrkEuI
