,Track Name,Artist,Count,Streams,Position,spotify_id
0,Otra vez (feat. J Balvin),Zion & Lennox,155,6076,1,3QwBODjSEzelZyVjxPOHdq
1,Shape of You,Ed Sheeran,155,9888,2,7qiZfU4dY1lWllzX7mPBI3
2,Me Rehúso,Danny Ocean,155,9793,1,6De0lHrwBfPfrhorm9q1Xl
3,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,155,6715,4,5q2JbCNi4FcnglgPfxcV65
4,Believer,Imagine Dragons,142,2130,53,0CcQNd8CINkwQfe1RDtGV6
5,Perfect,Ed Sheeran,138,3154,20,0tgVpDi06FyKpA1z0VMD4v
6,Adiós Amor,Christian Nodal,127,3060,23,0HhtLyMxtbpaZon5A8OQU6
7,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,114,6931,2,1j6xOGusnyXq3l6IryKF3G
8,El Color de Tus Ojos,Banda Sinaloense MS de Sergio Lizárraga,110,2494,43,1l77YWrGUp3qX3NS1rz7lq
9,New Rules,Dua Lipa,107,3770,11,2ekn2ttSfGqwhhate0LSR0
10,Robarte un Beso,Carlos Vives,104,5090,3,0JcNysfWVWaMS7R6vzGB2k
11,La player (Bandolera),Zion & Lennox,96,7750,2,0VKkyBKCXyR99navhVRqcP
12,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,93,4062,12,2FrnTVSHjgnEylKGdHRUK1
13,Caraluna,Bacilos,93,1816,74,7DhYjNLksXZhbRQeheAums
14,Hookah & Sheridan s,Tommy Boysen,91,2998,22,3QfD4bxxkopZL7XZ8RaezH
15,Te Boté - Remix,Nio Garcia,90,9783,1,3V8UKqhEK5zBkBb6d6ub8i
16,One Kiss (with Dua Lipa),Calvin Harris,90,4457,11,7ef4DlsgrMEH11cDZd32M6
17,Thunder,Imagine Dragons,89,2113,49,0tKcYR2II1VCQWT79i5NrW
18,Closer (feat. Halsey),The Chainsmokers,88,4454,5,7BKLCZ1jbUBVqRi2FVlTVw
19,I Like It,Cardi B,87,5437,6,58q2HKrzhC3ozto2nDdN4z
20,No Es Justo,J Balvin,86,7348,1,1RTlTuLOdnmgbe11ynwR7c
21,Girls Like You (feat. Cardi B),Maroon 5,83,3538,16,6FRLCMO5TUHTexlWo8ym1W
22,Solo,Amenazzy,82,7231,2,2rrJfOphzn4uQCK9X0x6R6
23,IDGAF,Dua Lipa,80,3276,22,76cy1WJvNGJTj78UqeA5zr
24,Vaina Loca,Ozuna,79,7192,1,1s2B5cndbqK8rPJEIcKJRQ
25,La flaca,Jarabe De Palo,77,1446,78,2LsbizbOeNa4x6qsi2jAMb
26,Estamos Bien,Bad Bunny,77,7868,2,2OWVCFTolecLiGZPquvWvT
27,Dembow,Danny Ocean,77,4705,12,2EzRdhuoPyNJDlep7lnNf2
28,No Lie,Sean Paul,76,2003,42,3cFsmM51N5zMAuu1nNY4Tw
29,rockstar (feat. 21 Savage),Post Malone,75,2580,26,0e7ipj03S05BNilyu5bRzt
30,Cuando Te Besé,Becky G,74,4661,12,2XXMDz7SPZ4mSFN1PXfHUy
31,Una Lady Como Tú,Manuel Turizo,73,6226,3,5jf0PmPCHefQ78uAzqIqbj
32,Ya No Tiene Novio,Sebastian Yatra,73,3875,16,7uQmJ1jgNzBpATSoWKSPFu
33,Ni Gucci Ni Prada,Kenny Man,73,5054,10,32lexhcz93AinKK0qLTZaZ
34,Por Perro,Sebastian Yatra,72,6051,5,1XM5PgxjpYcF0JuE9nfUbS
35,One Dance,Drake,71,3440,13,1xznGGDReH1oQq0xzbwXa3
36,Happier,Marshmello,71,4108,20,2dpaYNEQHiRxtZbfNsse99
37,No Hay Nadie Más,Sebastian Yatra,71,2373,38,3IPJg1sdqLj12kFIndaonN
38,Too Good At Goodbyes,Sam Smith,71,2902,27,1mXVgsBdtIVeCLJnSnmtdV
39,Sin Pijama,Becky G,70,5921,4,2ijef6ni2amuunRoKTlgww
40,Criminal,Natti Natasha,69,7353,1,2SmgFAhQkQCQPyBiBxR6Te
41,Te Amo,Piso 21,69,4091,10,2RVrdr062uLFxXwIxwdXPH
42,Probablemente,Christian Nodal,69,1608,95,4prmUBle7TtAeeUgCnsc3Z
43,Bohemian Rhapsody - 2011 Mix,Queen,68,5224,9,4u7EnebtmKWzUH433cf5Qv
44,Me Niego (feat. Ozuna & Wisin),Reik,68,6056,5,4ggiDYAkJ7Yk8d5xOr7Xjo
45,Amigos Con Derechos,Reik,68,3687,17,2zDj4WjbNDmrRL6Z4YjjCA
46,Se Preparó,Ozuna,68,5559,4,1m69ELEgE6k5ZWsap40ozt
47,Hipócrita,Anuel AA,65,4672,8,4CbANooTL2aTHzJZqQ0Uvk
48,X,Nicky Jam,65,9574,1,39N9RPD9MRb5WmoLzNzPeA
49,Scared to Be Lonely,Martin Garrix,65,3495,21,0KR2W3St74th8z3LS94Ffh
50,Calma - Remix,Pedro Capó,64,9923,1,5iwz1NiezX7WWjnCgY5TH4
51,MIA (feat. Drake),Bad Bunny,64,9408,1,116H0KvKr2Zl4RPuVBruDO
52,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,63,3244,28,0RiRZpuVRbi7oqRdSMwhQY
53,Solita,Ozuna,63,6279,4,7rwX0O3RlxqqIjQM8evm5E
54,Desconocidos,Mau y Ricky,63,7343,6,0s5DNDV6LAKn2u2Ufa3VjQ
55,Puntos Suspensivos,Piso 21,63,4826,17,04cd1MHVq1D8v1nuTZoCdv
56,Soy Peor,Bad Bunny,62,4762,10,5MT96Zz0ymUJNm8obKZQr0
57,Fíjate Que Si,Edwin Luna y La Trakalosa de Monterrey,62,1851,62,3YwEMdP2zkOiIq074Vlvqc
58,Créeme,KAROL G,61,4573,15,1mT47pKLXUwPYGwB91GcNz
59,Ahora Dice,Chris Jeday,61,8377,3,22eADXu8DfOAUEDw4vU8qy
60,Ella Quiere Beber - Remix,Anuel AA,61,6782,5,2cYnZNzFRFK0H7vSNxPsUq
61,Let Me Love You,DJ Snake,61,4648,5,0lYBSQXN6rCTvUZvg9S0lU
62,Sensualidad,Bad Bunny,61,8133,1,5hcisvFMidkMJlElTO9Qmw
63,En Peligro de Extinción,La Adictiva Banda San José de Mesillas,61,1949,64,45sVRPegWSGpIcsrDoaaCY
64,Quiere Beber,Anuel AA,60,7892,1,0FDMH2ahuIVzCybwHJK9zh
65,Me Llamas (feat. Maluma) - Remix,Piso 21,60,3062,25,5hEM0JchdVzQ5PwvSfITeX
66,Lamento Boliviano,Los Enanitos Verdes,60,1954,72,6Pur3hWy6Nzc27ilmsp5HA
67,Adan y Eva,Paulo Londra,60,9556,2,132ALUzVLmqYB4UsBj5qD6
68,God's Plan,Drake,60,6863,3,2VWbHHhWnMzKWPUs4IEEW9
