,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,154,9613,1,7qiZfU4dY1lWllzX7mPBI3
1,Believer,Imagine Dragons,151,9844,3,0CcQNd8CINkwQfe1RDtGV6
2,'Till I Collapse,Eminem,148,3076,87,4xkOaSrkexMciUUogZKVTS
3,Élvezd,Punnany Massif,147,3916,58,15Zz41Ec3C6Rh6nDZa8331
4,Thunder,Imagine Dragons,138,9619,2,0tKcYR2II1VCQWT79i5NrW
5,In the End,Linkin Park,130,5151,1,60a0Rd6pjrkxjPbaKzXjfq
6,More Than You Know,Axwell /\ Ingrosso,127,9727,1,3PEgB3fkiojxms35ntsTgs
7,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,113,2447,84,1v7L65Lzy0j0vdpRjJewt1
8,Mindenki táncol /90'/,Majka,112,3796,36,75JtuuAnLKjLu8FyEMIzRe
9,Without You (feat. Sandro Cavazza),Avicii,112,8559,6,6Pgkp4qUoTmJIPn7ReaGxL
10,Stressed Out,Twenty One Pilots,106,3708,45,3CRDbSIZ4r5MsZ0YwxuEkn
11,New Rules,Dua Lipa,106,9144,2,2ekn2ttSfGqwhhate0LSR0
12,I Like Me Better,Lauv,104,4625,27,1wjzFQodRWrPcQ0AnYnvQ9
13,Amilyen Hülye Vagy Én Úgy Szeretlek,Kowalsky Meg A Vega,102,2890,110,3oY6ANnDviyZIjYSIUX02G
14,Perfect,Ed Sheeran,102,6194,8,0tgVpDi06FyKpA1z0VMD4v
15,Numb,Linkin Park,101,4024,2,2nLtzopw4rPReszdYBJU6h
16,These Days,Rudimental,100,9801,2,20ZP3Om9DvDazXrNUC7WM2
17,"U, u, u",Senkise,99,3267,56,1A1UTrTxZGjybb29iLCVAF
18,Blöff,AK26,98,4062,39,15h0TVG4qO6eutqjHQXb08
19,Whatever It Takes,Imagine Dragons,96,6936,16,0yt31hMKZMiyIEfiBiLD2N
20,Élnünk Kellett Volna,Halott Pénz,96,2716,77,361EamWYN312TFEpgNBDTE
21,FRIENDS,Marshmello,96,9897,1,08bNPGLD8AhKpnnERrAc6G
22,Feel It Still,Portugal. The Man,95,5994,10,6QgjcU0zLnzq5OrUoSZ3OK
23,Nevermind,Dennis Lloyd,94,9508,3,63SevszngYpZOwf63o61K4
24,Havana (feat. Young Thug),Camila Cabello,94,9488,1,1rfofaqEpACxVEHIZBJe6W
25,HUMBLE.,Kendrick Lamar,93,7075,7,7KXjTSCq5nL1LoYtL7XAwS
26,Closer (feat. Halsey),The Chainsmokers,91,5778,7,7BKLCZ1jbUBVqRi2FVlTVw
27,Something Just Like This,The Chainsmokers,90,9893,3,6RUKPb4LETWmmr3iAEQktW
28,Youngblood,5 Seconds of Summer,90,9116,4,2iUXsYOEPhVqEBwsqP70rE
29,Meggyfa,Horváth Tamás,89,3129,52,7knuVKl5CtGWnSAAWWWUL6
30,There's Nothing Holdin' Me Back,Shawn Mendes,89,8400,6,79cuOz3SPQTuFrp8WgftAu
31,rockstar (feat. 21 Savage),Post Malone,88,7858,8,0e7ipj03S05BNilyu5bRzt
32,Better Now,Post Malone,88,9698,4,7dt6x5M1jzdTEt8oCbisTK
33,2002,Anne-Marie,87,4974,21,2BgEsaKNfHUdlh97KmvFyo
34,Scared to Be Lonely,Martin Garrix,86,9432,3,0KR2W3St74th8z3LS94Ffh
35,Without Me,Eminem,85,2857,99,7lQ8MOhq6IN2w8EYcFNSUk
36,Solo (feat. Demi Lovato),Clean Bandit,85,9747,1,3NuK5xMlSlB6K2Qp16zf3h
37,It Ain't Me (with Selena Gomez),Kygo,84,9724,2,3eR23VReFzcdmS7TYCrhCe
38,SAD!,XXXTENTACION,83,9616,2,35ieKju5aLWFN5UgfJ27mL
39,Symphony (feat. Zara Larsson),Clean Bandit,81,8746,3,1x5sYLZiu9r5E43kMlt9f8
40,Despacito (Featuring Daddy Yankee),Luis Fonsi,81,9625,2,4aWmUDTfIPGksMNLV2rQP2
41,High Hopes,Panic! At The Disco,81,9684,2,1rqqCSm0Qe4I9rUvWncaom
42,IDGAF,Dua Lipa,80,9382,3,76cy1WJvNGJTj78UqeA5zr
43,The Middle,Zedd,79,6710,9,09IStsImFySgyp0pIQdqAc
44,Wolves,Selena Gomez,78,9798,1,0tBbt8CrmxbjRP0pueQkyU
45,In My Mind,Dynoro,78,9561,1,0E9ZjEAyAwOXZ7wJC0PD33
46,"Partizán, Pt. 2",Punnany Massif,78,2183,90,18pwejzjxIK3wwUyxWShuS
47,I Like It,Cardi B,78,8090,8,58q2HKrzhC3ozto2nDdN4z
48,Rise,Jonas Blue,77,9564,3,3KLygy1YWhmrQx0GRs7IOx
49,Blah Blah Blah,Armin van Buuren,77,6700,13,0tp6mwUt99QnfY95T30Lqj
50,Solo Dance,Martin Jensen,77,5443,15,3R6dPfF2yBO8mHySW1XDAa
51,Lucid Dreams,Juice WRLD,77,9548,7,0X8DcetL926BYiPJYstJTc
52,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,76,9646,2,2hrUO4drrO63i7FYbCLBl2
53,Radioactive,Imagine Dragons,75,1765,104,4G8gkOterJn0Ywt6uhqbhp
54,Natural,Imagine Dragons,75,9644,2,2FY7b99s15jUprqC0M5NCT
55,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,75,2417,82,3bidbhpOYeV4knp8AIu8Xn
56,Hol van az a lány,DR BRS,74,6171,17,5qmqZ2Fh9dHhDT82afD08n
57,Füttyös,Majka,74,9354,2,6bsERSsjVL4Cpt0e2t77Vx
58,One Kiss (with Dua Lipa),Calvin Harris,73,9710,1,7ef4DlsgrMEH11cDZd32M6
59,Eastside (with Halsey & Khalid),benny blanco,72,7808,11,0d2iYfpKoM0QCKvcLCkBao
