,Track Name,Artist,Count,Streams,Position,spotify_id
0,Say You Won't Let Go,James Arthur,155,8347,1,5uCax9HTNlzGybIStD3vDh
1,Seperti Yang Kau Minta,Chrisye,155,9888,82,0przIlLCg6sRuRUBEUginM
2,Untuk Perempuan Yang Sedang Di Pelukan,Payung Teduh,155,9703,21,0urpBLpcm6DOGzs86rcKd8
3,You,Ten2Five,155,9670,49,4ilwLEDlMXGEVmMAAEJavA
4,Untitled,Maliq & d'Essentials,155,9794,58,1i9iliTpiPLizleapSg37I
5,Cinta Dan Rahasia,Yura Yunita,155,9994,46,4HXUMRdT6s6Am6YHcWmuib
6,Dan...,Sheila On 7,155,9884,8,1MdjZzEInrmDBXf8zs0nKS
7,Sempurna,Andra & The Backbone,155,9553,81,7yyDYbyS8DVawBsYCEzGCg
8,Manusia Bodoh,Ada Band,155,9784,47,408TyH9YoTkH9J0Da9Ue8C
9,Dekat Di Hati,RAN,155,9855,57,0owU9W5gPsJEcwAmMjzomy
10,Closer (feat. Halsey),The Chainsmokers,155,8759,2,7BKLCZ1jbUBVqRi2FVlTVw
11,Kangen,Dewa 19,154,9514,28,5LqanqJSmZwbwPtIi2RwTb
12,Kenangan Terindah,SAMSONS,150,9887,66,3mx6RlVZYpbsd8dG5LRxbM
13,I Will Fly,Ten2Five,148,9922,94,0IpMEZdKu7FB5KOpNEg8x3
14,Photograph,Ed Sheeran,147,9900,51,6fxVffaTuwjgEk5h9QyRjy
15,Perfect,Ed Sheeran,147,97436,2,0tgVpDi06FyKpA1z0VMD4v
16,Something Just Like This,The Chainsmokers,147,9986,1,6RUKPb4LETWmmr3iAEQktW
17,Shape of You,Ed Sheeran,142,97964,1,7qiZfU4dY1lWllzX7mPBI3
18,Monokrom,Tulus,139,9743,66,4GfK1qOF3uBWidbPlTCQRL
19,Pelangi,Hivi!,137,9985,42,38CdjYpFJHMzZ2Pyh5IvRP
20,Aku Tenang,Fourtwnty,136,8851,31,671zYm5ZtN7bHaDOwY3Kxy
21,I Like Me Better,Lauv,136,6662,21,1wjzFQodRWrPcQ0AnYnvQ9
22,Cukup Tau,Rizky Febian,134,43589,14,23V8GLR7IHBzc4ipiT5Zl2
23,Muara,Adera,134,9441,28,4lCtZZktwgQqzCoJxK3ZxR
24,Symphony (feat. Zara Larsson),Clean Bandit,133,7675,3,1x5sYLZiu9r5E43kMlt9f8
25,Versace on the Floor,Bruno Mars,132,7910,6,0kN8xEmgMW9mh7UmDYHlJP
26,Ruang Rindu,Letto,130,9961,71,7GIPybgkHmY4ZY56YLpTJi
27,That's What I Like,Bruno Mars,130,9971,3,0KKkJNfGyhkQ5aFogxQAPU
28,Ruang Sendiri,Tulus,130,9996,46,3xTRHJwjjTP9dBP9aWbCi1
29,Fana Merah Jambu,Fourtwnty,127,8826,27,2GlAH40dBbcSUEtK9uyFu0
30,Seberapa Pantas,Sheila On 7,126,9899,45,1BaGfrlIWinaF77p7QASBH
31,Attention,Charlie Puth,124,77717,2,4iLqG9SeJSnt0cSPICSjxv
32,Sampai Jadi Debu (Menampilkan Gardika Gigih),Banda Neira,121,9626,67,0ROj512WvJ1eqeELd7MEdJ
33,Takkan Terganti,Marcell,120,9917,82,0T4t1PywlNmJGcveGH5spB
34,When You Love Someone,Endah N Rhesa,119,9979,116,1HT7YpdOHJJBHLOdJMuksc
35,Hitam Putih,Fourtwnty,119,9990,85,2eTTcptPLH3XZ64EBK1qn0
36,Remaja,Hivi!,117,6112,21,1SaQZoFXNu7ZAxxKImzFgf
37,Best Part (feat. Daniel Caesar),H.E.R.,115,87229,5,4OBZT9EnhYIV17t4pGw7ig
38,Too Good At Goodbyes,Sam Smith,113,98454,1,1mXVgsBdtIVeCLJnSnmtdV
39,Kasmaran,Jaz,112,9753,31,6rB2whUL8s2Kt3wIxsnCGf
40,Pamit,Tulus,111,9775,83,3B4VP6swG49n3scg2aMfA6
41,Hampa,Ari Lasso,111,9910,67,6bE0o9hYUPYlokZIH79oM0
42,Mama,Jonas Blue,110,9825,4,0NiXXAI876aGImAd6rTj8w
43,As If It's Your Last,BLACKPINK,109,39413,15,1Zyd6zQnC6XIIzmg3hP7Ot
44,1000 Tahun Lamanya,Tulus,108,9932,98,23K1DCCIlAmi97SWZhzZ0V
45,Happier,Ed Sheeran,106,9894,26,2RttW7RAu5nOAfq6YFvApB
46,"Yang Patah Tumbuh, Yang Hilang Berganti",Banda Neira,105,9840,111,6Rd4ep779v8CjlFVhaHrNX
47,IDGAF,Dua Lipa,104,91603,1,76cy1WJvNGJTj78UqeA5zr
48,Hari Bersamanya - Accoustic Version,Sheila On 7,103,9831,113,52Z28hjK31wudUscWv1UjR
