,Track Name,Artist,Count,Streams,Position,spotify_id
0,Mr. Brightside,The Killers,154,9966,53,7d8GetOsjbxYnlo6Y9e5Kw
1,Say You Won't Let Go,James Arthur,144,9243,6,5uCax9HTNlzGybIStD3vDh
2,Shape of You,Ed Sheeran,133,9923,1,7qiZfU4dY1lWllzX7mPBI3
3,Africa,TOTO,120,8971,66,2374M0fQpWi3dLnB54qaLX
4,Take My Hand,Picture This,110,9864,25,06KH78mmsvESwUgJzdNOEc
5,Everywhere - 2017 Remaster,Fleetwood Mac,107,9303,46,254bXAqt3zP6P50BdQvEsq
6,You Make My Dreams,Daryl Hall & John Oates,105,9106,83,4o6BgsqLIBViaGVbx5rbRk
7,Unforgettable,French Montana,104,9203,2,1F2HXIJrE2Xn81OzT2zZvW
8,Wonderwall - Remastered,Oasis,103,7032,116,5qqabIl2vWzo9ApSC317sa
9,Congratulations,Post Malone,100,9720,31,3a1lNhkSLSkpJE4MSHpDu9
10,Happier,Ed Sheeran,100,8704,3,2RttW7RAu5nOAfq6YFvApB
11,Perfect,Ed Sheeran,99,9895,7,0tgVpDi06FyKpA1z0VMD4v
12,Castle on the Hill,Ed Sheeran,98,9918,2,6PCUP3dWmTjcTtXY02oFdT
13,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,94,8839,104,2tUBqZG2AbRi7Q0BIrVrEj
14,Shotgun,George Ezra,93,9953,1,4ofwffwvvnbSkrMSCKQDaC
15,These Days,Rudimental,92,9696,2,20ZP3Om9DvDazXrNUC7WM2
16,Paradise,George Ezra,92,9764,8,38zwkK6TtTjIW9tpYBfZ3D
17,One Dance,Drake,91,9075,22,1xznGGDReH1oQq0xzbwXa3
18,New Rules,Dua Lipa,91,9943,1,2ekn2ttSfGqwhhate0LSR0
19,I Fall Apart,Post Malone,89,9956,9,75ZvA4QfFiZvzhj2xkaWAh
20,HUMBLE.,Kendrick Lamar,87,9417,1,7KXjTSCq5nL1LoYtL7XAwS
21,2002,Anne-Marie,87,9964,2,2BgEsaKNfHUdlh97KmvFyo
22,Youngblood,5 Seconds of Summer,87,9930,4,2iUXsYOEPhVqEBwsqP70rE
23,rockstar (feat. 21 Savage),Post Malone,85,9476,10,0e7ipj03S05BNilyu5bRzt
24,Lucid Dreams,Juice WRLD,85,9397,12,0X8DcetL926BYiPJYstJTc
25,This Is Me,Keala Settle,83,9854,13,2xGjteMU3E1tkEPVFBO08U
26,Better Now,Post Malone,82,9265,4,7dt6x5M1jzdTEt8oCbisTK
27,I'll Be There,Jess Glynne,82,9894,8,083Qf6hn6sFL6xiOHlZUyn
28,Feel It Still,Portugal. The Man,79,9459,12,6QgjcU0zLnzq5OrUoSZ3OK
29,SAD!,XXXTENTACION,78,8885,5,35ieKju5aLWFN5UgfJ27mL
30,God's Plan,Drake,77,9894,1,2VWbHHhWnMzKWPUs4IEEW9
31,Eastside (with Halsey & Khalid),benny blanco,77,9980,1,0d2iYfpKoM0QCKvcLCkBao
32,One Kiss (with Dua Lipa),Calvin Harris,75,9657,1,7ef4DlsgrMEH11cDZd32M6
33,The Greatest Show,Hugh Jackman,75,9814,22,43ay9lQZ5rfNcOOHhRF2cM
34,Symphony (feat. Zara Larsson),Clean Bandit,75,8557,1,1x5sYLZiu9r5E43kMlt9f8
35,IDGAF,Dua Lipa,74,9924,1,76cy1WJvNGJTj78UqeA5zr
36,Be Alright,Dean Lewis,74,9999,7,2H4gf1wLxvYreMj1jcaN0k
37,Jocelyn Flores,XXXTENTACION,73,9661,13,7m9OqQk4RVRkw9JJdeAw96
38,Thunder,Imagine Dragons,73,8710,17,0tKcYR2II1VCQWT79i5NrW
39,Body (feat. brando),Loud Luxury,72,9838,2,7K7MUBCnzgBAvMVW2RTWNs
40,SICKO MODE,Travis Scott,72,9419,11,2xLMifQCjDGFmkHkpNLD9h
41,Honey,070 Shake,72,9842,61,0PoMoPqIJxe6H0rDMnpGP8
42,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,72,8516,67,3bidbhpOYeV4knp8AIu8Xn
43,Came Here for Love,Sigala,72,9615,8,0mGJTKRIuCOJtiT4YkJHiv
44,Despacito - Remix,Luis Fonsi,71,9596,1,5CtI0qwDJkDQGwXD1H1cLb
