,Track Name,Artist,Count,Streams,Position,spotify_id
0,ילדים כאלה,Eden Hason,85,4142,35,1yX4fjnwAAuggxCSBtLO9z
1,כל הזמן הזה,Ravid Plotnik,85,3231,80,3SSQpPFdf3WkAQgld5Eib8
2,שמישהו יעצור אותי,Eden Hason,85,7180,15,0KpRklQy5rorqtOWeip9E0
3,שני משוגעים,Omer Adam,85,6536,5,1EbUjcgx4c1tLHdqC6eHJd
4,אוהבת אותי אמיתי,Omer Adam,85,5462,3,6oIov5sfpCAgi8EAO8VjOu
5,לשוב הביתה,Ishay Ribo,85,9763,7,52n4gF126eIllrGuc9Zus6
6,Youngblood,5 Seconds of Summer,85,4516,15,2iUXsYOEPhVqEBwsqP70rE
7,בסיבוב,Tuna,85,3275,78,5RnhWaP5VD3eJN3J0chPmh
8,Believer,Imagine Dragons,85,3301,55,0pqnGHJpmpxLKifKRmU6WP
9,Better Now,Post Malone,84,4532,6,7dt6x5M1jzdTEt8oCbisTK
10,2002,Anne-Marie,84,3445,34,2BgEsaKNfHUdlh97KmvFyo
11,מישהו איתי כאן,Benaia Barabi,84,7716,22,3UEYFJsF12eG1L0zrqlLPZ
12,Lucid Dreams,Juice WRLD,84,8204,4,0X8DcetL926BYiPJYstJTc
13,Girls Like You (feat. Cardi B),Maroon 5,83,7602,1,6FRLCMO5TUHTexlWo8ym1W
14,Shape of You,Ed Sheeran,82,3049,53,7qiZfU4dY1lWllzX7mPBI3
15,תתארו לכם,Shlomo Artzi,81,4743,57,0CgiwDmWBRlmD4wYXBsQ5I
16,צבעים,Gil Vain,81,6905,5,0I6rh1Fz1zmJZARsxyo7v6
17,חברות שלך,Omer Adam,81,5980,5,0Fb3GIRqInVTmtowYT9Ppm
18,חיים שלי,Eden Ben Zaken,80,3725,14,1ng7BTOG1an0GuQpU9vNaj
19,אחת ולתמיד,Ishay Ribo,79,6191,38,3bgNXXL7TjlBDOl36wLWHk
20,עד מחר,Eviatar Banai,79,5408,49,5dlEgrCOjy9FTcQM1vrrh5
21,פתאום אהבה,Itay Levi,79,3508,19,1HH4IitAuYbMnZ4PYb2O5I
22,FRIENDS,Marshmello,78,6022,4,08bNPGLD8AhKpnnERrAc6G
23,Bohemian Rhapsody - 2011 Mix,Queen,75,5906,7,4u7EnebtmKWzUH433cf5Qv
24,תוכו רצוף אהבה,Ishay Ribo,75,5978,42,1QP8gp1xtid9iE9L7SzB8e
25,Here Comes The Sun - Remastered 2009,The Beatles,75,3002,109,6dGnYIeXmHdcikdzNNDMm2
26,rockstar (feat. 21 Savage),Post Malone,74,3364,21,0e7ipj03S05BNilyu5bRzt
27,SICKO MODE,Travis Scott,74,5128,6,2xLMifQCjDGFmkHkpNLD9h
28,Eastside (with Halsey & Khalid),benny blanco,74,4640,12,0d2iYfpKoM0QCKvcLCkBao
29,Solo (feat. Demi Lovato),Clean Bandit,72,5905,3,3NuK5xMlSlB6K2Qp16zf3h
30,הכי קרוב אלייך,Elai Botner,72,2780,52,24xbat16HM9XYXJMyFfpXq
31,Happier,Marshmello,72,8812,3,2dpaYNEQHiRxtZbfNsse99
32,יש ימים,Liran Danino,72,4140,23,4634Q6zs4pvqGAXS5uXZau
33,סיגפו,Beit Habubot,71,3501,97,09yDsl7d8xXZPntarkiVes
34,שיכורים,Eden Hason,71,5597,13,494ZfDEUkMIN6qhrqsNi75
35,SAD!,XXXTENTACION,71,5823,3,3ee8Jmje8o58CHK66QrVC2
36,שהכאב ימצא לו חברים,Yam Refaeli,70,2995,51,1AP8LTcp2bdfzKErYRSR6R
37,ברגעים שאת הולכת,Osher Cohen,69,4736,17,3YB8nipMIp5h5iXM23JvEx
38,הלב שלך בממתינה,Dudu Aharon,68,3928,17,3JpSBMUG8uWLi5ZXlkCWIU
39,Thunder,Imagine Dragons,68,2477,61,1zB4vmk8tFRmM9UULNzbLB
40,חלק מהזמן,Idan Amedi,67,6765,33,6AuhyP1rKXVGvvrqr5UNaK
41,The Middle,Zedd,67,3209,25,09IStsImFySgyp0pIQdqAc
42,רחוק מכולם,Omer Adam,67,9443,1,2ut3zQxLTnkUwVckocuNPM
43,As a Stone,Full Trunk,66,3271,113,0odehEKB3SeuY8NIm9kBT4
44,עולם משוגע,Tuna,66,3205,123,4JmmjsGmOED0sn0Le3r84u
45,Rise,Jonas Blue,66,5087,9,3KLygy1YWhmrQx0GRs7IOx
46,IDGAF,Dua Lipa,66,4155,14,76cy1WJvNGJTj78UqeA5zr
47,High Hopes,Panic! At The Disco,66,6645,6,1rqqCSm0Qe4I9rUvWncaom
48,Shallow,Lady Gaga,66,8953,4,2VxeLyX666F8uXCJ0dZF8B
49,גם זה יעבור,Tuna,66,2752,127,7vlw3ezpsoXCBONhNXLOcV
50,Sweet but Psycho,Ava Max,65,5945,19,25sgk305KZfyuqVBQIahim
51,Without Me,Halsey,65,7291,6,5p7ujcrUXASCNwRaWNHR1C
52,לפעמים,Ori Ben Ari,65,2521,58,1LPAIuklAWhEUGQ3nQrcBr
53,Havana (feat. Young Thug),Camila Cabello,65,3228,20,1rfofaqEpACxVEHIZBJe6W
54,שמיים,Eliad,64,2828,37,4xXgTGPTNPfdIFoUO6s5ZF
55,תפסת לי מקום,Benaia Barabi,64,4181,54,28wIP06VV0ucyHel0dJFMd
56,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,63,6507,3,0RiRZpuVRbi7oqRdSMwhQY
57,אל תשאלי,Gil Vain,62,3289,106,0Rym9F9ypVM8HpPn9EzM5S
58,Moonlight,XXXTENTACION,60,4199,8,0JP9xo3adEtGSdUEISiszL
59,no tears left to cry,Ariana Grande,60,4359,14,2qT1uLXPVPzGgFOx4jtEuo
60,I Like It,Cardi B,60,6664,2,58q2HKrzhC3ozto2nDdN4z
61,מתפוצץ לי הראש,Eden Hason,60,4928,14,7ASi7ezK3VWIgVSKHXgTCC
62,In My Mind,Dynoro,60,5600,4,0E9ZjEAyAwOXZ7wJC0PD33
63,One Kiss (with Dua Lipa),Calvin Harris,59,5707,2,7ef4DlsgrMEH11cDZd32M6
64,Perfect,Ed Sheeran,59,2228,86,0tgVpDi06FyKpA1z0VMD4v
65,Leftovers,Dennis Lloyd,59,4104,37,0dcuGoAIPAT7OrP5CGSVBA
66,Don't Stop Me Now - 2011 Mix,Queen,58,3749,40,5T8EDUDqKcs6OSOwEsfqG7
67,Flames,David Guetta,57,3219,22,33IOhptvC2Qoy2UhjiHXLV
68,נסיכה שלי,Ivri Lider,57,3360,52,29CnJh29jn9ps2E0ZYupct
69,קירות,Itay Levi,57,9649,3,0ZFQYK9u8C1nGLXXb4y17W
70,God's Plan,Drake,56,6424,6,2VWbHHhWnMzKWPUs4IEEW9
71,New Rules,Dua Lipa,56,3134,25,2ekn2ttSfGqwhhate0LSR0
72,ואם תבואי אליי,Idan Raichel,56,7474,28,0ACFJm4VlgvdHs2qvHZ6yG
73,when the party's over,Billie Eilish,55,5310,30,14JzyD6FlBD5z0wV5P07YI
74,באתי לחלום,Nathan Goshen,55,5006,13,1sHem1v7PIOjYX7vQlTGrF
75,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,54,3008,29,4hQ6UGyWQIGJmHSo0J88JW
76,סוודר,Noy Fadlon,54,7623,3,4Yq0YrSQ8ACaZzBAZsVcBo
77,Say My Name,David Guetta,53,2510,52,0YammaEkYSeo9vQYZ1OwS6
78,יפה כלבנה,Eviatar Banai,53,3355,117,2da2YOegDZxpYiXLvA3u29
79,תבואי היום,Eyal Golan,52,2480,102,3pTajpF0kUE6DhenoCNWWq
80,Jackie Chan,Tiësto,51,5041,7,4kWO6O1BUXcZmaxitpVUwp
81,7 rings,Ariana Grande,50,9773,1,14msK75pk3pA33pzPVNtBF
82,Natural,Imagine Dragons,50,4357,13,2FY7b99s15jUprqC0M5NCT
83,בדיוק כמו הירח,Yuval Dayan,49,3912,85,4oUdKVvn9QpGfYOHfErtLz
84,HUMBLE.,Kendrick Lamar,49,1982,75,7KXjTSCq5nL1LoYtL7XAwS
85,מה את מרגישה,Idan Amedi,49,4567,33,2B9M3TbpXWZGupKfAoufUp
86,Let Me Down Slowly,Alec Benjamin,49,4892,40,2qxmye6gAegTMjLKEBoR3d
87,Taste (feat. Offset),Tyga,48,5017,7,2toVe5hfuIi97ytDPDbQFt
88,הלב שלי,Ishay Ribo,48,9628,3,1RK1MIBs9oM4RN1eYBfKzN
89,Nevermind (Alright),Dennis Lloyd,47,2459,57,1rwRQ8EfWU8XkXlWz0uH1F
90,אני מבולבל,Eden Hason,47,4185,19,14HTOqZZqPDkK5n6vrL7YG
91,Wow.,Post Malone,47,8401,1,2ve5NyzWHUbIYxL33goCX7
92,הזוג הזה,Mergui,47,5626,18,4wsc8OzliQP9P2ZiuevaBn
93,איך אפשר,Jane Bordeaux,47,3572,102,7o6UDPFWtYrjUZnRvi1dvO
94,Body (feat. brando),Loud Luxury,47,4116,19,7K7MUBCnzgBAvMVW2RTWNs
95,Con Calma,Daddy Yankee,47,7445,10,5w9c2J52mkdntKOmRLeM2m
96,Genius,Sia,47,3727,16,3qGDwGqdyFq3faUU4BmhdY
97,Drum,Noa Kirel,46,5026,24,3qjaGBUPlPuOWisR11tzDS
98,מעליות,Dudu Tassa,46,3338,114,6DmmH8JIYRW5yvEB5BDmmd
99,Never Go Back,Dennis Lloyd,46,9661,1,2QrXzOqLCVDRZHkToA0tSR
100,אלוף העולם,Hanan Ben Ari,45,9963,2,67dg9xeMIRXjcQbmbWtBFW
101,More Than You Know,Axwell /\ Ingrosso,45,2503,42,6h5PAsRni4IRlxWr6uDPTP
102,Comme ci comme ca,Stephane legar,45,6873,3,0poi1IyVFRKXI2jvHmdaIa
103,Look Alive (feat. Drake),BlocBoy JB,45,3329,18,4qKcDkK6siZ7Jp1Jb4m0aL
104,Sucker,Jonas Brothers,44,7970,8,22vgEDb5hykfaTwLuskFGD
