,Track Name,Artist,Count,Streams,Position,spotify_id
0,Vor í Vaglaskógi,KALEO,137,2864,21,2OdpZeTpnbqPqBrclk2pib
1,Perfect,Ed Sheeran,133,4395,9,0tgVpDi06FyKpA1z0VMD4v
2,Shape of You,Ed Sheeran,124,9619,1,7qiZfU4dY1lWllzX7mPBI3
3,Já ég veit,Birnir,111,8893,1,527GqNC4mcZ45iNhkAxwSm
4,Út í geim,Birnir,101,9599,2,5Cf5TGPdkKeicSchZ4O7C9
5,Ungir Strákar - Deep Mix,Floni,101,7242,1,5q4wkqDLqnvPy1nMrOvRz7
6,Rómeó og Júlía,Bubbi Morthens,95,2153,57,0IdsoEg5mjXNqlrskkzWjl
7,B.O.B.A.,JóiPé,89,9231,1,0YvK56iC9rz1cW1FC3DepD
8,Leiðin okkar allra,Hjálmar,88,1742,50,0OM36fpNkTq08yVSWQ2h3c
9,Africa,TOTO,85,1418,74,2374M0fQpWi3dLnB54qaLX
10,Leika,Floni,83,8870,2,01BH84YKAUW6My06QFJ8wi
11,Fýlaða,Svanur,81,2854,31,4sqD9XT0PJeBE7J38EaKAB
12,Jocelyn Flores,XXXTENTACION,79,5939,4,7m9OqQk4RVRkw9JJdeAw96
13,Lætur mig,GDRN,79,3964,13,0bnCxmktCsoiwb1Witnnrd
14,Í Átt Að Tunglinu,JóiPé,77,9249,1,4wBY9TNUoxtKiRh4JjAS7x
15,Upp Til Hópa,Herra Hnetusmjör,75,9909,1,3bM0moaEM1h0qpuFhD08FY
16,Þetta má,Emmsjé Gauti,74,4049,8,4WiK8hgPt5QgwGdt9z7MrJ
17,Manstu Ekki Eftir Mér? (Remix),SZK,74,3078,39,3YCvM66mVzyyscuMibOBQI
18,Aldrei Heim,Aron Can,72,9422,1,1BwrZ8tZ3sN7cMqDoQ91hd
19,O Shit,JóiPé,70,8517,2,4QQQy4piBADsklMVcueNAH
20,Despacito - Remix,Luis Fonsi,69,8784,1,5CtI0qwDJkDQGwXD1H1cLb
21,Þráhyggja,JóiPé,68,8524,1,1jgN7Uraxy2UgwAsGm5yo0
22,Lucid Dreams,Juice WRLD,68,6480,5,0X8DcetL926BYiPJYstJTc
