,Track Name,Artist,Count,Streams,Position,spotify_id
0,Closer (feat. Halsey),The Chainsmokers,155,9931,1,7BKLCZ1jbUBVqRi2FVlTVw
1,My Boo,Shota Shimizu,155,9906,3,2gasr6aemUqZIBBN05EO03
2,恋音と雨空,AAA,155,9860,7,46gSY0U7ZZCmd7EuJuo15N
3,The Beginning,ONE OK ROCK,155,9941,23,4f3nDjgqXurMryYBSp0TZD
4,Wherever you are,ONE OK ROCK,155,9521,5,0YAMQSmHk6BSUGTYpaoqTJ
5,Shape of You,Ed Sheeran,155,9599,1,7qiZfU4dY1lWllzX7mPBI3
6,ワタリドリ,[Alexandros],155,9968,8,0ve9Tpz8Yw0I4eXhWsy21o
7,ひまわりの約束,Motohiro Hata,153,9364,25,315z5bDr8oJ0OAxD3jQZmH
8,愛唄,GReeeeN,152,9985,6,6ANQEKJui81dRMb6xD3XrO
9,キセキ,GReeeeN,152,9654,19,7ztdl6cnbJgHRdMkKldkts
10,Kimi Ga Suki,Shota Shimizu,142,9941,15,5Bg0HkfaRYRx8A7tMrjT9Z
11,さよならの前に,AAA,141,9896,19,7vwXjDrZT2mqiFynlEwwgG
12,愛をこめて花束を,Superfly,138,9093,5,7CmWXD3w1xOO53AAO4LRVQ
13,Sugar,Maroon 5,137,9960,65,0ljEFYEFuqspdPCWn75FPP
14,Symphony (feat. Zara Larsson),Clean Bandit,135,9884,7,1x5sYLZiu9r5E43kMlt9f8
15,小さな恋のうた,MONGOL800,134,9791,6,23atyJacJVHvB9RHBNhr35
16,鱗(うろこ),Motohiro Hata,131,9786,20,1tkWfKfJqdqbY3oadsjXCf
17,What Do You Mean?,Justin Bieber,130,9357,20,3pzjHKrQSvXGHQ98dx18HI
18,Something Just Like This,The Chainsmokers,128,9939,1,6RUKPb4LETWmmr3iAEQktW
19,打上花火,DAOKO×米津玄師,124,45428,1,4IouQaO9GkaHC7AtMErdSa
20,Home,Shota Shimizu,123,9980,24,5PF0IW8iHqOcTWAyRqiDzb
21,WanteD! WanteD!,Mrs. GREEN APPLE,122,9987,11,4m8ayeTlVnsYAtR42NhDqZ
22,Kataomoi,Aimer,122,9894,54,3yyygrZ3m9dHsqeDx0QaFU
23,Sorry,Justin Bieber,116,8338,36,09CtPGIpYB4BrO8qb1RGsF
24,Hana,ORANGE RANGE,116,9942,24,2m0OFi42YdJHAm6cYRNZtc
25,AM11:00,HY,115,9979,21,6RKE835qBUUneyOH1p0fnP
26,RAIN,SEKAI NO OWARI,115,9985,8,0aFUi8kAIUcLEaM6LylNui
27,366日,HY,114,9965,7,0GhhU1qpdbKG1AUMKkFGbi
28,Shake It Off,Taylor Swift,112,9987,79,0cqRj7pUJDkTCEsJkx8snD
29,Story,AI,112,8333,17,0V2axJ946WH1vt9t5SGMLV
30,Kanzen kankaku Dreamer,ONE OK ROCK,112,9623,45,1XT0cpl9g0GuRQJao2nqXd
31,にじいろ,ayaka,111,9755,68,3JrxNi0sQ1Lnx8eGonp3Ma
32,I LOVE YOU,Chris Hart,108,9755,19,0mf82mK5aeZm4vN9HM2InQ
33,楓,SPITZ,107,9979,33,0b7IBgZjedM53ufZV4f4CL
34,何度でも,DREAMS COME TRUE,107,9870,36,6Qq8UOS6QzeSYFUVXC5wEB
35,Dream,Shota Shimizu,106,9750,16,6PO8T4qt3FHfauSs98zO9j
36,ロビンソン,SPITZ,106,9877,35,0sVnyL71jTOuMt9TZ59bws
37,TT,TWICE,105,8503,24,1nMbZ9OsVNSLEyijI80EST
38,光榮之橋,Yuzu,105,9513,54,5KaplUYIDvsFe69z7UArVt
39,どんなときも。,Noriyuki Makihara,103,9882,26,4feDzcxtXRU8clyOluco5Y
40,愛を伝えたいだとか,Aimyon,102,9517,4,0N8Xztr4pBHJ7V0moJWhbO
41,Thinking out Loud,Ed Sheeran,102,9841,69,1Slwb6dOYkBlWal1PGtnNg
42,Love Yourself,Justin Bieber,101,8611,46,3hB5DgAiMAQ4DzYbsMq1IT
43,君はロックを聴かない,Aimyon,101,9879,2,59eluCMn0XbOWqeWQ91FTM
44,Kimiga Kureta Natsu,Leo Ieiri,100,9896,18,4bK6qPvD4xB8npRkZa1a55
45,Choucho Musubi,Aimer,100,9993,62,4r20tmzg4tfon0Kg0yxB91
46,NAO,HY,99,9940,36,2PeCrMLUayMPZnLZPkJxOJ
47,Change,ONE OK ROCK,98,38514,1,0BOHIMI5EvhGuZSkWLwxIP
48,Stay,Zedd,98,9893,4,0I20rLT2MJDhcF96AjbNYo
49,Sayonara Elegy,Masaki Suda,97,9201,1,0QKmcZNAST4GytJYmkN05D
50,Perfect,Ed Sheeran,96,9887,11,0tgVpDi06FyKpA1z0VMD4v
51,新宝島,Sakanaction,96,9382,2,6ODZT1FGTE2q4two05giS1
52,Galway Girl,Ed Sheeran,96,9598,4,0afhq8XCExXpqazXczTSve
53,DNA,BTS,96,9949,2,5SE57ljOIUJ1ybL9U6CuBH
54,STAY TUNE,Suchmos,93,9607,8,0albLGvYx6ftOUJ7KF0i5I
55,That's What I Like,Bruno Mars,93,9805,6,0KKkJNfGyhkQ5aFogxQAPU
56,Just the Way You Are,Bruno Mars,93,7839,74,7BqBn9nzAq8spo5e7cZ0dJ
57,君に届け,flumpool,92,9964,21,0kA7SWxWPYqSyIbMl51X5b
58,24K Magic,Bruno Mars,92,8639,3,6b8Be6ljOzmkOmFslEb23P
59,See You Again (feat. Charlie Puth),Wiz Khalifa,91,7124,68,2JzZzZUQj3Qff7wapcbKjc
60,The Middle,Zedd,91,9966,4,09IStsImFySgyp0pIQdqAc
61,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,91,8764,11,2hrUO4drrO63i7FYbCLBl2
62,Wolves,Selena Gomez,89,9918,2,0tBbt8CrmxbjRP0pueQkyU
63,ノーダウト,Official HIGE DANdism,89,9947,3,3sGKkQ5NlRJMzDVmeJFSYJ
64,ハナミズキ,Yo Hitoto,88,9961,17,4PqDkR6YM80Sy590Qsy6mm
65,2002,Anne-Marie,88,9895,14,2BgEsaKNfHUdlh97KmvFyo
66,Let Me Love You,DJ Snake,87,7838,2,0lYBSQXN6rCTvUZvg9S0lU
67,Side To Side,Ariana Grande,87,7074,15,1pKeFVVUOPjFsOABub0OaV
68,New Rules,Dua Lipa,86,9634,4,2ekn2ttSfGqwhhate0LSR0
69,HANABI,Mr.Children,86,60230,1,77lmDcPPyY6kK907gdgC6i
70,Silent Majority,Keyakizaka46,85,9887,64,7b7U8EnH4gB3a9qphGYVoj
71,Break Free,Ariana Grande,83,6982,77,1T7Htpf1kEvU9Adf8J0ekk
72,LIKEY,TWICE,83,9940,6,4Eb5cLWxKQUoUQaKUYSRgI
73,プラネタリウム,Ai Otsuka,82,9572,120,3zfyzbHuqcT2AAffAyLm02
74,三日月,ayaka,82,9734,84,5SDVaYU4nfaIV0rNSlWSCa
75,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,81,9924,7,5AEtlRudpgdT5FtNiuly6Y
76,Despacito - Remix,Luis Fonsi,81,9858,2,5CtI0qwDJkDQGwXD1H1cLb
77,U.S.A.,DA PUMP,80,6890,1,4qZyuyqLoZ3CaH79rGvJFR
