,Track Name,Artist,Count,Streams,Position,spotify_id
0,In My Mind,Dynoro,74,5828,1,0E9ZjEAyAwOXZ7wJC0PD33
1,Youngblood,5 Seconds of Summer,68,4022,4,2iUXsYOEPhVqEBwsqP70rE
2,rockstar (feat. 21 Savage),Post Malone,66,3002,7,0e7ipj03S05BNilyu5bRzt
3,Shallow,Lady Gaga,65,6082,1,2VxeLyX666F8uXCJ0dZF8B
4,Better Now,Post Malone,63,4826,2,7dt6x5M1jzdTEt8oCbisTK
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,63,3894,3,0RiRZpuVRbi7oqRdSMwhQY
6,when the party's over,Billie Eilish,62,3480,3,14JzyD6FlBD5z0wV5P07YI
7,SAD!,XXXTENTACION,56,5116,1,35ieKju5aLWFN5UgfJ27mL
8,Shape of You,Ed Sheeran,55,7450,1,7qiZfU4dY1lWllzX7mPBI3
9,Bohemian Rhapsody - 2011 Mix,Queen,51,3366,4,4u7EnebtmKWzUH433cf5Qv
10,One Kiss (with Dua Lipa),Calvin Harris,47,5445,1,7ef4DlsgrMEH11cDZd32M6
11,Feel It Still,Portugal. The Man,47,2978,5,6QgjcU0zLnzq5OrUoSZ3OK
12,Eastside (with Halsey & Khalid),benny blanco,46,3282,5,0d2iYfpKoM0QCKvcLCkBao
13,7 rings,Ariana Grande,46,8514,1,14msK75pk3pA33pzPVNtBF
14,Happier,Marshmello,46,3358,5,2dpaYNEQHiRxtZbfNsse99
15,Dancing With A Stranger (with Normani),Sam Smith,45,4414,1,6Qs4SXO9dwPj5GKvVOv8Ki
16,Nevermind,Dennis Lloyd,44,4333,2,63SevszngYpZOwf63o61K4
17,Another One Bites The Dust - Remastered 2011,Queen,43,2684,7,5vdp5UmvTsnMEMESIF2Ym7
18,Someone You Loved,Lewis Capaldi,42,3316,10,2TIlqbIneP0ZY1O0EzYLlc
19,Moonlight,XXXTENTACION,42,4191,4,0JP9xo3adEtGSdUEISiszL
20,Promises (with Sam Smith),Calvin Harris,41,5665,1,5N5k9nd479b1xpDZ4usjrg
21,Lucid Dreams,Juice WRLD,41,3516,8,0X8DcetL926BYiPJYstJTc
22,Sweet but Psycho,Ava Max,41,3027,6,25sgk305KZfyuqVBQIahim
23,SICKO MODE,Travis Scott,40,3032,7,2xLMifQCjDGFmkHkpNLD9h
24,HUMBLE.,Kendrick Lamar,40,4894,1,7KXjTSCq5nL1LoYtL7XAwS
25,Thunder,Imagine Dragons,40,4021,1,0tKcYR2II1VCQWT79i5NrW
26,High Hopes,Panic! At The Disco,40,2564,10,1rqqCSm0Qe4I9rUvWncaom
27,bad guy,Billie Eilish,40,9774,1,2Fxmhks0bxGSBdJ92vM42m
28,Body (feat. brando),Loud Luxury,40,3189,7,7K7MUBCnzgBAvMVW2RTWNs
29,Wow.,Post Malone,39,5457,1,2ve5NyzWHUbIYxL33goCX7
30,bury a friend,Billie Eilish,39,7990,1,4NzMOnvSJVNKF7nw5NkXIP
31,Be Alright,Dean Lewis,38,2972,7,2H4gf1wLxvYreMj1jcaN0k
