,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,30,4616,1,7qiZfU4dY1lWllzX7mPBI3
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,24,2033,3,4aWmUDTfIPGksMNLV2rQP2
2,Something Just Like This,The Chainsmokers,22,2196,2,6RUKPb4LETWmmr3iAEQktW
3,Call On Me - Ryan Riback Extended Remix,Starley,18,1582,4,78rIJddV4X0HkNAInEcYde
4,Mask Off,Future,18,2174,3,3rOSwuTsUlJp0Pu0MkN8r8
5,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,17,1674,6,6kex4EBAj0WHXDKZMEJaaF
6,It Ain't Me (with Selena Gomez),Kygo,17,2144,2,3eR23VReFzcdmS7TYCrhCe
7,Stay (with Alessia Cara),Zedd,16,1705,7,0dA2Mk56wEzDgegdC6R17g
8,Despacito - Remix,Luis Fonsi,15,3220,1,5CtI0qwDJkDQGwXD1H1cLb
9,Scared to Be Lonely,Martin Garrix,15,1593,5,0KR2W3St74th8z3LS94Ffh
10,Believer,Imagine Dragons,15,1316,14,0CcQNd8CINkwQfe1RDtGV6
11,Symphony (feat. Zara Larsson),Clean Bandit,15,1671,8,1x5sYLZiu9r5E43kMlt9f8
12,Slide (feat. Frank Ocean & Migos),Calvin Harris,15,1383,15,6gpcs5eMhJwax4mIfKDYQk
13,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,14,2122,2,3NdDpSvN911VPGivFlV5d0
14,There's Nothing Holdin' Me Back,Shawn Mendes,14,1688,7,79cuOz3SPQTuFrp8WgftAu
15,Paris,The Chainsmokers,14,1894,2,72jbDTw1piOOj770jWNeaG
16,Castle on the Hill,Ed Sheeran,13,2076,2,6PCUP3dWmTjcTtXY02oFdT
17,Unforgettable,French Montana,13,2417,1,1F2HXIJrE2Xn81OzT2zZvW
18,Issues,Julia Michaels,13,1420,7,1sXUWdKx03aP9Gmzft58rt
19,Solo Dance,Martin Jensen,12,1234,11,6HUnnBwYZqcED1eQztxMBN
20,Attention,Charlie Puth,12,1667,7,4iLqG9SeJSnt0cSPICSjxv
21,Thunder,Imagine Dragons,12,1705,6,0tKcYR2II1VCQWT79i5NrW
22,Galway Girl,Ed Sheeran,12,1921,4,0afhq8XCExXpqazXczTSve
23,HUMBLE.,Kendrick Lamar,12,2151,2,7KXjTSCq5nL1LoYtL7XAwS
24,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,11,1267,9,0fg8CqpjdojMyXLNzM2PaJ
25,I Feel It Coming,The Weeknd,11,1166,7,5GXAXm5YOmYT0kL5jHvYBt
26,There for You,Martin Garrix,10,1446,10,6jA8HL9i4QGzsj6fjoxp8Y
27,Mama,Jonas Blue,10,1876,5,0NiXXAI876aGImAd6rTj8w
28,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,10,1503,3,5knuzwU65gJK7IF5yJsuaW
29,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,9,1872,3,3DXncPQOG4VBw3QHh3S817
30,Strip That Down,Liam Payne,9,1413,13,6EpRaXYhGOB3fj4V2uDkMJ
31,Passionfruit,Drake,9,1848,3,7hDc8b7IXETo14hHIHdnhd
32,That's What I Like,Bruno Mars,9,1344,15,0KKkJNfGyhkQ5aFogxQAPU
33,You Don't Know Me - Radio Edit,Jax Jones,9,1587,10,00lNx0OcTJrS3MKHcB80HY
34,Say You Won't Let Go,James Arthur,9,1157,8,5uCax9HTNlzGybIStD3vDh
35,2U (feat. Justin Bieber),David Guetta,8,2320,2,3A7qX2QjDlPnazUsRk5y0M
36,SUBEME LA RADIO,Enrique Iglesias,8,1220,18,7nKBxz47S9SD79N086fuhn
37,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",Major Lazer,8,1276,18,3Ytr1SUCUi6J3L9dRFx5iH
38,XO TOUR Llif3,Lil Uzi Vert,7,1321,16,2eMwDehkIC1j68U6FA3Eiq
39,Chained To The Rhythm,Katy Perry,7,1425,6,6520aj0B4FSKGVuKNsOCOi
40,Starboy,The Weeknd,7,1500,3,5aAx2yezTd8zXrkmtKl66Z
41,More Than You Know,Axwell /\ Ingrosso,7,1578,8,3PEgB3fkiojxms35ntsTgs
42,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,7,2376,2,1OAh8uOEOvTDqkKFsKksCi
43,Your Song,Rita Ora,6,1227,16,4c2W3VKsOFoIg2SFaO6DY5
44,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,6,1588,7,5bcTCxgc7xVfSaMV3RuVke
45,Cold,Maroon 5,6,1314,13,5NNlUMcOEOdoOIwwaWXv0k
46,Mi Gente,J Balvin,5,2477,1,2rb5MvYT7ZIxbKW5hfcHx8
47,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,4,1081,21,1NDxZ7cFAo481dtYWdrUnR
48,OK,Robin Schulz,4,1215,22,3bWAqKDWg6u1davspr5IkS
49,I'm the One,DJ Khaled,4,2338,2,72Q0FQQo32KJloivv5xge2
50,No Promises (feat. Demi Lovato),Cheat Codes,4,1232,17,1louJpMmzEicAn7lzDalPW
