,Track Name,Artist,Count,Streams,Position,spotify_id
0,I Got Love,MiyaGi & Endspiel,123,2056,13,5rwsJbBNa8SfPW4oFA1GjP
1,rockstar (feat. 21 Savage),Post Malone,88,4479,3,0e7ipj03S05BNilyu5bRzt
2,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,83,3525,4,7ycWLEP1GsNjVvcjawXz3z
3,Jocelyn Flores,XXXTENTACION,83,4494,3,7m9OqQk4RVRkw9JJdeAw96
4,Zemes stunda,ansis,80,4731,2,7MSS9mAqAHHkUCa7HL0RbA
5,Youngblood,5 Seconds of Summer,75,2861,5,2iUXsYOEPhVqEBwsqP70rE
6,Better Now,Post Malone,73,5562,1,7dt6x5M1jzdTEt8oCbisTK
7,SAD!,XXXTENTACION,70,5787,1,35ieKju5aLWFN5UgfJ27mL
8,SICKO MODE,Travis Scott,70,4067,4,2xLMifQCjDGFmkHkpNLD9h
9,Shape of You,Ed Sheeran,70,6623,1,7qiZfU4dY1lWllzX7mPBI3
10,Lucid Dreams,Juice WRLD,69,3868,3,0X8DcetL926BYiPJYstJTc
11,Мокрые кроссы,Tima Belorusskih,66,2130,16,35poFvLMiXHPZsItZ0HiHZ
12,Eastside (with Halsey & Khalid),benny blanco,65,2940,7,0d2iYfpKoM0QCKvcLCkBao
13,In My Mind,Dynoro,65,5693,1,0E9ZjEAyAwOXZ7wJC0PD33
14,when the party's over,Billie Eilish,63,4069,4,14JzyD6FlBD5z0wV5P07YI
15,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,63,3882,2,0RiRZpuVRbi7oqRdSMwhQY
16,Rozovoye Vino,Eldzhey,62,1559,48,4LDcQ9sLkKCie4XcKaEwJD
17,HUMBLE.,Kendrick Lamar,62,5914,1,7KXjTSCq5nL1LoYtL7XAwS
18,Congratulations,Post Malone,60,1992,16,3a1lNhkSLSkpJE4MSHpDu9
19,Nevermind,Dennis Lloyd,59,3484,3,63SevszngYpZOwf63o61K4
20,Shallow,Lady Gaga,58,4007,2,2VxeLyX666F8uXCJ0dZF8B
21,lovely (with Khalid),Billie Eilish,57,2045,18,0u2P5u6lvoDfwTYjAADbn4
22,Thunder,Imagine Dragons,56,4187,1,0tKcYR2II1VCQWT79i5NrW
23,Незабудка,Tima Belorusskih,54,1694,32,53ORJG1CfDX0xo8qyhup6Q
24,Happier,Marshmello,54,3450,5,2dpaYNEQHiRxtZbfNsse99
