,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,30,5454,1,7qiZfU4dY1lWllzX7mPBI3
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,24,1837,12,4aWmUDTfIPGksMNLV2rQP2
2,Something Just Like This,The Chainsmokers,23,4245,2,6RUKPb4LETWmmr3iAEQktW
3,Believer,Imagine Dragons,22,1806,9,0CcQNd8CINkwQfe1RDtGV6
4,Solo Dance,Martin Jensen,21,1706,17,6HUnnBwYZqcED1eQztxMBN
5,It Ain't Me (with Selena Gomez),Kygo,20,3359,3,3eR23VReFzcdmS7TYCrhCe
6,Symphony (feat. Zara Larsson),Clean Bandit,19,2823,4,1x5sYLZiu9r5E43kMlt9f8
7,Slide (feat. Frank Ocean & Migos),Calvin Harris,19,1776,12,6gpcs5eMhJwax4mIfKDYQk
8,Scared to Be Lonely,Martin Garrix,19,2645,4,0KR2W3St74th8z3LS94Ffh
9,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,19,2452,4,6kex4EBAj0WHXDKZMEJaaF
10,Call On Me - Ryan Riback Extended Remix,Starley,19,1887,7,78rIJddV4X0HkNAInEcYde
11,Issues,Julia Michaels,18,1804,9,1sXUWdKx03aP9Gmzft58rt
12,Stay (with Alessia Cara),Zedd,18,2245,7,0dA2Mk56wEzDgegdC6R17g
13,Paris,The Chainsmokers,18,2777,2,72jbDTw1piOOj770jWNeaG
14,I Feel It Coming,The Weeknd,17,1778,6,5GXAXm5YOmYT0kL5jHvYBt
15,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,16,2714,2,3NdDpSvN911VPGivFlV5d0
16,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,16,1709,19,1NDxZ7cFAo481dtYWdrUnR
17,Despacito - Remix,Luis Fonsi,15,5546,1,5CtI0qwDJkDQGwXD1H1cLb
18,No Promises (feat. Demi Lovato),Cheat Codes,15,2071,11,1louJpMmzEicAn7lzDalPW
19,You Don't Know Me - Radio Edit,Jax Jones,15,1871,11,00lNx0OcTJrS3MKHcB80HY
20,That's What I Like,Bruno Mars,15,1964,10,0KKkJNfGyhkQ5aFogxQAPU
21,There's Nothing Holdin' Me Back,Shawn Mendes,15,2600,5,79cuOz3SPQTuFrp8WgftAu
22,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,15,2091,4,5knuzwU65gJK7IF5yJsuaW
23,Galway Girl,Ed Sheeran,14,2700,4,0afhq8XCExXpqazXczTSve
24,Attention,Charlie Puth,14,2553,3,4iLqG9SeJSnt0cSPICSjxv
25,Castle on the Hill,Ed Sheeran,14,4326,2,6PCUP3dWmTjcTtXY02oFdT
26,Unforgettable,French Montana,13,2604,3,1F2HXIJrE2Xn81OzT2zZvW
27,Mask Off,Future,13,1721,16,3rOSwuTsUlJp0Pu0MkN8r8
28,"How Far I'll Go - From ""Moana""",Alessia Cara,13,1260,15,5hYTyyh2odQKphUbMqc5gN
29,Cold,Maroon 5,12,2077,9,5NNlUMcOEOdoOIwwaWXv0k
30,Thunder,Imagine Dragons,12,2171,9,0tKcYR2II1VCQWT79i5NrW
31,Slow Hands,Niall Horan,12,1513,22,167NczpNbRF7oWakJaY3Hh
32,Say You Won't Let Go,James Arthur,12,1454,9,5uCax9HTNlzGybIStD3vDh
