,Track Name,Artist,Count,Streams,Position,spotify_id
0,Adiós Amor,Christian Nodal,155,99802,8,0HhtLyMxtbpaZon5A8OQU6
1,Brillas,León Larregui,155,99778,46,6VuUMo1TusnqBxLTnr3hOI
2,Shape of You,Ed Sheeran,155,99997,2,7qiZfU4dY1lWllzX7mPBI3
3,Locos,León Larregui,155,98286,56,3GSMdtJphymHEsR8K9jT5Q
4,Ahora Te Puedes Marchar,Luis Miguel,155,99288,21,1uKjQoh8JZj9ryuYRhpd7E
5,La Dosis Perfecta,Panteon Rococo,155,98290,78,7qKtcEDbth6kOM5s4uJzw3
6,Me Dediqué a Perderte,Alejandro Fernandez,155,99802,69,4NUt1fcnO9aQAELBgXq3Kr
7,Leve,Cartel De Santa,152,96553,25,48yFrzTcnTCklWL9PRVZJj
8,Me Rehúso,Danny Ocean,151,63634,2,6De0lHrwBfPfrhorm9q1Xl
9,Believer,Imagine Dragons,151,99970,33,0CcQNd8CINkwQfe1RDtGV6
10,La flaca,Jarabe De Palo,151,90593,80,2LsbizbOeNa4x6qsi2jAMb
11,Caraluna,Bacilos,149,84369,93,7DhYjNLksXZhbRQeheAums
12,Otra vez (feat. J Balvin),Zion & Lennox,139,99534,3,3QwBODjSEzelZyVjxPOHdq
13,The Scientist,Coldplay,135,81288,104,75JFxkI2RXiU7L9VXzMkle
14,Probablemente,Christian Nodal,134,99702,13,0ib1eHSccu3AZ9UnL4JZdc
15,Traicionera,Sebastian Yatra,130,97251,6,4Ft0391aLVNtCPPseh98lp
16,Devuélveme a mi chica,Hombres G,127,95077,68,1Wrzhfa5bNlqvsnCztz190
17,Me Vas a Extrañar,Banda Sinaloense MS de Sergio Lizárraga,126,86533,76,2yS8aYWXEWJ1NlZ7VPDroT
18,Eres,Café Tacvba,126,95672,96,3sxokptpTvk4rGdU9XeRUV
19,Perfect,Ed Sheeran,122,99927,25,0tgVpDi06FyKpA1z0VMD4v
20,Culpable Tu,Alta Consigna,121,82359,64,3vJzzznIWmRDf01IfTeE2P
21,El Color de Tus Ojos,Banda Sinaloense MS de Sergio Lizárraga,116,99326,22,1l77YWrGUp3qX3NS1rz7lq
22,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,115,99976,1,1j6xOGusnyXq3l6IryKF3G
23,Una Lady Como Tú,Manuel Turizo,114,99862,1,5jf0PmPCHefQ78uAzqIqbj
24,Tengo Que Colgar,Banda Sinaloense MS de Sergio Lizárraga,109,76116,58,2yGNkkwU2iT0doFxkxhcXH
25,Entre Beso Y Beso,La Arrolladora Banda El Limón De Rene Camacho,109,98758,38,29VYCsXmk5inV9BWgz5oyh
26,Tu Falta De Querer,Mon Laferte,109,91080,51,4skuEIloXWuxxgekKupkEH
27,Thunder,Imagine Dragons,107,97728,23,0tKcYR2II1VCQWT79i5NrW
28,Vasos Vacíos - Remasterizado 2008,Los Fabulosos Cadillacs,103,98384,118,198qSChSMQFuSimdeeY9gK
29,Criminal,Natti Natasha,103,99416,1,2SmgFAhQkQCQPyBiBxR6Te
30,Felices los 4,Maluma,102,98093,1,0qYTZCo5Bwh1nsUFGZP3zn
31,No Hay Nadie Más,Sebastian Yatra,101,99836,14,0U8WdltGpu3OC0ma9yLmjX
32,Besos En Guerra,Morat,100,97330,37,1d0c62VFYauOOgxZ2eFUxx
33,Cómo Te Atreves,Morat,100,96510,35,2z0EshEO4XptiepEb9j3Og
34,Afuera,Caifanes,99,72994,116,3pJfnBjO3kjudEchcPEDxS
35,Hasta la Raíz,Natalia Lafourcade,98,75796,71,3lGMtkONrZdJ8kTCg6KIFf
36,Seremos,El Bebeto,98,99638,57,0B5nnPv1ebuo0VFXCMfUij
37,En Donde Esta Tu Amor,Virlan Garcia,98,99637,45,3HGJyp3fbmd5ylCe3dvLiS
38,New Rules,Dua Lipa,95,99955,14,2ekn2ttSfGqwhhate0LSR0
39,Bella,Wolfine,95,99962,1,1Ft13La2daEGqz5yWJC7lx
40,Robarte un Beso,Carlos Vives,94,99879,7,0JcNysfWVWaMS7R6vzGB2k
41,Se Preparó,Ozuna,92,99029,1,1m69ELEgE6k5ZWsap40ozt
42,Tu Postura,Banda Sinaloense MS de Sergio Lizárraga,92,99126,43,4RNzKQEzmlvVHca4t6Txkj
43,Sé Que Te Duele,Alejandro Fernandez,91,97567,8,1OJkKHmXsZVKtWlECdpDAe
44,La Incondicional,Luis Miguel,90,98101,23,6F9yAYUaNbUhdlQyt5uZ3b
45,Amigos No por Favor (Primera Fila) - En Vivo,Yuridia,87,88893,37,2hyAEExgoEfxrVJKUJTqZV
46,Culpable O No - Miénteme Como Siempre,Luis Miguel,85,99182,2,7BwxbmYFy0l3ROHDjV2c14
47,Sin Pijama,Becky G,84,98957,2,2ijef6ni2amuunRoKTlgww
48,Si Te Vienen a Contar,Cartel De Santa,84,80723,113,4058DPUoC7sLPQ05pr3e4C
49,Me Llamas (feat. Maluma) - Remix,Piso 21,84,96783,7,5hEM0JchdVzQ5PwvSfITeX
50,Me Niego (feat. Ozuna & Wisin),Reik,83,99515,2,4ggiDYAkJ7Yk8d5xOr7Xjo
51,One Kiss (with Dua Lipa),Calvin Harris,83,99361,6,7ef4DlsgrMEH11cDZd32M6
52,La player (Bandolera),Zion & Lennox,83,99107,10,0VKkyBKCXyR99navhVRqcP
53,Thinking out Loud,Ed Sheeran,83,67946,65,1Slwb6dOYkBlWal1PGtnNg
54,Scared to Be Lonely,Martin Garrix,83,80436,19,0KR2W3St74th8z3LS94Ffh
55,Amárrame,Mon Laferte,82,98783,23,0u13src3QcditRU5VPduML
56,Cuando Nadie Ve,Morat,82,99250,14,1Cxd4ZJJ9VOQQpNcpdcZEQ
57,Girls Like You (feat. Cardi B),Maroon 5,82,98330,20,6FRLCMO5TUHTexlWo8ym1W
58,Borro Cassette,Maluma,82,99771,31,6DUdDIRgLqCGq1DwkNWQTN
59,Dembow,Danny Ocean,82,95822,8,2EzRdhuoPyNJDlep7lnNf2
60,To My Love - Tainy Remix,Bomba Estéreo,82,98740,3,5LciLoxa1gK70yIUeoHgRx
61,Escápate Conmigo (feat. Ozuna),Wisin,81,99930,13,1KSqYYJFyfTecXFk9M0prc
62,Te Boté - Remix,Nio Garcia,81,94404,1,3V8UKqhEK5zBkBb6d6ub8i
63,No Es Justo,J Balvin,81,99361,2,1RTlTuLOdnmgbe11ynwR7c
64,La Rompe Corazones,Daddy Yankee,80,99195,9,2Q85xwXagilpHKTfdrbC7M
65,El Paciente,Alfredo Olivas,79,63700,89,2Nk3gXgekore0lfB7PCnub
66,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,79,98528,6,6stYbAJgTszHAHZMPxWWCY
67,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,78,99251,51,2FrnTVSHjgnEylKGdHRUK1
68,Another One Bites The Dust - Remastered 2011,Queen,78,99326,7,5vdp5UmvTsnMEMESIF2Ym7
69,Nunca Es Suficiente,Los Angeles Azules,78,73167,14,63USmok1OioBzKuWGW9wAg
