,Track Name,Artist,Count,Streams,Position,spotify_id
0,Closer (feat. Halsey),The Chainsmokers,155,9855,3,7BKLCZ1jbUBVqRi2FVlTVw
1,Say You Won't Let Go,James Arthur,155,9916,2,5uCax9HTNlzGybIStD3vDh
2,Photograph,Ed Sheeran,155,9978,35,6fxVffaTuwjgEk5h9QyRjy
3,A Thousand Years,Christina Perri,154,9927,67,6lanRgr6wXibZr8KgzXxBl
4,Faded,Alan Walker,154,9822,23,698ItKASDavgwZ3WjaWjtz
5,Shape of You,Ed Sheeran,151,9962,1,7qiZfU4dY1lWllzX7mPBI3
6,I'm Yours,Jason Mraz,149,8779,74,3S0OXQeoh0w6AY8WQVckRW
7,Something Just Like This,The Chainsmokers,148,9566,1,6RUKPb4LETWmmr3iAEQktW
8,Perfect,Ed Sheeran,147,9975,1,0tgVpDi06FyKpA1z0VMD4v
9,I Like Me Better,Lauv,136,9972,16,1wjzFQodRWrPcQ0AnYnvQ9
10,She Will Be Loved - Radio Mix,Maroon 5,134,7365,106,4llK75pXNWZz6KAho2Gp16
11,Happier,Ed Sheeran,132,9926,20,2RttW7RAu5nOAfq6YFvApB
12,Lucky,Jason Mraz,132,7987,113,2qLMf6TuEC3ruGJg4SMMN6
13,Thinking out Loud,Ed Sheeran,132,8688,68,1Slwb6dOYkBlWal1PGtnNg
14,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,126,7121,90,2YlZnw2ikdb837oKMKjBkW
15,Just the Way You Are,Bruno Mars,123,8181,110,7BqBn9nzAq8spo5e7cZ0dJ
16,As If It's Your Last,BLACKPINK,121,9547,9,1Zyd6zQnC6XIIzmg3hP7Ot
17,Make You Feel My Love,Adele,119,6532,127,0mqTcM8kuu2IYPotMt7AzS
18,The Scientist,Coldplay,117,8081,67,75JFxkI2RXiU7L9VXzMkle
19,I'm Not The Only One,Sam Smith,115,8751,63,0fioLzGM8ngbD1w6fMmm45
20,Too Good At Goodbyes,Sam Smith,113,9987,1,1mXVgsBdtIVeCLJnSnmtdV
21,Love Yourself,Justin Bieber,103,6684,71,3hB5DgAiMAQ4DzYbsMq1IT
22,You Are The Reason,Calum Scott,103,9711,9,2VgJDTfkuwlm7WIHnvtRCQ
23,Treat You Better,Shawn Mendes,101,9172,25,3AFfyUXTfj12PgrOkZiiJo
24,Wolves,Selena Gomez,100,9857,1,0tBbt8CrmxbjRP0pueQkyU
