,Track Name,Artist,Count,Streams,Position,spotify_id
0,Me Rehúso,Danny Ocean,37,3618,1,6De0lHrwBfPfrhorm9q1Xl
1,Shape of You,Ed Sheeran,32,4028,1,7qiZfU4dY1lWllzX7mPBI3
2,Otra vez (feat. J Balvin),Zion & Lennox,30,1977,5,3QwBODjSEzelZyVjxPOHdq
3,Despacito (Featuring Daddy Yankee),Luis Fonsi,28,5847,1,4aWmUDTfIPGksMNLV2rQP2
4,Reggaetón Lento (Bailemos),CNCO,26,2269,3,3AEZUABDXNtecAOSC1qTfo
5,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,25,1906,6,5q2JbCNi4FcnglgPfxcV65
6,El Amante,Nicky Jam,24,2308,3,3umS4y3uQDkqekNjVpiRUs
7,Sigo Extrañándote,J Balvin,22,2207,5,0k23rRi1B8ZHrKtzECGoyk
8,Something Just Like This,The Chainsmokers,22,1789,7,6RUKPb4LETWmmr3iAEQktW
9,Let Me Love You,DJ Snake,21,1900,4,4pdPtRcBmOSQDlJ3Fk945m
10,Safari,J Balvin,21,1950,2,456xBIOmLRoLzCvCzZrWge
11,SUBEME LA RADIO,Enrique Iglesias,20,1930,6,7nKBxz47S9SD79N086fuhn
12,It Ain't Me (with Selena Gomez),Kygo,19,1708,7,3eR23VReFzcdmS7TYCrhCe
13,Closer (feat. Halsey),The Chainsmokers,19,1828,6,7BKLCZ1jbUBVqRi2FVlTVw
14,Vente Pa' Ca,Ricky Martin,18,1383,9,7DM4BPaS7uofFul3ywMe46
15,Chantaje (feat. Maluma),Shakira,18,2044,2,6mICuAdrwEjh6Y6lroV2Kg
16,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,17,1205,18,2FrnTVSHjgnEylKGdHRUK1
17,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,16,1303,13,6stYbAJgTszHAHZMPxWWCY
18,Con Altura,ROSALÍA,15,2789,12,2qG5sZ7Si6sdK74qLxedYM
19,Callaita,Bad Bunny,15,5359,3,2TH65lNHgvLxCKXM3apjxI
20,No Me Conoce - Remix,Jhay Cortez,15,5201,4,4R8BJggjosTswLxtkw8V7P
21,Adicto (with Anuel AA & Ozuna),Tainy,15,4122,5,3jbT1Y5MoPwEIpZndDDwVq
22,Te Vi,Piso 21,15,2439,24,059bcIhyc2SBwm6sw2AZzd
23,Cristina (feat. Shelow Shaq),Maffio,15,2243,23,2egI1hFZDAYrkCgtepoore
24,11 PM,Maluma,15,2392,22,7KbF6AdprOXEEHlsq11Z6d
25,Si Se Da - Remix,Myke Towers,15,2303,21,6K5BsR04ijf3FHNzjbaagD
26,QUE PRETENDES,J Balvin,15,3180,7,25ZAibhr3bdlMCLmubZDVt
27,Loco,Beéle,15,3120,9,2J9B63FawlTaPdg4eH5X03
28,Pa Mí - Remix,Dalex,15,2887,14,7g8YaUQABMal0zWe7a2ijz
29,"Yo x Ti, Tu x Mi",ROSALÍA,15,2731,12,7BlBVFwvbWvcwNcUarQmjk
30,Cuerpo en Venta,Noriel,15,3653,10,2B94bbI1a4LyBpK1439oP7
31,Que Mas Pues - Remix,Justin Quiles,15,2188,23,7fODjB7BrQTGqh0hogW6XD
32,Otro Trago - Remix,Sech,15,3160,7,4bTZeO72FwMa6wKOiqoynL
33,Cuaderno,Dalex,15,3040,9,7anSoGdgtmJTAPZBzcPhO6
34,La Playa,Myke Towers,15,3212,10,0jeS8PyyIRAG0A3t5DtL71
35,Tutu,Camilo,15,3395,6,1nocRtwyNPVtGcIJqfgdzZ
36,Soltera - Remix,Lunay,15,3714,5,1c0hsvHLELX6y8qymnpLKL
37,Verte Ir,DJ Luian,15,2721,12,4lzxJ4jCuFDXXGkE1LmpKR
38,Otro Trago,Sech,15,2524,14,1Ej96GIBCTvgH7tNX1r3qr
39,Indeciso,Reik,15,2237,30,59s0s39NFWScuHDbHytI14
40,HP,Maluma,15,1297,47,1LIqNVhaIgxXUt2eVoIQJ3
41,Secreto,Anuel AA,15,1490,46,5W83ErFkO3aKAIS1WMi6u0
42,Si Supieras,Daddy Yankee,15,1325,46,7MRU4vOkywuhZ9kbFiPuiu
43,Tal Vez,Paulo Londra,15,1536,34,5jW3rF4URMdK7tO2xjS5EI
44,Te Robaré,Nicky Jam,15,1298,48,4PJ3umtW1aWdfh5EITHc6T
45,Un Año,Sebastian Yatra,15,1515,41,2vrpcQNg6itmgVZWsNjWe0
46,Calma - Remix,Pedro Capó,15,1636,40,5iwz1NiezX7WWjnCgY5TH4
47,Te Quemaste,Manuel Turizo,15,1451,45,4fj7e6Tc48Bmomwyz2Z2XC
48,MIA (feat. Drake),Bad Bunny,15,1570,41,116H0KvKr2Zl4RPuVBruDO
49,Con Calma,Daddy Yankee,15,1767,39,5w9c2J52mkdntKOmRLeM2m
50,Delincuente,Farruko,15,1624,30,3TqLIW3qd4qFYkfYsBjVN6
51,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,15,1595,29,6osaMSJh9NguagEDQcZaKx
52,Si Se Da,Myke Towers,15,1724,28,5KbBGUpIZd6gVFUU8tqYiQ
53,Atrévete,Nicky Jam,15,1792,28,26Qhn2T88XqVinXQpmSarj
54,Ella Quiere Beber - Remix,Anuel AA,15,1960,33,3f5lA8nnc4YYF1qf78WpHw
55,Adan y Eva,Paulo Londra,15,1793,38,132ALUzVLmqYB4UsBj5qD6
56,Desconocidos,Mau y Ricky,15,2036,26,56f5qnyAlZdlz8wrUDA50h
57,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,15,1933,29,684EjRHwNsZQ9hCQxL4NYL
58,China,Anuel AA,15,6184,1,2ksOAxtIxY8yElEWw8RhgK
59,Bellacoso,Residente,15,2728,13,1kMUGCt7XLDc5Q64Vl0H8S
60,LA CANCIÓN,J Balvin,15,6028,2,0fea68AdmYNygeTGI4RC18
61,Señorita,Shawn Mendes,15,2693,11,6v3KW9xbzN5yKLt9YKDYA2
62,Ahora Dice,Chris Jeday,15,2549,3,22eADXu8DfOAUEDw4vU8qy
63,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,15,1230,15,5knuzwU65gJK7IF5yJsuaW
64,Si Tu Novio Te Deja Sola,J Balvin,15,1454,14,0RFFFGtPn6a58RHY3ccVYX
65,La Rompe Corazones,Daddy Yankee,15,1231,16,4okba5wu9mMLXx79DXLKi3
66,Paris,The Chainsmokers,15,1644,10,72jbDTw1piOOj770jWNeaG
67,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,15,1592,7,6kex4EBAj0WHXDKZMEJaaF
68,Escápate Conmigo,Wisin,15,2392,4,2cnKEkpVUSV4wnjQiTWfH6
69,Si Te Vas,Sech,14,4080,7,6Y4PDQv4XjYjHLeLmvyOt0
70,Runaway,Sebastian Yatra,14,1625,31,7BuSE9uTIw931wtZYzvZcQ
71,Pa' Olvidarme De Ella,Piso 21,14,3569,13,1cVlW9WQiGlFdWUXFdFZGh
72,Felices los 4,Maluma,14,3661,1,0qYTZCo5Bwh1nsUFGZP3zn
73,Ni Gucci Ni Prada,Kenny Man,14,1339,51,32lexhcz93AinKK0qLTZaZ
74,Bellaquita,Dalex,14,3300,16,1tpbAGsGpZee5jDHMcLrUJ
75,Solita,Sech,14,1261,50,0tJCo71s7HT9Mu5Z4juuLw
76,Despacito - Remix,Luis Fonsi,14,4190,1,5CtI0qwDJkDQGwXD1H1cLb
77,Caro,Bad Bunny,14,1327,54,6it15CsDlkqB7N4lF0C1qM
78,Soy Peor,Bad Bunny,14,1260,17,5MT96Zz0ymUJNm8obKZQr0
79,Que Calor (with J Balvin & El Alfa),Major Lazer,14,2406,29,1G2CAJeP7rCwOZjlSJ0Zw3
80,Baila Baila Baila - Remix,Ozuna,14,1300,45,7mWFF4gPADjTQjC97CgFVt
81,That's What I Like,Bruno Mars,14,1404,13,0KKkJNfGyhkQ5aFogxQAPU
82,La Romana,Bad Bunny,14,1293,50,1khmgu0pveJbkbpbkyvcQv
83,Fantasias,Rauw Alejandro,14,6484,3,6mAN61JH0dzyZpWslS11jy
84,Piensan,Myke Towers,14,1485,49,0i9oiUkWOgvtnjkr0fa3XN
85,La Cartera,Farruko,14,1297,53,1g2Z2lOrwayOzDqOc8EfbR
86,Amanece,Anuel AA,14,1281,56,1LiN0Z98FkR1t0m8KmLcAH
87,DOLLAR,Becky G,14,1587,45,2uhMYJq2TODWBuZhHRrdWy
88,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,13,1796,8,3NdDpSvN911VPGivFlV5d0
89,La Boca - Remix,Mau y Ricky,13,1181,63,2EEmzqzM70CybVspgM7YRT
90,Lalala,Y2K,13,2161,23,51Fjme0JiitpyXKuyQiCDo
91,Una Vida Para Recordar,Piso 21,13,1382,56,7pxL0DzPpCjjcdfQccvnus
92,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,13,1462,15,2Vdub5mY4lad7w64bFPUez
93,Vacaciones,Wisin,13,1342,13,3dQDid3IUNhZy1OehIfYfE
94,105 F Remix,KEVVO,13,1568,51,1aUGxXCz9QimNkKeiJtzZ7
95,Hey DJ,CNCO,13,1664,7,209gZgcfLq2aUuu51vOWBl
96,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,12,2065,37,1ndyl3wJCFs872XZ3ztPk6
97,Starboy,The Weeknd,12,1380,8,5aAx2yezTd8zXrkmtKl66Z
98,Quizas,Rich Music LTD,12,3143,12,5Id5B3dxJZhPcV9GzgYZZe
99,La Mejor Versión de Mi - Remix,Natti Natasha,11,1883,45,2dy3TKVDEbIeWxeIb8JWqZ
100,RITMO (Bad Boys For Life),The Black Eyed Peas,11,7292,1,6cy3ki60hLwimwIje7tALf
101,B11 (feat. Myke Towers),Rvssian,11,1490,49,4o1DxRjMCHDwBiOKv88rOl
102,Que Tire Pa Lante,Daddy Yankee,11,5822,2,6RyaV7owmVU6fzEPE17sF1
103,Baila Conmigo (feat. Kelly Ruiz),Dayvi,11,1276,43,4Clmg1g8n2yBYG13Z1oSdG
104,Dile Que Tu Me Quieres,Ozuna,11,1134,21,20ZAJdsKB5IGbGj4ilRt2o
105,UN PESO,J Balvin,11,1221,78,7hynhxDoDpgMIV12JuVtNa
106,Lose You To Love Me,Selena Gomez,10,6302,1,1HfMVBKM75vxSfsQ5VefZ5
107,La Bicicleta,Carlos Vives,10,1175,14,0sXvAOmXgjR2QUqLK1MltU
108,One Dance,Drake,10,1296,9,1xznGGDReH1oQq0xzbwXa3
109,I Feel It Coming,The Weeknd,10,1207,18,5GXAXm5YOmYT0kL5jHvYBt
110,De Los Besos Que Te Di,Christian Nodal,10,1649,51,1qfoq1qvZT7VwDVeekCJ97
111,Old Town Road - Remix,Lil Nas X,10,1536,31,2YpeDb67231RjR0MgVLzsG
112,Qué Pena,Maluma,10,1239,60,5099x34vBakWpGkHourFxP
113,Aventura,Lunay,10,3410,13,37zdqI4r1gswIzczSBkRon
114,Me Enamoré,Shakira,10,1281,15,4qknM1pQz53QOyfDVTjcM9
115,Báilame,Nacho,9,1573,8,7lRsNbdOGykkMAgsqs4R1C
