,Track Name,Artist,Count,Streams,Position,spotify_id
0,Leef,André Hazes Jr.,142,36806,94,1MZkpg4JmhAWCvysue8VDd
1,Shape of You,Ed Sheeran,133,96682,1,7qiZfU4dY1lWllzX7mPBI3
2,Sterrenstof,De Jeugd Van Tegenwoordig,118,41996,65,7D5vAulNfrQV6xEwzgH0OF
3,Traag,Bizzey,103,99319,18,26rVJH5zUQ7Yihz6c850Sn
4,Africa,TOTO,96,41786,71,2374M0fQpWi3dLnB54qaLX
5,Believer,Imagine Dragons,91,71530,32,0CcQNd8CINkwQfe1RDtGV6
6,Say You Won't Let Go,James Arthur,86,87385,4,5uCax9HTNlzGybIStD3vDh
7,Krantenwijk,Lil Kleine,84,97553,1,1X8py2jInjgIQ9Y9roDQZC
8,Energie,Ronnie Flex,76,82274,2,1riPE3NCV1OBmSXqpYiMJY
9,Perfect,Ed Sheeran,76,99843,10,0tgVpDi06FyKpA1z0VMD4v
10,Oceaan,Racoon,76,32441,134,4AUASx1KCTQFmpHu7qq6Kr
11,One Kiss (with Dua Lipa),Calvin Harris,70,96498,1,7ef4DlsgrMEH11cDZd32M6
12,These Days,Rudimental,70,99717,13,20ZP3Om9DvDazXrNUC7WM2
13,Be Alright,Dean Lewis,69,95016,8,2H4gf1wLxvYreMj1jcaN0k
14,Verleden Tijd,Frenna,69,97519,1,4kuexchmxuc5NXmokfo1WH
15,Shallow,Lady Gaga,66,93865,8,2VxeLyX666F8uXCJ0dZF8B
16,Duurt Te Lang,Davina Michelle,65,95277,1,2rzZ0IGxgrGUAPwrWn80z7
17,IJskoud,Nielson,65,99000,7,07K0EMBhtZvs596HrWnm2w
18,New Rules,Dua Lipa,65,96253,1,2ekn2ttSfGqwhhate0LSR0
19,Djadja,Aya Nakamura,64,96726,1,3XfnssSD9HMQ9LhVOJvXTE
20,Loterij,Lil Kleine,64,94827,1,0JdKB06zZsPXmfvQVeJS35
21,Hey Meisje,Esko,63,94292,1,1c7Kh2uMMxG7k4QqNjjg95
22,Youngblood,5 Seconds of Summer,63,98652,9,2iUXsYOEPhVqEBwsqP70rE
23,Zoutelande,BLØF,62,99791,4,1dCaSvUR92UgJZwmNxnqZV
24,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,62,94137,34,0RiRZpuVRbi7oqRdSMwhQY
25,Net Iets Meer,Lil Kleine,61,98211,12,2SdXCB4OPo6J6Yc7V249pS
26,Sweet but Psycho,Ava Max,61,90583,4,25sgk305KZfyuqVBQIahim
27,Loco,Yung Felix,60,99114,12,0DCxNJg7yquzAHORClrP3e
28,Shotgun,George Ezra,60,99447,4,4ofwffwvvnbSkrMSCKQDaC
29,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",$hirak,60,88758,1,77wz2VtAwxAwYOGTJrZBKT
30,Unforgettable,French Montana,60,93735,11,1F2HXIJrE2Xn81OzT2zZvW
31,Blijf Bij Mij,Ronnie Flex,58,90353,1,4VrdVTo3orGOWWUCZxrK90
32,2002,Anne-Marie,57,78240,43,2BgEsaKNfHUdlh97KmvFyo
33,Something Just Like This,The Chainsmokers,57,98215,8,6RUKPb4LETWmmr3iAEQktW
34,High Hopes,Panic! At The Disco,57,82377,6,1rqqCSm0Qe4I9rUvWncaom
35,Stop Met Typen,Equalz,57,78190,41,2fBHmGi4cnKynlXd7P6GZD
36,God's Plan,Drake,56,95703,2,2VWbHHhWnMzKWPUs4IEEW9
37,Als Het Avond Is,Suzan & Freek,56,99134,3,1MWpdDDf3Yk0w6o4oviMFY
38,Catch Up,Josylvio,55,97035,1,2ucqvyCQU1I3dTdtX72y94
39,Scared to Be Lonely,Martin Garrix,55,86807,3,0KR2W3St74th8z3LS94Ffh
40,Lovely Body,SFB,55,95804,2,65ExBcuMthmxRVnPVvWCe3
41,when the party's over,Billie Eilish,55,94143,38,14JzyD6FlBD5z0wV5P07YI
42,Habiba,Boef,55,98732,1,6G41AeVgQkpvEbTxN5fNkW
43,Whatever It Takes,Imagine Dragons,55,65931,45,0yt31hMKZMiyIEfiBiLD2N
44,Cartier,Dopebwoy,55,95292,3,18B3AG7KK2hSjL0UY6EjUB
45,It Ain't Me (with Selena Gomez),Kygo,54,94010,3,3eR23VReFzcdmS7TYCrhCe
46,New Light,John Mayer,54,60296,51,3bH4HzoZZFq8UpZmI2AMgV
47,Hij Is Van Mij (feat. Bizzey),Kris Kross Amsterdam,54,96243,1,6716bTJI7qiHJFFSR0Ethe
48,Zoutelande (feat. Geike),BLØF,54,49289,56,7MOX3ibncypw3xGb4HZVFA
49,More Than You Know,Axwell /\ Ingrosso,53,97653,12,3PEgB3fkiojxms35ntsTgs
50,Symphony (feat. Zara Larsson),Clean Bandit,53,98912,3,1x5sYLZiu9r5E43kMlt9f8
51,Jungle,Broederliefde,53,59295,34,295hepw2obbNmOfPOu56td
52,SAD!,XXXTENTACION,53,98229,2,35ieKju5aLWFN5UgfJ27mL
53,Happier,Ed Sheeran,53,93711,13,2RttW7RAu5nOAfq6YFvApB
54,Better Now,Post Malone,53,97897,4,7dt6x5M1jzdTEt8oCbisTK
55,Promises (with Sam Smith),Calvin Harris,53,99330,4,5N5k9nd479b1xpDZ4usjrg
56,Happier,Marshmello,53,95467,7,2dpaYNEQHiRxtZbfNsse99
57,POSITIE,Caza,53,89946,22,5dVXY5359o7XBmfoNCBMxg
58,Without You (feat. Sandro Cavazza),Avicii,53,97337,20,6Pgkp4qUoTmJIPn7ReaGxL
59,Slapend Rijk,Boef,53,95858,2,3PiDnD8RhPrlmzMpAgF9xK
