,Track Name,Artist,Count,Streams,Position,spotify_id
0,Faded,Alan Walker,138,40192,28,698ItKASDavgwZ3WjaWjtz
1,Perfect,Ed Sheeran,137,92143,7,0tgVpDi06FyKpA1z0VMD4v
2,Bare så du vett det,Stavangerkameratene,136,21679,73,0MPznfQfw2r2XWJlhPoyWN
3,Rundt neste sving,Rotlaus,124,9117,78,0ARPFpJeBfsRmwrrzdvrls
4,Believer,Imagine Dragons,118,92557,12,0CcQNd8CINkwQfe1RDtGV6
5,Shape of You,Ed Sheeran,115,9754,1,7qiZfU4dY1lWllzX7mPBI3
6,Jovial,Freddy Kalas,109,9335,48,5paNYIC0vrVj1EWGVzfJzb
7,Disco Demolition 2018 (Stabekk Anthem),J-Dawg,98,91354,10,04rjxIPsEtpM8Yj9UPy6Tt
8,Jocelyn Flores,XXXTENTACION,97,74050,9,7m9OqQk4RVRkw9JJdeAw96
9,Den Finast Eg Veit,Hellbillies,97,9656,112,3NQDZSM47zCMao3GFkcqaV
10,Without You (feat. Sandro Cavazza),Avicii,95,90376,2,6Pgkp4qUoTmJIPn7ReaGxL
11,Say You Won't Let Go,James Arthur,92,9531,12,5uCax9HTNlzGybIStD3vDh
12,The Sound of Silence,Disturbed,92,9460,86,0eZBeB2xFIS65jQHerispi
13,Dancing On My Own,Calum Scott,87,17901,81,02WacdrRpm4zlP8H7X6bnQ
14,Despacito - Remix,Luis Fonsi,85,99037,1,5CtI0qwDJkDQGwXD1H1cLb
15,One Night Stand,Vidar Villa,84,91456,6,0mYH2p6u1gyi3k40xEOvUT
16,rockstar (feat. 21 Savage),Post Malone,83,9814,19,0e7ipj03S05BNilyu5bRzt
17,All Falls Down (feat. Juliander),Alan Walker,83,93923,1,1HvCFAUIWQsWV9zud3UhDl
18,Summer Air,ItaloBrothers,82,92468,2,0V9cosR5jWa4fr2koARmhD
19,Shotgun,TIX,79,87742,4,3XLuehOxBsDJoN3RBO2wfX
20,Happier,Ed Sheeran,78,70634,18,2RttW7RAu5nOAfq6YFvApB
21,When You Love Someone,James TW,78,17016,94,1o6YK7phnXgsljfWSQQfWc
22,Thunder,Imagine Dragons,77,98708,9,0tKcYR2II1VCQWT79i5NrW
23,Ignite (feat. SEUNGRI),K-391,77,92360,2,0UMLejbZXf7YVgnfxURvVr
24,In My Mind,Dynoro,75,9467,1,0E9ZjEAyAwOXZ7wJC0PD33
