,Track Name,Artist,Count,Streams,Position,spotify_id
0,Tennessee Whiskey,Chris Stapleton,154,8917,106,3fqwjXwUGN6vbzIwvyFMhx
1,Shape of You,Ed Sheeran,154,9879,1,7qiZfU4dY1lWllzX7mPBI3
2,Mr. Brightside,The Killers,154,9525,73,7d8GetOsjbxYnlo6Y9e5Kw
3,Say You Won't Let Go,James Arthur,154,9956,7,5uCax9HTNlzGybIStD3vDh
4,Hotel California - 2013 Remaster,Eagles,153,9371,80,40riOy7x9W7GXjyGp4pjAv
5,No Role Modelz,J. Cole,149,9839,60,62vpWI1CHwFy7tMIcSStl8
6,Perfect,Ed Sheeran,142,9995,7,0tgVpDi06FyKpA1z0VMD4v
7,Believer,Imagine Dragons,141,9983,22,0CcQNd8CINkwQfe1RDtGV6
8,Thunder,Imagine Dragons,136,9911,5,0tKcYR2II1VCQWT79i5NrW
9,Thinking out Loud,Ed Sheeran,135,9951,41,1Slwb6dOYkBlWal1PGtnNg
10,Closer (feat. Halsey),The Chainsmokers,133,9536,6,7BKLCZ1jbUBVqRi2FVlTVw
11,I Like Me Better,Lauv,132,9974,11,1wjzFQodRWrPcQ0AnYnvQ9
12,Don't Stop Believin',Journey,128,9752,81,4bHsxqR3GMrXTxEPLuK5ue
13,Dreams - 2004 Remaster,Fleetwood Mac,126,9899,30,0ofHAoxe9vBkTCp2UQIavz
14,Young Dumb & Broke,Khalid,124,9712,1,5Z3GHaZ6ec9bsiI5BenrbY
15,Don’t Forget Your Roots,SIX60,122,9854,50,5mUiad5pDU1wFvIbtKgJKB
16,HUMBLE.,Kendrick Lamar,122,9931,1,7KXjTSCq5nL1LoYtL7XAwS
17,Sweet Home Alabama,Lynyrd Skynyrd,121,8815,101,4CJVkjo5WpmUAKp3R44LNb
18,Africa,TOTO,118,9997,52,2374M0fQpWi3dLnB54qaLX
19,I Fall Apart,Post Malone,117,9850,1,75ZvA4QfFiZvzhj2xkaWAh
20,Don’t Give It Up,SIX60,115,9882,3,1i0icYLUfMDAOGaTTN5aBu
21,Jocelyn Flores,XXXTENTACION,114,9942,13,7m9OqQk4RVRkw9JJdeAw96
22,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,114,9976,5,4e4fqjx0Izh4svvTef1z7e
23,Castle on the Hill,Ed Sheeran,113,9984,1,6PCUP3dWmTjcTtXY02oFdT
24,Closer,SIX60,113,9781,13,1kpSmoMmNm3pcCU7MTTpoJ
25,Go Your Own Way - 2004 Remaster,Fleetwood Mac,112,9996,50,07GvNcU1WdyZJq3XxP0kZa
26,Vibes,SIX60,111,9986,9,1aTt1Cot6YED2TbMwSKvwI
27,Congratulations,Post Malone,110,9737,18,3a1lNhkSLSkpJE4MSHpDu9
28,Red Red Wine,UB40,104,9396,95,1vYew137WJ69SFp9oez3xm
29,How To Fly,Sticky Fingers,102,9806,67,3jAoLij05OiNndX2XlSRdS
30,Location,Khalid,99,9640,10,152lZdxL1OR0ZMW6KquMif
31,Rivers,SIX60,98,9956,34,25qfmrJIuw6TAvXoZ0phzb
32,Redbone,Childish Gambino,97,9987,23,0wXuerDYiBnERgIpbb3JBR
33,Have You Ever Seen The Rain,Creedence Clearwater Revival,93,7683,105,2LawezPeJhN4AWuSB0GtAU
34,Happier,Ed Sheeran,92,9968,10,2RttW7RAu5nOAfq6YFvApB
