,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,154,9516,2,7qiZfU4dY1lWllzX7mPBI3
1,Me Rehúso,Danny Ocean,149,8746,2,6De0lHrwBfPfrhorm9q1Xl
2,Otra vez (feat. J Balvin),Zion & Lennox,117,7840,3,3QwBODjSEzelZyVjxPOHdq
3,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,114,8375,4,5q2JbCNi4FcnglgPfxcV65
4,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,106,4220,15,2FrnTVSHjgnEylKGdHRUK1
5,Robarte un Beso,Carlos Vives,105,9462,2,0JcNysfWVWaMS7R6vzGB2k
6,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,102,9847,1,1j6xOGusnyXq3l6IryKF3G
7,Perfect,Ed Sheeran,102,3966,37,0tgVpDi06FyKpA1z0VMD4v
8,Besos En Guerra,Morat,101,4422,49,1d0c62VFYauOOgxZ2eFUxx
9,Believer,Imagine Dragons,99,2217,53,0CcQNd8CINkwQfe1RDtGV6
10,Una Lady Como Tú,Manuel Turizo,97,7922,6,5jf0PmPCHefQ78uAzqIqbj
11,Ahora Dice,Chris Jeday,92,8724,2,22eADXu8DfOAUEDw4vU8qy
12,La player (Bandolera),Zion & Lennox,91,8875,2,0VKkyBKCXyR99navhVRqcP
13,New Rules,Dua Lipa,87,4804,21,2ekn2ttSfGqwhhate0LSR0
14,Como Es,Akim,86,8719,2,3qq4E32TowNeYPtUqQHKsu
15,Ni Gucci Ni Prada,Kenny Man,85,9892,8,0h9S0yopm6VAHqjd6jViA5
16,Te Boté - Remix,Nio Garcia,85,9951,1,3V8UKqhEK5zBkBb6d6ub8i
17,Se Preparó,Ozuna,83,9366,2,1m69ELEgE6k5ZWsap40ozt
18,Criminal,Natti Natasha,83,9984,2,2SmgFAhQkQCQPyBiBxR6Te
19,Me Niego (feat. Ozuna & Wisin),Reik,81,9834,2,4ggiDYAkJ7Yk8d5xOr7Xjo
