,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,122,9923,2,7qiZfU4dY1lWllzX7mPBI3
1,Caraluna,Bacilos,122,9939,75,7DhYjNLksXZhbRQeheAums
2,Me Rehúso,Danny Ocean,119,9685,2,6De0lHrwBfPfrhorm9q1Xl
3,Otra vez (feat. J Balvin),Zion & Lennox,116,9117,3,3QwBODjSEzelZyVjxPOHdq
4,Traicionera,Sebastian Yatra,108,9894,14,4Ft0391aLVNtCPPseh98lp
5,Te Mando Flores,Fonseca,105,9992,89,2in1gSZtv2lRbcZUmN9aAl
6,Amantes,Greeicy,104,64711,7,3IyPnNX142pvWx6D5CiimD
7,Robarte un Beso,Carlos Vives,104,61462,9,0JcNysfWVWaMS7R6vzGB2k
8,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,104,95863,2,1j6xOGusnyXq3l6IryKF3G
9,Perfect,Ed Sheeran,102,9943,58,0tgVpDi06FyKpA1z0VMD4v
10,No Hay Nadie Más,Sebastian Yatra,100,8257,16,0U8WdltGpu3OC0ma9yLmjX
11,Believer,Imagine Dragons,98,9992,91,0CcQNd8CINkwQfe1RDtGV6
12,La player (Bandolera),Zion & Lennox,95,67336,6,0VKkyBKCXyR99navhVRqcP
13,"Un Vino, Una Cerveza",Pedro Suárez-Vértiz,94,9979,133,5Q2J37xbIR60z6ifswoGKe
14,Te Amo,Piso 21,93,70089,5,2RVrdr062uLFxXwIxwdXPH
15,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,91,9945,8,5q2JbCNi4FcnglgPfxcV65
16,Por Perro,Sebastian Yatra,91,83429,3,1XM5PgxjpYcF0JuE9nfUbS
17,Devuélveme a mi chica,Hombres G,91,9954,101,1Wrzhfa5bNlqvsnCztz190
18,Me Niego (feat. Ozuna & Wisin),Reik,91,9805,2,4ggiDYAkJ7Yk8d5xOr7Xjo
19,Te Boté - Remix,Nio Garcia,88,97109,1,3V8UKqhEK5zBkBb6d6ub8i
20,Sin Pijama,Becky G,88,98153,1,2ijef6ni2amuunRoKTlgww
21,Besos En Guerra,Morat,88,9932,72,1d0c62VFYauOOgxZ2eFUxx
22,Criminal,Natti Natasha,87,9494,3,6Za3190Sbw39BBC77WSS1C
23,No Es Justo,J Balvin,85,84150,3,1RTlTuLOdnmgbe11ynwR7c
24,Una Lady Como Tú,Manuel Turizo,85,9835,21,5jf0PmPCHefQ78uAzqIqbj
25,Como Mirarte,Sebastian Yatra,84,9999,60,0CXEPVeQDLgDBfvcsQpXq1
26,Me Llamas (feat. Maluma) - Remix,Piso 21,83,9817,13,5hEM0JchdVzQ5PwvSfITeX
27,A Ella,KAROL G,83,9962,83,1pkMzGqBBS10nDiiYrNGGJ
28,Duro y Suave,Leslie Grace,83,9058,17,31M5m42C3EGlbydf9XB5to
29,Cuando Nadie Ve,Morat,81,9684,43,1Cxd4ZJJ9VOQQpNcpdcZEQ
30,Más Fuerte,Greeicy,81,9911,52,10ei7ybZQsu9Zc7RfZFe2Q
31,La flaca,Jarabe De Palo,80,9980,110,2LsbizbOeNa4x6qsi2jAMb
32,Escápate Conmigo (feat. Ozuna),Wisin,79,9867,16,1KSqYYJFyfTecXFk9M0prc
33,Dembow,Danny Ocean,79,9895,10,2EzRdhuoPyNJDlep7lnNf2
34,Vaina Loca,Ozuna,78,98680,1,1s2B5cndbqK8rPJEIcKJRQ
35,Felices los 4,Maluma,76,9837,1,0qYTZCo5Bwh1nsUFGZP3zn
36,Échame La Culpa,Luis Fonsi,75,9984,2,0mlAOSILGRys2IbvyOT5VJ
37,Flaca,Andrés Calamaro,75,9938,145,1p7m9H4H8s0Y7SgRm7j3ED
38,Andas En Mi Cabeza,Chino & Nacho,75,9707,11,23WI5V2eD4EyGKxSl7Pyeq
39,Suena El Dembow,Joey Montana,75,9924,10,0woHVOh3KXLSDv8VU9XwZ4
40,Culpables,Manuel Turizo,74,52419,14,2zufEOvbBeIzYnRktwYk1W
41,Amárrame,Mon Laferte,74,9982,50,0u13src3QcditRU5VPduML
42,Cuando Te Besé,Becky G,73,98175,1,2XXMDz7SPZ4mSFN1PXfHUy
43,Esperándote,Manuel Turizo,73,9979,10,1nfyE13arjOuO54HH0zmqj
44,Creo en Ti,Reik,73,9870,124,0xXhgLXfEHnWJHVgRvFvdn
45,Ya No Tiene Novio,Sebastian Yatra,72,74213,10,7uQmJ1jgNzBpATSoWKSPFu
46,That's What I Like,Bruno Mars,72,9541,16,0KKkJNfGyhkQ5aFogxQAPU
47,Persiana Americana,Soda Stereo,71,9994,119,7JZP7kQsuFFWOrtAI7uNiW
48,La Bicicleta,Carlos Vives,71,9992,9,0Gx4VrHzS7pZOEAGrmXXBH
49,The Scientist,Coldplay,71,9974,117,75JFxkI2RXiU7L9VXzMkle
50,En El Muelle De San Blas,Maná,69,9985,106,0mvocLIWUnT10znvIXwHGr
51,Amigos Con Derechos,Reik,69,94353,4,2zDj4WjbNDmrRL6Z4YjjCA
52,Me Vas A Extrañar,N'Samble,68,9510,54,0SVlCv4gOgWohAdBZMBu3v
53,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,68,9927,12,4QtiVmuA88tPQiCOHZuQ5b
54,We Don't Talk Anymore,Charlie Puth,67,9877,30,68EMU2RD1ECNeOeJ5qAXCV
55,Puntos Suspensivos,Piso 21,67,55313,20,04cd1MHVq1D8v1nuTZoCdv
56,Vivo Pensando En Ti (feat. Maluma),Felipe Peláez,67,9937,27,0H7cz1bR7w9PulJL7Na774
57,Báilame - Remix,Nacho,67,9852,7,3VClLWqNn80Llv0PJOsKgr
58,Tu Falta De Querer,Mon Laferte,67,9959,38,4skuEIloXWuxxgekKupkEH
59,Culpables,KAROL G,67,9990,4,4RGKft6YTTWHjpQeRIInuS
60,Bella y Sensual,Romeo Santos,66,9990,17,0ERbK7qVqveCaBWIiYCrl3
61,I Like It,Cardi B,66,9718,14,58q2HKrzhC3ozto2nDdN4z
62,Hipócrita,Anuel AA,65,7851,22,4CbANooTL2aTHzJZqQ0Uvk
63,X,Nicky Jam,65,9950,1,39N9RPD9MRb5WmoLzNzPeA
64,Let Me Love You,DJ Snake,64,9868,7,0lYBSQXN6rCTvUZvg9S0lU
65,Desconocidos,Mau y Ricky,64,98809,3,0s5DNDV6LAKn2u2Ufa3VjQ
66,Se Preparó,Ozuna,64,9702,5,1m69ELEgE6k5ZWsap40ozt
67,New Rules,Dua Lipa,64,9984,35,2ekn2ttSfGqwhhate0LSR0
68,Ella Y Yo - Featuring Don Omar,Aventura,64,9880,143,6G4U9avyBNEfP0fAIduev3
69,Serenata,Mike Bahía,64,9620,45,0Ek2vjTPwy3fXKQnsXy8MH
70,MIA (feat. Drake),Bad Bunny,64,98509,2,116H0KvKr2Zl4RPuVBruDO
71,Ni Gucci Ni Prada,Kenny Man,64,9135,53,32lexhcz93AinKK0qLTZaZ
72,IDGAF,Dua Lipa,63,9991,50,76cy1WJvNGJTj78UqeA5zr
73,Imposible,Luis Fonsi,63,83127,13,3ao3OVxHlb3C08vAaApUlm
74,Faded,Alan Walker,63,9521,83,698ItKASDavgwZ3WjaWjtz
75,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,63,9797,29,2FrnTVSHjgnEylKGdHRUK1
76,Dura,Daddy Yankee,62,9978,1,2j2fIJGh4PMdXt9ULI5Tlc
77,Ella Quiere Beber - Remix,Anuel AA,61,99251,3,2cYnZNzFRFK0H7vSNxPsUq
78,Créeme,KAROL G,61,95182,9,1mT47pKLXUwPYGwB91GcNz
79,Reggaetón Lento (Bailemos),CNCO,61,9749,1,3AEZUABDXNtecAOSC1qTfo
80,Calma - Remix,Pedro Capó,61,94676,1,5iwz1NiezX7WWjnCgY5TH4
81,Cuando Acaba el Placer,Los 4,61,9920,38,6Nfxc11h4ix0HBprB9Rj6L
82,No Me Acuerdo,Thalía,61,9949,6,00EPIEnX1JFjff8sC6bccd
83,Adan y Eva,Paulo Londra,60,96384,1,132ALUzVLmqYB4UsBj5qD6
84,Sola,Manuel Turizo,60,9639,25,0KHhNlHN5lWn7q332PiPys
85,Lamento Boliviano,Los Enanitos Verdes,60,9897,111,6Pur3hWy6Nzc27ilmsp5HA
86,Probablemente,Daniela Darcourt,60,8846,26,0tfAVc0HSvma3RnVjerrky
87,Adictiva,Daddy Yankee,60,96408,6,6MJUCumnQsQEKbCy28tbCP
88,Ahora Dice,Chris Jeday,60,9979,4,22eADXu8DfOAUEDw4vU8qy
89,Justicia,Silvestre Dangond,60,9955,45,6ipp8Dhs33KinlF4BStgca
90,Sensualidad,Bad Bunny,60,9451,4,5hcisvFMidkMJlElTO9Qmw
91,Tienes La Magia,Lil Silvio & El Vega,59,9821,17,0fyx2JEi8DCNPinj46NjDg
92,Adiós Amor,Daniela Darcourt,59,9891,18,2ozv99MuHIaE4DZIzAr59q
93,A Partir De Hoy,David Bisbal,58,9953,35,1FMNuRMIcPD6PDQGoi5Ifn
94,Bella,Wolfine,58,9904,5,3xcCix7Jv1Rp90YVmgo35D
95,Solita,Ozuna,58,9664,12,7rwX0O3RlxqqIjQM8evm5E
96,Girls Like You (feat. Cardi B),Maroon 5,58,9870,49,6FRLCMO5TUHTexlWo8ym1W
97,Reggaeton,J Balvin,57,78817,12,2D3z17LBMJ2HEHeBFFjTLi
98,Déjalo,Nacho,57,46691,28,3fyzx4Og54r8zCW9Nu8qwi
99,Downtown,Anitta,57,9972,6,3Ga6eKrUFf12ouh9Yw3v2D
100,Esta Noche,Mike Bahía,57,30409,41,4vhkI8x68EaGQR3Kn7Pwhc
101,Eres Mi Sueño - Salsa,Carlo Supo,57,9894,68,1clLBqIma442MQQ9FMaaCu
102,Bubalu,Becky G,56,9945,6,7dNwJbsT0sg1le5kVugGJb
103,Mala Mía,Maluma,56,80852,4,62o8KoI44JfN7aYxgTnPvh
104,Ahora Te Puedes Marchar,Luis Miguel,56,9988,51,1uKjQoh8JZj9ryuYRhpd7E
105,Síguelo Bailando,Ozuna,56,9953,7,5Y9fnynLlIvqtM710MHzfz
106,Amanece,Anuel AA,55,98592,5,1LiN0Z98FkR1t0m8KmLcAH
107,Vuelve,Sebastian Yatra,55,9992,71,3wGRfBDRNQb0nFDFrUPvq6
108,Colgando en tus manos (con Marta Sánchez),Carlos Baute,55,9908,137,3UI9I3e1g1y5T3SMfdgfGO
109,Mayores,Becky G,55,9437,8,7JNh1cfm0eXjqFVOzKLyau
110,Te Vi,Piso 21,55,99137,2,059bcIhyc2SBwm6sw2AZzd
111,Que Va,Alex Sensation,54,9919,11,6J1R5wtPXiHiwiPstOSI56
112,One Kiss (with Dua Lipa),Calvin Harris,54,9842,55,7ef4DlsgrMEH11cDZd32M6
113,Chica Paranormal,Paulo Londra,54,9835,15,2r77vqSZkOktTSgmAOoHsV
114,Baby,Amenazzy,53,9013,16,2IA8cFA46DkjgbsRG7kKbp
115,BEBE,6ix9ine,52,90558,6,4KkUjFkcQvGvWekl8RATDn
116,Corazón (feat. Nego do Borel),Maluma,52,9728,18,5cepAtqnEQ6yVG6088zMMu
117,Si Tú La Ves (feat. Wisin),Nicky Jam,52,9810,19,4yN6xPLopmTLvc27pO9LIE
118,El Farsante - Remix,Ozuna,52,9660,17,7uYgVgRSgqluZclLS7wpp4
119,Quiere Beber,Anuel AA,52,9573,11,0FDMH2ahuIVzCybwHJK9zh
120,Hey DJ,CNCO,51,9363,6,1XgpK29CGGjZnxPYkiRbh4
121,Pineapple,KAROL G,51,9596,11,24SkzbH7hGhUvqIaKlJ1TY
122,Dura - Remix,Daddy Yankee,51,9884,4,6U2NuJILEOEpW2tVCuqKHb
123,Ibiza,Ozuna,50,9978,26,1h9P5WJwyvK8OB7O2YiXgp
124,Secreto,Anuel AA,50,98903,1,5W83ErFkO3aKAIS1WMi6u0
125,El Clavo (feat. Maluma) - Remix,Prince Royce,50,9850,27,6bI00brFpeprqCDqKouEJS
126,A Solas - Remix,Lunay,50,36959,38,1fXEkSum1vbTa3w0yvYzYW
127,Un Año,Sebastian Yatra,50,89239,9,2vrpcQNg6itmgVZWsNjWe0
128,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,49,9344,5,6stYbAJgTszHAHZMPxWWCY
129,PPP,Kevin Roldan,49,9969,16,1DcxnVNFAyVl2sDQ646pXS
130,Perderme Contigo,Bacilos,49,9975,117,7mHFWWfVlhqGjeIQ5qt9i2
131,Con Calma,Daddy Yankee,49,94511,1,5w9c2J52mkdntKOmRLeM2m
132,No Te Vas,Nacho,49,9931,14,21Dt0T82tst15r3HCIM2Ku
133,Nena Maldición (feat. Lenny Tavárez),Paulo Londra,48,35434,35,2aMVyJSuDFFL1sTjJnvk7X
134,Clandestino,Shakira,48,9545,11,7DrluKkTviBwCc8AV3VGmf
135,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,48,58251,17,2ktoFujjJtantyMoVdBJlX
136,Mi Cama - Remix,KAROL G,48,9978,15,38QmUDpkoYlNbMKvpvAsrE
137,El Préstamo,Maluma,47,9648,9,0QS5rZpm5zN9wV9lJgjyUE
138,Mi Mala - Remix,Mau y Ricky,47,9815,34,6kOHug1s9Nd5gsHrX8irs2
139,Despacito (Featuring Daddy Yankee),Luis Fonsi,46,9832,1,4aWmUDTfIPGksMNLV2rQP2
140,Yo No Sé Mañana (salsa),Luis Enrique,46,9892,153,1nZziTuPRwCfJe1XvVC760
141,Amame una Vez Más,Los 4,46,9685,56,57980zgvkuP2LdDpF4UFp6
142,Cásate Conmigo,Silvestre Dangond,46,9908,38,6f4UPdDBQONKJBRqwZGjaJ
143,Esclavo de Tus Besos,Manuel Turizo,46,64602,16,0WpwK09agFbwEUaNrGnXoe
144,Bohemian Rhapsody - 2011 Mix,Queen,46,9977,21,4u7EnebtmKWzUH433cf5Qv
145,Asesina - Remix,Brytiago,46,57340,19,59PYgzOiOjGDzjDT5N5oOX
146,Loca Remix,KHEA,46,9782,35,2CRbiMK0W14l71SpDKqKZM
147,Aullando,Wisin & Yandel,46,51561,23,7BuHdm4lQqcyG3qTwdkxus
148,Pa Mí - Remix,Dalex,46,99761,1,224EVTFiLsdQignUFLvDeH
149,Señor Mentira,Daniela Darcourt,46,55650,18,1euUy5iIipadV7jrHQRiYE
150,Madura (feat. Bad Bunny),Cosculluela,46,9394,10,0r9d60ZYPAlFHq8qnUtkXN
151,Epa Wei,Danny Ocean,46,9980,37,2QmsKag0YaqhAbpR9Nwmpn
152,SUTRA,Sebastian Yatra,46,9531,9,0lTYnxJdC68v0oXd5xolxY
153,Tu De Que Vas,Los 4,45,9878,98,0erGyP3ccj9BUn64fLuSP4
154,Mamita,CNCO,45,9820,30,5ojXuKXBYq0apcNucYSDXq
155,Thinking out Loud,Ed Sheeran,45,9891,59,1Slwb6dOYkBlWal1PGtnNg
156,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,44,9375,14,3TnhQSRwT3AVMdXw5JPq0x
157,Déjate Querer,Lalo Ebratt,44,48221,27,3mN2DtljBhnrIpc3Nu2pJ8
158,No Lie,Sean Paul,44,9440,120,3cFsmM51N5zMAuu1nNY4Tw
