,Track Name,Artist,Count,Streams,Position,spotify_id
0,Pasensya Ka Na,Silent Sanctuary,154,76219,38,0YyM8aEdbjGfLWPn6fdcn7
1,With a Smile,South Border,154,45145,64,6XmskR1cMfgys1W7dExmgi
2,Hiling,Mark Carpio,154,73439,37,6xQs6y6CpDqK9VKCktApEL
3,Tadhana,Up Dharma Down,154,77974,25,6NFKf8vBApSvtzkapYmnVR
4,Tell Me Where It Hurts,MYMP,154,46345,59,6C2nrsOlb3jOUGcJAmPrTA
5,So Sick,Ne-Yo,154,39895,71,4SRqDmPxYX0pUb5B5ut2Ri
6,Rainbow,South Border,154,41280,91,3VcVQmMivq2ISfKUmIuvMK
7,Sila,SUD,154,98647,18,2IMODbij0lZ5CuAjZi0IDE
8,Iris,The Goo Goo Dolls,154,36430,81,6Qyc6fS4DsZjB2mRW9DsQs
9,Photograph,Ed Sheeran,154,65932,42,6fxVffaTuwjgEk5h9QyRjy
10,Say You Won't Let Go,James Arthur,154,97216,2,5uCax9HTNlzGybIStD3vDh
11,Take A Bow,Rihanna,154,40495,71,39afswHs17v53znQm1gDTY
12,Stickwitu,The Pussycat Dolls,154,40596,82,4NjR63Up0uMkQBlKvlZd1l
13,Migraine,Moonstar88,154,63532,43,7sW3f7PqDV7BQ7qqeVBJIA
14,Closer (feat. Halsey),The Chainsmokers,154,95848,4,7BKLCZ1jbUBVqRi2FVlTVw
15,I'm Yours,Jason Mraz,153,38263,79,3S0OXQeoh0w6AY8WQVckRW
16,ILYSB,LANY,148,67793,37,0dPBlz8N0veeceejtuvpPz
17,Ang Huling El Bimbo,Eraserheads,147,46694,70,135ggzbjOogZ75IQ0LQi8r
18,You And Me,Lifehouse,147,35759,95,0815caqt2Lytro5EIzMufT
19,Sa'yo,Silent Sanctuary,146,40441,70,29xs643Q96uQLD8f7SxYYw
20,She Will Be Loved - Radio Mix,Maroon 5,146,39945,98,4llK75pXNWZz6KAho2Gp16
21,Perfect,Ed Sheeran,146,96340,1,0tgVpDi06FyKpA1z0VMD4v
22,ILYSB - STRIPPED,LANY,145,52950,50,3Dkvp3L4w0uJFYfIPa8E9H
23,Breakeven,The Script,144,32961,97,1a1i2IwXnUN0PjllVEhA4B
24,Happier,Ed Sheeran,142,89168,22,2RttW7RAu5nOAfq6YFvApB
25,Before I Let You Go,Freestyle,141,33849,85,1VvFtp71ibaXiHxurBlXuw
26,Kung Wala Ka,Hale,141,59237,46,4JSDhJVmo2UqdF7nxbyenn
27,Starving,Hailee Steinfeld,140,92253,6,1qOLh0tI7trd1zdDKxYZTe
28,Lucky,Jason Mraz,139,37721,98,2qLMf6TuEC3ruGJg4SMMN6
29,Magbalik,Callalily,136,45378,58,5zMR44ZH4KVZj4FlhTj3SE
30,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,136,35024,81,2YlZnw2ikdb837oKMKjBkW
31,I Like Me Better,Lauv,134,94374,4,1wjzFQodRWrPcQ0AnYnvQ9
32,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,130,97471,5,6M21eWbEw74XDdoQsNIinq
33,A Thousand Years,Christina Perri,130,30797,111,6lanRgr6wXibZr8KgzXxBl
34,Someday,Nina,127,37471,90,1MkiRsYBkXbXvdiYvTTiQT
35,Super Far,LANY,125,92308,3,15ahYSiHAIMxAnujlXVtta
36,A Thousand Miles,Vanessa Carlton,125,31174,109,4w1lzcaoZ1IC2K5TwjalRP
37,"Maybe This Time - From ""Maybe This Time""",Sarah Geronimo,124,37978,71,0Dljpp52vCmtXi0E94qjfo
38,Hanggang Kailan,Michael Pangilinan,122,88537,29,01YEqVPCm0vqRLA9w43bic
39,One and Only,Parokya Ni Edgar,121,46037,76,3OpGUlDmRUXh0NkIYWoIlD
40,Versace on the Floor,Bruno Mars,121,99925,1,0kN8xEmgMW9mh7UmDYHlJP
41,Beautiful Soul,Jesse McCartney,119,32883,94,1HwpWwa6bnqqRhK8agG4RS
42,That's What I Like,Bruno Mars,118,99823,2,0KKkJNfGyhkQ5aFogxQAPU
43,"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""",Morissette,115,32850,101,1qoXYfWILyuN0EatImGlma
44,Why Can't It Be,Kaye Cal,114,78031,28,0zFYa7NIpKhmom8zrZx7Ga
45,Too Good At Goodbyes,Sam Smith,113,99515,1,1mXVgsBdtIVeCLJnSnmtdV
46,Prinsesa,6cyclemind,112,29759,103,2S80c51YXgJQhkhX603fMA
47,The Day You Said Goodnight - Acoustic Version,Hale,111,39581,72,6CHpr3pY2MbJ5y1076UDnI
48,Shape of You,Ed Sheeran,110,99092,1,7qiZfU4dY1lWllzX7mPBI3
49,13,LANY,106,98079,15,0WOvSEVpUGkNufX0w0M06F
50,Kathang Isip,Ben&Ben,106,99286,2,3WUEs51GpcvlgU7lehLgLh
51,The Scientist,Coldplay,106,84160,23,75JFxkI2RXiU7L9VXzMkle
52,IDGAF,Dua Lipa,105,98979,1,76cy1WJvNGJTj78UqeA5zr
53,Just the Way You Are,Bruno Mars,104,35452,97,7BqBn9nzAq8spo5e7cZ0dJ
54,Rewrite The Stars,Zac Efron,103,99264,3,630sXRhIcfwr2e4RdNtjKN
55,Nadarang,Shanti Dope,102,90063,2,6LJ1p1h5EcMK4VPeCLDSoF
56,Best Part (feat. Daniel Caesar),H.E.R.,102,98200,11,4OBZT9EnhYIV17t4pGw7ig
57,Tagpuan,Moira Dela Torre,101,98214,2,0ztDBQdQmdVZvorSmIjMih
58,Hanggang Kailan - Umuwi Ka Na Baby,Orange & Lemons,101,55645,48,5UhpceEr5XmbVwyoIUIRnh
59,Leaves,Ben&Ben,100,64170,48,6wdCelHrPh7UfliNjwRTUv
60,Maybe The Night,Ben&Ben,100,98394,1,1yDiru08Q6omDOGkZMPnei
61,Out of My League,Stephen Speaks,99,31685,112,2PkQeKapTNUjwpKLf8aJlq
62,The Middle,Zedd,98,99817,2,09IStsImFySgyp0pIQdqAc
63,Mundo,IV Of Spades,98,80258,1,4u8RkgV6P4TLi89SmlUtv8
64,Ex,Callalily,97,98013,22,0GHwNr0lqf8jpc9wesmnHo
65,Oks Lang,John Roa,97,66836,31,2wTxJWt2gA9a1Z94dTnPiI
66,The Man Who Can't Be Moved,The Script,97,30016,96,67EY6aDoIx8czEPS6a2AaI
67,Sa Ngalan Ng Pag-Ibig,December Avenue,97,98576,2,00mBzIWv5gHOYxwuEJXjOG
68,You Are The Reason,Calum Scott,94,94190,26,2VgJDTfkuwlm7WIHnvtRCQ
69,I'm Not The Only One,Sam Smith,94,38314,75,0fioLzGM8ngbD1w6fMmm45
70,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack",Darren Espanto,94,97450,4,0qt9ivU6UEP3YdNUiZsnYR
71,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,94,97303,13,4e4fqjx0Izh4svvTef1z7e
72,Di Makatulog,SUD,93,57433,48,2ZiNCGDMapQzMtnPRVOKZI
73,Meron Nang Iba,Silent Sanctuary,93,32800,103,4r7vGTk9HCW7YDorNWoclF
74,So Slow,Freestyle,91,33513,96,1A40ESJJPEEJrqjC9BUO2B
75,Young Dumb & Broke,Khalid,90,97260,2,5Z3GHaZ6ec9bsiI5BenrbY
76,Let Me Be the One,Julie Anne San Jose,90,37610,77,39V6cEoNFwDFRJEOKyj4OR
77,2002,Anne-Marie,89,91106,5,2BgEsaKNfHUdlh97KmvFyo
78,Treat You Better,Shawn Mendes,89,93097,26,3AFfyUXTfj12PgrOkZiiJo
79,New Rules,Dua Lipa,88,98315,5,2ekn2ttSfGqwhhate0LSR0
80,Harana,Parokya Ni Edgar,87,32463,109,3gyEt1vswIEbpQqBs18Lha
81,Collide - Acoustic Version,Howie Day,87,33942,85,5rwq6R0Uq0BngM3rdmCeNg
82,Wherever You Will Go,The Calling,86,28992,114,5QpaGzWp0hwB5faV8dkbAz
83,Girls Like You (feat. Cardi B),Maroon 5,83,96825,1,6FRLCMO5TUHTexlWo8ym1W
84,Your Love - Dolce Amore Teleserye Theme,Juris,82,47250,60,2PcbtMoqOlGSzOfyJlkB06
85,Dive,Ed Sheeran,81,83928,19,51ChrwmUPDJvedPQnIU8Ls
86,More Than Words,Extreme,81,27746,112,1gVgkQFOKa8Wc1HYsJtPdH
87,When You Say Nothing At All,Boyzone,80,26492,116,4In8AR7usFmBDCWLfuEb92
88,'Di Na Muli,Janine Teñoso,80,99834,3,3VQb0rq27GPX92X53Ni1Lc
89,Terrified,Katharine McPhee,79,25634,109,573EXMFHsEKPRSy08G91Sr
90,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,79,92239,12,5AEtlRudpgdT5FtNiuly6Y
91,Bulong,December Avenue,78,99618,7,5nMKJJ5Rl6X1yn58aVeICO
92,Tagu-Taguan,Moira Dela Torre,78,86236,23,2iOnWSWcChoGmUufbrQ00e
93,Eastside (with Halsey & Khalid),benny blanco,77,99877,9,0d2iYfpKoM0QCKvcLCkBao
94,This I Promise You,*NSYNC,77,36863,93,2Dp2LRrY71XIfLe3co2Qnh
95,As If It's Your Last,BLACKPINK,76,47299,61,1Zyd6zQnC6XIIzmg3hP7Ot
96,Thru These Tears,LANY,76,99511,2,4gB61mP4tNChn4LgfquMhi
97,Bakit Ba Ikaw,Michael Pangilinan,76,68187,31,0Vmk6Ebk4QBq7r0VAz2a6s
98,Sana,I Belong to the Zoo,75,99190,1,1X4l4i472kW5ofFP8Xo0x0
99,Kung 'Di Rin Lang Ikaw,December Avenue,75,285912,1,2BgD4nRyx9EZ5o8YEnjRSV
100,Huling Sayaw - Acoustic,Kamikazee,75,32936,99,4UgtdWy4dm7vMVIupUbtMm
101,Kahit Di Mo Alam,December Avenue,75,92282,17,6GIzDc4xBUeYHwubWwTrhC
102,Beautiful (feat. Camila Cabello),Bazzi,74,97784,6,4VUwkH455At9kENOfzTqmF
103,Fresh Eyes,Andy Grammer,73,98883,18,4nMlau89VAjmV7agkl7OY3
104,Psycho (feat. Ty Dolla $ign),Post Malone,72,95568,5,3swc6WTsr7rl9DqQKQA55C
105,I Don't Wanna Love You Anymore,LANY,71,99278,6,1NEV2pt7AJSHWadhfCZ48t
106,Happier,Marshmello,71,97184,7,2dpaYNEQHiRxtZbfNsse99
107,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",KZ Tandingan,70,97702,2,46ixegtxjERQMCutmp09Sa
108,The Day You Said Goodnight,Hale,69,45789,78,0HZ3OUVrGHxttD2EuHqRm3
109,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,68,98685,10,1NDxZ7cFAo481dtYWdrUnR
110,Weak,Khel Pangilinan,68,98809,15,06cUybZMETs4i3yQO1f7p3
111,Thick And Thin,LANY,68,92694,9,3D110t9ctcoOoylXsc3iR8
112,Love Someone,Lukas Graham,68,95652,7,0OCRwXbQRdOZ1OtB4Imsp1
113,Pusong Ligaw,Jericho Rosales,67,28561,103,14pj36HKHd6c72njvGVPWU
114,Something Just Like This,The Chainsmokers,66,86744,1,6RUKPb4LETWmmr3iAEQktW
115,Buwan,juan karlos,66,91976,1,5f9808hpiCpuNyqqdXmpF2
116,Malibu Nights,LANY,65,98011,2,0Eqg0CQ7bK3RQIMPw1A7pl
117,Capital Letters,Hailee Steinfeld,65,97592,7,2bllegdYt2WoYdbRZyJ730
118,Kahit Ayaw Mo Na,This Band,65,92849,1,58grXgbCj7t5ulr0TGLIr9
119,Without Me,Halsey,65,98559,14,5p7ujcrUXASCNwRaWNHR1C
120,Mine,Bazzi,64,96567,6,6tHWl8ows5JOZq9Yfaqn3M
121,Your Body Is a Wonderland,John Mayer,64,26604,117,7vFv0yFGMJW3qVXbAd9BK9
122,It's Gotta Be You,Isaiah,63,98311,25,6cAKeFFYW2aClZSUyvqAEW
123,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,63,98783,3,0RiRZpuVRbi7oqRdSMwhQY
124,Dahil Sa'Yo,Inigo Pascual,63,98212,9,4ai7c2BUjNpElhZdZDH7qF
125,Better,Khalid,62,99882,17,2OpBganfGk2GVdSlRdxzaX
