,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,136,96392,1,7qiZfU4dY1lWllzX7mPBI3
1,Believer,Imagine Dragons,132,50625,1,0CcQNd8CINkwQfe1RDtGV6
2,More Than You Know,Axwell /\ Ingrosso,115,9452,2,3PEgB3fkiojxms35ntsTgs
3,Half Dead,Quebonafide,114,6866,10,5TuXRIWZicQ2baTHfXID0U
4,Nowy Kolor,Otsochodzi,108,39164,5,4cIEQ6n11b04xjMqZri4ui
5,05:05,Bedoes,106,38131,4,1tWJcN0KZhuxcRyYlrL0o9
6,Feel It Still,Portugal. The Man,100,9515,3,6QgjcU0zLnzq5OrUoSZ3OK
7,New Rules,Dua Lipa,94,38505,3,2ekn2ttSfGqwhhate0LSR0
8,Tamagotchi,TACONAFIDE,89,73828,1,3yI9jZu5AE7y7kUCqfBhCA
9,8 kobiet - Remix,TACONAFIDE,88,59817,4,5s6jooT9ZcUjjD5qVx9B5K
10,Youngblood,5 Seconds of Summer,88,49408,7,2iUXsYOEPhVqEBwsqP70rE
11,Nie / nie,Otsochodzi,87,38571,3,504W8xzM8013XZkMxRYkX4
12,W Dobrą Stronę,Dawid Podsiadło,87,9899,53,4vlcTHpj4rGBPHGrA1wf2l
13,Thunder,Imagine Dragons,86,9936,3,0tKcYR2II1VCQWT79i5NrW
14,UA,Reto,85,39317,8,3Vmq9lE9ayaO1wpcdxjn7c
15,Be Mine,Ofenbach,84,9971,21,2KklXplRtxMsBYo474Es0w
16,Początek,Męskie Granie Orkiestra 2018,84,75527,2,6TfeSFGbqxGjIKuKLQOsKC
17,Małomiasteczkowy,Dawid Podsiadło,82,81297,1,4pzE97EZMDxnqO88y3YxAm
18,Płuca zlepione topami,Guzior,81,32448,14,24XLOVBFwlv8bR1eLFeUik
19,MINIMINI,2K,80,9712,74,6gR20bwZSjSEeXrCMBEOsy
20,California,White 2115,80,54487,6,2nFaT0t36H6UX3wN3Vxvjm
21,Lean On (feat. MØ & DJ Snake),Major Lazer,78,9874,53,1qE47wUKG2juJwPoLqg4C9
22,IDGAF,Dua Lipa,78,8315,1,76cy1WJvNGJTj78UqeA5zr
23,WIFI,Guzior,77,28570,26,0al5IxhkvzwfKaHytMKNHk
24,Fiji,Taco Hemingway,77,76474,1,2CdCs9y04oDuYCF4ewNzI7
25,Następna stacja,Taco Hemingway,77,9856,72,3D0E9oVbTGMmo3SSAAvXdj
26,Deszcz Na Betonie,Taco Hemingway,77,9682,59,5K88aW0YcTXmmn4ooXzqyz
27,Nevermind,Dennis Lloyd,75,47957,8,63SevszngYpZOwf63o61K4
28,Szaman,Paluch,74,9887,77,0efg1XQEkIk60cfAYEmkCV
29,Solo (feat. Demi Lovato),Clean Bandit,73,63759,2,3NuK5xMlSlB6K2Qp16zf3h
30,6 Zer,Taco Hemingway,73,9969,86,4Ma6BKjPSCS0rGzjdLqObi
31,In My Mind,Dynoro,73,96503,1,0E9ZjEAyAwOXZ7wJC0PD33
32,Wiking,Sarius,73,40591,17,1LkwfIUo0N1rMd0Hc0JO71
33,Do I Wanna Know?,Arctic Monkeys,72,9961,105,3rq5w4bQGigXOfdN30ATJt
34,One Kiss (with Dua Lipa),Calvin Harris,72,63186,2,7ef4DlsgrMEH11cDZd32M6
35,These Days,Rudimental,71,9592,10,20ZP3Om9DvDazXrNUC7WM2
36,Perfect,Ed Sheeran,70,9824,4,0tgVpDi06FyKpA1z0VMD4v
37,Riptide,Vance Joy,70,9997,76,7yq4Qj7cqayVTp3FF9CWbm
38,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,69,9973,35,0tICYNayWWhH9GPeFrfjfD
39,Seven Nation Army,The White Stripes,69,9733,117,1jNOi6m3Hn8nLEeHCp5Msr
40,Outside,Kartky,69,34784,30,4SDdeq8HUaKPUGiE4WMASH
41,Candy,Quebonafide,69,9657,6,7hRsWeey4zosKz2ris2cHI
42,Gdybyś Kiedyś,Paluch,69,9625,87,7hcD9lM5hZl3hY4ASgReNv
43,Treat You Better,Shawn Mendes,69,9839,18,3AFfyUXTfj12PgrOkZiiJo
44,Visa,TACONAFIDE,69,72017,6,4M1McbiEQSJmMyaGjWDXJm
