,Track Name,Artist,Count,Streams,Position,spotify_id
0,Mo Boy,Dillaz,153,7616,66,0A3b3cu2JPBUTGC6qJEqUy
1,Believer,Imagine Dragons,146,9478,11,0CcQNd8CINkwQfe1RDtGV6
2,Shape of You,Ed Sheeran,141,9886,1,7qiZfU4dY1lWllzX7mPBI3
3,goosebumps,Travis Scott,119,8536,61,6gBFPUFcJLzWGx4lenP6h2
4,Não Sinto,Wet Bed Gang,118,9880,32,0W6ZrhDZMhWI12rSMQzJb4
5,Salto Alto,Piruka,110,9753,2,3sIXzuNgN9HrC7amkEQWiP
6,Thunder,Imagine Dragons,107,9765,11,0tKcYR2II1VCQWT79i5NrW
7,Não Tens Visto,Wet Bed Gang,105,8983,52,3WzINtpiKu6mwJu8ax7EdC
8,Aleluia,Wet Bed Gang,103,9731,18,3nOdmaNfqskNaYpBGPLDdG
9,Se Não Acordar Amanhã,Piruka,97,9985,14,4oWGtWd4deNrZZOopdmCwz
10,Jocelyn Flores,XXXTENTACION,93,9983,4,7m9OqQk4RVRkw9JJdeAw96
11,O Clima,Lhast,92,9620,26,2KTw4vRM6mdBzMlVkInvSS
12,rockstar (feat. 21 Savage),Post Malone,88,9822,6,0e7ipj03S05BNilyu5bRzt
13,A Nossa Vez,Calema,87,6022,63,330QvMk6wENnQy03d9kyCY
14,Better Now,Post Malone,84,9046,2,7dt6x5M1jzdTEt8oCbisTK
15,Youngblood,5 Seconds of Summer,84,9650,7,2iUXsYOEPhVqEBwsqP70rE
16,Congratulations,Post Malone,83,9859,14,3a1lNhkSLSkpJE4MSHpDu9
17,Starboy,The Weeknd,82,9939,2,5aAx2yezTd8zXrkmtKl66Z
18,Wonderwall - Remastered,Oasis,81,4727,128,5qqabIl2vWzo9ApSC317sa
19,Me Rehúso,Danny Ocean,80,9637,8,6De0lHrwBfPfrhorm9q1Xl
20,Despacito (Featuring Daddy Yankee),Luis Fonsi,80,8765,1,4aWmUDTfIPGksMNLV2rQP2
21,HUMBLE.,Kendrick Lamar,79,9922,2,7KXjTSCq5nL1LoYtL7XAwS
22,Lucid Dreams,Juice WRLD,79,9764,5,0X8DcetL926BYiPJYstJTc
