,Track Name,Artist,Count,Streams,Position,spotify_id
0,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,155,9992,3,5q2JbCNi4FcnglgPfxcV65
1,Me Rehúso,Danny Ocean,155,9995,1,6De0lHrwBfPfrhorm9q1Xl
2,Believer,Imagine Dragons,149,6341,26,0CcQNd8CINkwQfe1RDtGV6
3,Otra vez (feat. J Balvin),Zion & Lennox,136,9504,3,3QwBODjSEzelZyVjxPOHdq
4,The Scientist,Coldplay,133,2632,61,75JFxkI2RXiU7L9VXzMkle
5,Shape of You,Ed Sheeran,132,9993,3,7qiZfU4dY1lWllzX7mPBI3
6,Te Quiero Pa´Mi,Don Omar,125,7150,12,2rXZir7PFYmCw93pK3iVaW
7,Thunder,Imagine Dragons,119,5786,30,0tKcYR2II1VCQWT79i5NrW
8,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,114,9677,1,1j6xOGusnyXq3l6IryKF3G
9,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,110,6064,21,2FrnTVSHjgnEylKGdHRUK1
10,Ojitos Chiquitos,Don Omar,108,9354,42,4f49sFQko7jHLEFd3tCf5p
11,Noche De Sexo,Wisin & Yandel,107,2907,99,4kAtRwNRLMKuoCbxMSxUGI
12,Perfect,Ed Sheeran,106,4716,45,0tgVpDi06FyKpA1z0VMD4v
13,La player (Bandolera),Zion & Lennox,96,9977,2,0VKkyBKCXyR99navhVRqcP
14,Photograph,Ed Sheeran,94,2060,62,6fxVffaTuwjgEk5h9QyRjy
15,Una Lady Como Tú,Manuel Turizo,94,9296,1,7MHN1aCFtLXjownGhvEQlF
16,Something Just Like This,The Chainsmokers,93,5363,16,6RUKPb4LETWmmr3iAEQktW
17,Robarte un Beso,Carlos Vives,90,9683,4,0JcNysfWVWaMS7R6vzGB2k
18,No Hay Nadie Más,Sebastian Yatra,87,8216,13,3IPJg1sdqLj12kFIndaonN
19,No Es Justo,J Balvin,85,9957,2,1RTlTuLOdnmgbe11ynwR7c
20,Puntos Suspensivos,Piso 21,82,9929,3,04cd1MHVq1D8v1nuTZoCdv
21,Te Amo,Piso 21,80,9986,1,2RVrdr062uLFxXwIxwdXPH
22,Thinking out Loud,Ed Sheeran,80,1902,76,1Slwb6dOYkBlWal1PGtnNg
23,Ella Y Yo - Featuring Don Omar,Aventura,80,4796,78,6G4U9avyBNEfP0fAIduev3
24,New Rules,Dua Lipa,79,6216,28,2ekn2ttSfGqwhhate0LSR0
25,Vaina Loca,Ozuna,79,8829,1,1s2B5cndbqK8rPJEIcKJRQ
26,Bebe (feat. Anuel AA),Ozuna,79,9441,8,6SIrNxmmdbv1KUbFBu1PaN
27,Besándote,Piso 21,79,9947,7,13X0XdLMOdtbXVtAj2ox4h
28,Cada Dia (feat. Emiliano Brancciari),Kchiporros,79,1783,103,2sJskZyQdcEjwTYjMLrN00
29,Ahora Dice,Chris Jeday,77,9648,4,22eADXu8DfOAUEDw4vU8qy
30,Percocet - Remix,Alex Rose,77,3646,53,7H6OwsBoSI4BVWm5M7MTOQ
31,Traicionera,Sebastian Yatra,77,5312,15,4Ft0391aLVNtCPPseh98lp
