,Track Name,Artist,Count,Streams,Position,spotify_id
0,Better Now,Post Malone,84,4552,1,7dt6x5M1jzdTEt8oCbisTK
1,Youngblood,5 Seconds of Summer,84,3593,5,2iUXsYOEPhVqEBwsqP70rE
2,Believer,Imagine Dragons,84,2621,44,0pqnGHJpmpxLKifKRmU6WP
3,goosebumps,Travis Scott,84,3985,35,6gBFPUFcJLzWGx4lenP6h2
4,SAD!,XXXTENTACION,84,9111,1,3ee8Jmje8o58CHK66QrVC2
5,rockstar (feat. 21 Savage),Post Malone,84,3670,6,0e7ipj03S05BNilyu5bRzt
6,HUMBLE.,Kendrick Lamar,84,2542,56,7KXjTSCq5nL1LoYtL7XAwS
7,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,83,4773,1,7ycWLEP1GsNjVvcjawXz3z
8,Lucid Dreams,Juice WRLD,83,7431,8,0X8DcetL926BYiPJYstJTc
9,Taste (feat. Offset),Tyga,83,5566,2,2toVe5hfuIi97ytDPDbQFt
10,'Till I Collapse,Eminem,81,2091,50,4xkOaSrkexMciUUogZKVTS
11,Moonlight,XXXTENTACION,79,7561,2,0JP9xo3adEtGSdUEISiszL
12,Ric Flair Drip (& Metro Boomin),Offset,78,2132,28,7sO5G9EABYOXQKNPNiE9NR
13,Jocelyn Flores,XXXTENTACION,78,5415,3,7m9OqQk4RVRkw9JJdeAw96
14,2002,Anne-Marie,78,2857,38,2BgEsaKNfHUdlh97KmvFyo
15,Eastside (with Halsey & Khalid),benny blanco,76,3837,8,0d2iYfpKoM0QCKvcLCkBao
16,SICKO MODE,Travis Scott,73,8130,2,2xLMifQCjDGFmkHkpNLD9h
17,Thunder,Imagine Dragons,72,2292,56,1zB4vmk8tFRmM9UULNzbLB
18,Happier,Marshmello,71,5710,8,2dpaYNEQHiRxtZbfNsse99
19,Be Alright,Dean Lewis,71,3005,19,2H4gf1wLxvYreMj1jcaN0k
20,I Like Me Better,Lauv,70,2769,51,2P91MQbaiQOfbiz9VqhqKQ
21,I Like It,Cardi B,70,3907,3,58q2HKrzhC3ozto2nDdN4z
22,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,69,2479,32,4hQ6UGyWQIGJmHSo0J88JW
23,Solo (feat. Demi Lovato),Clean Bandit,69,3972,5,3NuK5xMlSlB6K2Qp16zf3h
24,you should see me in a crown,Billie Eilish,68,7700,7,3XF5xLJHOQQRbWya6hBp7d
25,XO Tour Llif3,Lil Uzi Vert,68,2194,54,7GX5flRQZVHRAGd6B4TmDO
26,Shallow,Lady Gaga,65,6610,5,2VxeLyX666F8uXCJ0dZF8B
27,Let Me Down Slowly,Alec Benjamin,65,5537,11,2qxmye6gAegTMjLKEBoR3d
28,Without Me,Halsey,64,7870,1,5p7ujcrUXASCNwRaWNHR1C
29,Sweet but Psycho,Ava Max,64,5119,6,25sgk305KZfyuqVBQIahim
30,Nonstop,Drake,64,8776,1,0TlLq3lA83rQOYtrqBqSct
31,Girls Like You (feat. Cardi B),Maroon 5,63,4113,2,6FRLCMO5TUHTexlWo8ym1W
32,The Middle,Zedd,63,2329,31,09IStsImFySgyp0pIQdqAc
33,no tears left to cry,Ariana Grande,63,4306,5,2qT1uLXPVPzGgFOx4jtEuo
34,I'm a Mess,Bebe Rexha,63,2513,43,04ZTP5KsCypmtCmQg5tH9R
35,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,62,5868,2,0RiRZpuVRbi7oqRdSMwhQY
36,IDGAF,Dua Lipa,62,2487,40,76cy1WJvNGJTj78UqeA5zr
37,when the party's over,Billie Eilish,62,7212,8,14JzyD6FlBD5z0wV5P07YI
38,In My Mind,Dynoro,62,4021,6,0E9ZjEAyAwOXZ7wJC0PD33
39,lovely (with Khalid),Billie Eilish,62,3735,20,0u2P5u6lvoDfwTYjAADbn4
40,ZEZE (feat. Travis Scott & Offset),Kodak Black,62,5511,3,0FZ4Dmg8jJJAPJnvBIzD9z
41,High Hopes,Panic! At The Disco,61,4130,14,1rqqCSm0Qe4I9rUvWncaom
42,Call Out My Name,The Weeknd,61,3221,7,09mEdoA6zrmBPgTEN5qXmN
43,Bohemian Rhapsody - 2011 Mix,Queen,59,3287,19,4u7EnebtmKWzUH433cf5Qv
44,Manele,Spike,59,3739,14,3qUNmAncDuzD9efhTbQ1pF
45,God's Plan,Drake,58,6092,7,2VWbHHhWnMzKWPUs4IEEW9
46,Nevermind,Dennis Lloyd,56,3358,5,63SevszngYpZOwf63o61K4
47,Body (feat. brando),Loud Luxury,54,3408,11,7K7MUBCnzgBAvMVW2RTWNs
48,Rise,Jonas Blue,54,3278,12,3KLygy1YWhmrQx0GRs7IOx
49,Bag Un Blunt,Ian,53,5543,14,1nGnZ1SNJHg0qmCKZLiCgi
50,Wow.,Post Malone,52,9027,1,2ve5NyzWHUbIYxL33goCX7
51,B.M.V.,Nane,52,3924,38,0YF7NWEb8CTZQFXCIL2Ztq
52,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,52,3701,15,5JEx7HbmvHQQswJCsoo9rA
53,FRIENDS,Marshmello,51,2874,9,08bNPGLD8AhKpnnERrAc6G
