,Track Name,Artist,Count,Streams,Position,spotify_id
0,Say You Won't Let Go,James Arthur,154,9879,1,5uCax9HTNlzGybIStD3vDh
1,Faded,Alan Walker,154,9994,28,698ItKASDavgwZ3WjaWjtz
2,以後別做朋友,Eric Chou,154,9912,48,7zyYmIdjqqiX6kLryb7QBx
3,可惜沒如果,JJ Lin,154,9842,24,6WoQzK5Exbfcmow1AoNRkl
4,她說,JJ Lin,154,9910,29,632VyMrvhsHIsO4zq9khts
5,不該,Jay Chou,154,9892,63,7LyCtbxher5m97MImn5M3l
6,小幸運,Hebe Tien,154,9874,50,1ZeVIrCWzEmsJexkrgvjFv
7,晴天,Jay Chou,154,9988,54,0F02KChKwbcQ3tk4q1YxLH
8,演員,Joker Xue,154,9733,69,6LunoYd3xpZ19sICOXS8Xd
9,Closer (feat. Halsey),The Chainsmokers,154,9948,2,7BKLCZ1jbUBVqRi2FVlTVw
10,告白氣球,Jay Chou,154,9968,22,1ivCIgrYZyE0BvItL4Z8lk
11,不為誰而作的歌,JJ Lin,154,9998,23,0VqSdtXseb9khdZrnYVyM1
12,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""",Eric Chou,154,9941,26,2gug6MRv4xQFYi9LA3PJCS
13,Photograph,Ed Sheeran,154,9978,26,6fxVffaTuwjgEk5h9QyRjy
14,修煉愛情,JJ Lin,154,9998,36,190kU2WKyIzx9XaBjfWRPk
15,Shape of You,Ed Sheeran,154,9942,1,7qiZfU4dY1lWllzX7mPBI3
16,泡沫,G.E.M.,153,8499,116,2IfSPLPDW6RGosdB5huwAA
17,後來的我們,Mayday,153,9581,86,0qepAQsUGIzofBj82iP17C
18,Something Just Like This,The Chainsmokers,147,9798,1,6RUKPb4LETWmmr3iAEQktW
19,Perfect,Ed Sheeran,146,9945,1,0tgVpDi06FyKpA1z0VMD4v
20,聽見下雨的聲音,Jay Chou,144,9145,86,0nt1LAZjaTjrf30S8hdRDU
21,光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,143,9968,83,1bkvGbgK4HU8B7Ue4k7O7I
22,We Don't Talk Anymore,Charlie Puth,142,9914,22,68EMU2RD1ECNeOeJ5qAXCV
23,你还要我怎样,Joker Xue,136,8410,112,0kuKQQMx6L3efJuRVTgWQb
24,Treat You Better,Shawn Mendes,136,9804,24,3AFfyUXTfj12PgrOkZiiJo
25,Thinking out Loud,Ed Sheeran,136,9817,36,1Slwb6dOYkBlWal1PGtnNg
26,Happier,Ed Sheeran,136,9903,13,2RttW7RAu5nOAfq6YFvApB
27,I Like Me Better,Lauv,133,9952,15,1wjzFQodRWrPcQ0AnYnvQ9
28,Attention,Charlie Puth,133,9979,2,4iLqG9SeJSnt0cSPICSjxv
29,安靜,Jay Chou,132,9956,84,4FOydQ5IdqmdeBgG9vFbPg
30,突然好想你,Mayday,129,8971,116,0IAgufC1FlOg1nZMmRZxRr
31,I'm Yours,Jason Mraz,127,8330,96,3S0OXQeoh0w6AY8WQVckRW
32,那些你很冒險的夢,JJ Lin,124,9949,16,5kZDxLcbqglZ2yYXg4Mkjc
33,As If It's Your Last,BLACKPINK,121,9959,7,1Zyd6zQnC6XIIzmg3hP7Ot
34,Symphony (feat. Zara Larsson),Clean Bandit,117,9873,4,1x5sYLZiu9r5E43kMlt9f8
35,Too Good At Goodbyes,Sam Smith,113,9939,1,1mXVgsBdtIVeCLJnSnmtdV
36,There's Nothing Holdin' Me Back,Shawn Mendes,113,9785,7,79cuOz3SPQTuFrp8WgftAu
37,手心的薔薇,JJ Lin,112,9926,74,07DWACsD58aEdq6XnDadLh
