,Track Name,Artist,Count,Streams,Position,spotify_id
0,Believer,Imagine Dragons,150,4094,3,0CcQNd8CINkwQfe1RDtGV6
1,Shape of You,Ed Sheeran,137,9225,1,7qiZfU4dY1lWllzX7mPBI3
2,Thunder,Imagine Dragons,129,5274,1,0tKcYR2II1VCQWT79i5NrW
3,I Like Me Better,Lauv,113,2316,18,1wjzFQodRWrPcQ0AnYnvQ9
4,More Than You Know,Axwell /\ Ingrosso,111,4430,1,3PEgB3fkiojxms35ntsTgs
5,Vozíme,Ego,99,5523,2,2ZkzWeBRaUDWiM1So7KBK7
6,Without You (feat. Sandro Cavazza),Avicii,94,2787,10,6Pgkp4qUoTmJIPn7ReaGxL
7,V Meste Snov,Ego,94,5969,1,5h0qay449Zex9XSHxNuzm7
8,rockstar (feat. 21 Savage),Post Malone,87,4137,6,0e7ipj03S05BNilyu5bRzt
9,Youngblood,5 Seconds of Summer,87,3843,5,2iUXsYOEPhVqEBwsqP70rE
10,These Days,Rudimental,87,4250,2,20ZP3Om9DvDazXrNUC7WM2
11,Better Now,Post Malone,87,5824,1,7dt6x5M1jzdTEt8oCbisTK
12,New Rules,Dua Lipa,86,3751,4,2ekn2ttSfGqwhhate0LSR0
13,Audiokniha,Gleb,85,3436,7,6tgYoMQ6r45PiY3MoQ1MmP
14,Nevermind,Dennis Lloyd,85,4105,4,63SevszngYpZOwf63o61K4
15,2002,Anne-Marie,83,2427,23,2BgEsaKNfHUdlh97KmvFyo
16,IDGAF,Dua Lipa,82,4726,2,76cy1WJvNGJTj78UqeA5zr
17,The Middle,Zedd,79,2832,11,09IStsImFySgyp0pIQdqAc
18,Whatever It Takes,Imagine Dragons,79,3208,8,0yt31hMKZMiyIEfiBiLD2N
19,Eastside (with Halsey & Khalid),benny blanco,74,3856,8,0d2iYfpKoM0QCKvcLCkBao
20,High Hopes,Panic! At The Disco,74,4472,7,1rqqCSm0Qe4I9rUvWncaom
21,In My Mind,Dynoro,74,8516,1,0E9ZjEAyAwOXZ7wJC0PD33
22,SICKO MODE,Travis Scott,74,5506,5,2xLMifQCjDGFmkHkpNLD9h
23,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,73,4087,3,7ycWLEP1GsNjVvcjawXz3z
24,SAD!,XXXTENTACION,73,6513,1,35ieKju5aLWFN5UgfJ27mL
25,Happier,Marshmello,72,4548,6,2dpaYNEQHiRxtZbfNsse99
26,Solo (feat. Demi Lovato),Clean Bandit,71,5452,1,3NuK5xMlSlB6K2Qp16zf3h
27,Natural,Imagine Dragons,71,6538,3,2FY7b99s15jUprqC0M5NCT
28,Havana (feat. Young Thug),Camila Cabello,70,4847,4,1rfofaqEpACxVEHIZBJe6W
29,FRIENDS,Marshmello,70,4930,1,08bNPGLD8AhKpnnERrAc6G
30,One Kiss (with Dua Lipa),Calvin Harris,70,5124,1,7ef4DlsgrMEH11cDZd32M6
31,I Like It,Cardi B,68,3754,7,58q2HKrzhC3ozto2nDdN4z
32,Something Just Like This,The Chainsmokers,67,4837,2,6RUKPb4LETWmmr3iAEQktW
33,Sweet but Psycho,Ava Max,67,4590,4,25sgk305KZfyuqVBQIahim
34,Rise,Jonas Blue,67,5080,3,3KLygy1YWhmrQx0GRs7IOx
35,Shallow,Lady Gaga,66,8937,1,2VxeLyX666F8uXCJ0dZF8B
36,Be Alright,Dean Lewis,66,3190,10,2H4gf1wLxvYreMj1jcaN0k
37,Girls Like You (feat. Cardi B),Maroon 5,65,4867,1,6FRLCMO5TUHTexlWo8ym1W
38,Kardio,DMS,64,4096,8,0obTY1gBcnUEIKzrokCzWS
39,Without Me,Halsey,64,5043,3,5p7ujcrUXASCNwRaWNHR1C
40,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,63,5356,3,0RiRZpuVRbi7oqRdSMwhQY
41,Jackie Chan,Tiësto,63,4768,2,4kWO6O1BUXcZmaxitpVUwp
42,when the party's over,Billie Eilish,63,4551,5,14JzyD6FlBD5z0wV5P07YI
43,Royal,Separ,62,3695,11,7oVavZggN8EK3zxBBxpur8
44,Lucid Dreams,Juice WRLD,62,4559,12,0X8DcetL926BYiPJYstJTc
45,Born To Be Yours,Kygo,62,3716,7,0kHyKhJMukHEPfeh8s7rdM
46,Bohemian Rhapsody - 2011 Mix,Queen,60,4068,6,4u7EnebtmKWzUH433cf5Qv
47,Body (feat. brando),Loud Luxury,60,3343,12,7K7MUBCnzgBAvMVW2RTWNs
48,10 Minút (feat. Dms),Nerieš,59,1778,87,7b8IO38NDvqP9ULAllFbwM
49,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,59,4148,4,4hQ6UGyWQIGJmHSo0J88JW
50,Bad Liar,Imagine Dragons,59,7882,1,2RSHsoi04658QL5xgQVov3
51,no tears left to cry,Ariana Grande,57,4932,1,2qT1uLXPVPzGgFOx4jtEuo
52,Happy Now,Kygo,57,3096,15,14sOS5L36385FJ3OL8hew4
53,Another One Bites The Dust - Remastered 2011,Queen,56,3070,14,5vdp5UmvTsnMEMESIF2Ym7
54,Flexim Ako Gott,Ego,56,5313,3,3OQVYq5J8poPPdz4bwr4Dr
55,Remind Me to Forget,Kygo,56,2879,10,6xTU6B6nFwKKTSZ9ySXS80
56,Je Mi...,Kali,55,2421,36,6gcZbQA0LYz2hfqMAZny7f
57,Let Me Down Slowly,Alec Benjamin,55,3544,12,2qxmye6gAegTMjLKEBoR3d
58,lovely (with Khalid),Billie Eilish,54,2428,22,0u2P5u6lvoDfwTYjAADbn4
59,Naháňame šťastie,Nerieš,54,6223,2,6zgLem6JNcBrSfsSyOmc0O
60,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,54,3444,13,5JEx7HbmvHQQswJCsoo9rA
61,Lepšia Pesnička,DMS,53,6131,2,6ntmdHcXnxQFnjFhgaInIV
62,Gauč Storytelling,Gleb,53,5389,4,0NVocBNVd5KHLcRssFWmTv
63,Zlatí a Zároveň Kanál,DMS,53,5062,3,5N3u2S8O3cm6F23FNGGPwi
64,Wow.,Post Malone,53,6277,1,2ve5NyzWHUbIYxL33goCX7
65,Moonlight,XXXTENTACION,52,4683,4,0JP9xo3adEtGSdUEISiszL
66,YYASMIN,Zayo,52,5457,4,37707WWKlfDSxYbmOEDZtF
67,Feel It Still,Portugal. The Man,51,2704,11,6QgjcU0zLnzq5OrUoSZ3OK
68,High On Life (feat. Bonn),Martin Garrix,51,2797,33,4ut5G4rgB1ClpMTMfjoIuy
69,Under Pressure - Remastered,Queen,50,2324,30,2fuCquhmrzHpu5xcA1ci9x
70,7 rings,Ariana Grande,50,9270,1,14msK75pk3pA33pzPVNtBF
71,Always Remember Us This Way,Lady Gaga,50,3983,6,2rbDhOo9Fh61Bbu23T2qCk
72,Someone You Loved,Lewis Capaldi,50,5196,7,2TIlqbIneP0ZY1O0EzYLlc
73,Blah Blah Blah,Armin van Buuren,48,3092,11,0tp6mwUt99QnfY95T30Lqj
74,Promises (with Sam Smith),Calvin Harris,48,4974,4,5N5k9nd479b1xpDZ4usjrg
75,I Got Love,MiyaGi & Endspiel,47,1597,111,5rwsJbBNa8SfPW4oFA1GjP
76,bury a friend,Billie Eilish,47,8722,2,4NzMOnvSJVNKF7nw5NkXIP
77,God's Plan,Drake,47,4673,2,2VWbHHhWnMzKWPUs4IEEW9
78,Polaroid,Jonas Blue,47,1685,65,1wsLHgXJ4SKIfd5ePSX1hD
79,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,46,2556,17,5AEtlRudpgdT5FtNiuly6Y
