,Track Name,Artist,Count,Streams,Position,spotify_id
0,Me Rehúso,Danny Ocean,154,7675,1,6De0lHrwBfPfrhorm9q1Xl
1,Otra vez (feat. J Balvin),Zion & Lennox,154,5149,3,3QwBODjSEzelZyVjxPOHdq
2,Shape of You,Ed Sheeran,154,7772,2,7qiZfU4dY1lWllzX7mPBI3
3,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,154,4883,6,5q2JbCNi4FcnglgPfxcV65
4,Believer,Imagine Dragons,148,2548,25,0CcQNd8CINkwQfe1RDtGV6
5,Closer (feat. Halsey),The Chainsmokers,147,4285,5,7BKLCZ1jbUBVqRi2FVlTVw
6,Perfect,Ed Sheeran,135,3174,26,0tgVpDi06FyKpA1z0VMD4v
7,Thunder,Imagine Dragons,133,3078,16,0tKcYR2II1VCQWT79i5NrW
8,Faded,Alan Walker,126,1861,42,698ItKASDavgwZ3WjaWjtz
9,Una Lady Como Tú,Manuel Turizo,121,7285,2,5jf0PmPCHefQ78uAzqIqbj
10,Something Just Like This,The Chainsmokers,119,5022,6,6RUKPb4LETWmmr3iAEQktW
11,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,118,3023,17,2FrnTVSHjgnEylKGdHRUK1
12,Let Me Love You,DJ Snake,117,3951,6,0lYBSQXN6rCTvUZvg9S0lU
13,New Rules,Dua Lipa,116,3622,14,2ekn2ttSfGqwhhate0LSR0
14,Robarte un Beso,Carlos Vives,115,6044,1,0JcNysfWVWaMS7R6vzGB2k
15,Scared to Be Lonely,Martin Garrix,115,3078,18,0KR2W3St74th8z3LS94Ffh
16,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,113,8764,1,1j6xOGusnyXq3l6IryKF3G
17,Besos En Guerra,Morat,109,3408,28,1d0c62VFYauOOgxZ2eFUxx
18,Caraluna,Bacilos,108,3600,54,7DhYjNLksXZhbRQeheAums
19,El Color de Tus Ojos,Banda Sinaloense MS de Sergio Lizárraga,105,2393,49,1l77YWrGUp3qX3NS1rz7lq
20,The Scientist,Coldplay,99,1682,91,75JFxkI2RXiU7L9VXzMkle
21,No Hay Nadie Más,Sebastian Yatra,99,3039,23,3IPJg1sdqLj12kFIndaonN
22,Ahora Dice,Chris Jeday,96,6040,4,22eADXu8DfOAUEDw4vU8qy
23,La player (Bandolera),Zion & Lennox,95,7866,2,0VKkyBKCXyR99navhVRqcP
24,Se Preparó,Ozuna,93,6146,2,1m69ELEgE6k5ZWsap40ozt
25,Thinking out Loud,Ed Sheeran,91,1409,54,1Slwb6dOYkBlWal1PGtnNg
26,Te Boté - Remix,Nio Garcia,89,9995,1,3V8UKqhEK5zBkBb6d6ub8i
27,IDGAF,Dua Lipa,88,3197,20,76cy1WJvNGJTj78UqeA5zr
