,Track Name,Artist,Count,Streams,Position,spotify_id
0,I Like Me Better,Lauv,121,9982,18,1wjzFQodRWrPcQ0AnYnvQ9
1,เป็นทุกอย่าง,Room 39,117,9454,29,09zqmrjQokoAfQJ1WeLkFK
2,As If It's Your Last,BLACKPINK,111,9313,38,1Zyd6zQnC6XIIzmg3hP7Ot
3,Paris in the Rain,Lauv,111,9764,17,0RGUIOZtmOXTWOy5EjvQbP
4,ลืมไปก่อน,Buddha Bless,110,7634,88,4FqihJCXbisi7QYobU7ff6
5,เจ็บจนไม่เข้าใจ,PORTRAIT,109,8904,46,4URCEQmgwuwaHiySIqGmIa
6,PLEASE,Atom Chanakan,107,8697,86,60hF3gZXQ33xdAXXk6tE1x
7,Perfect,Ed Sheeran,106,9707,1,0tgVpDi06FyKpA1z0VMD4v
8,ฝืนตัวเองไม่เป็น,Non Tanon,102,6823,31,0FlZM6SFefxfXzX68IpVxb
9,พอจะรู้,MEYOU,101,9094,20,4p4SOBQ0fxHYluEcba6Xrq
10,พบกันใหม่,Polycat,101,9984,67,4IKn1t0eZZzF5mji1vraVI
11,ภาพจำ,Pop Pongkool,95,9652,1,4YRpjJaJpiI36HM36Dn5lS
12,Too Good At Goodbyes,Sam Smith,92,9115,1,1mXVgsBdtIVeCLJnSnmtdV
13,Day 1 ◑,HONNE,92,9982,9,6ZzYETKetIfNUsZUb23jgG
14,หมอกร้าย feat. Fongbeer and Kob the X factor,Lipta,91,9439,3,0EYgFMIXhjcFgX6xe2NY9v
15,Photograph,Ed Sheeran,91,5123,55,6fxVffaTuwjgEk5h9QyRjy
16,Shape of You,Ed Sheeran,89,6330,8,7qiZfU4dY1lWllzX7mPBI3
17,2002,Anne-Marie,89,9969,14,2BgEsaKNfHUdlh97KmvFyo
18,Young Dumb & Broke,Khalid,88,5739,10,5Z3GHaZ6ec9bsiI5BenrbY
19,LOVE SCENARIO,iKON,87,8353,32,6qAzAmPBUpGrk7XADZHR5k
20,คนที่ไม่ใช่,O-Pavee,87,9841,7,76rs0Apd4Ct5LwJm8pB6r1
21,Closer (feat. Halsey),The Chainsmokers,87,4323,37,7BKLCZ1jbUBVqRi2FVlTVw
22,พอ,Atom Chanakan,87,8174,25,72KOmS4Af9IEFsT87TK1VQ
23,หมายความว่าอะไร,MEAN,84,9019,53,63rLjQUFTxemPqACev1by7
24,ไวน์,Max Jenmana,84,7630,86,00Hj710RrsLX5s9bothwlW
25,PLAYING WITH FIRE - KR Ver.,BLACKPINK,83,8448,63,5OepnJhqZoyJN8qWo2LZzy
26,รอยยิ้ม,Scrubb,83,8314,93,4acvfSY2byUOWNhjdtitqP
27,Attention,Charlie Puth,83,5584,11,4iLqG9SeJSnt0cSPICSjxv
28,ยังไม่รู้,Better Weather,81,9968,75,2OQQPlUlrSKu2nOPMwTS2c
29,New Rules,Dua Lipa,79,7129,5,2ekn2ttSfGqwhhate0LSR0
30,Best Part (feat. Daniel Caesar),H.E.R.,79,9950,42,4OBZT9EnhYIV17t4pGw7ig
31,Bad Boy,Red Velvet,78,9541,2,5GKwq4sO5ZHKuWaDmdwMQc
32,มีผลต่อหัวใจ,Non Tanon,78,9975,3,5lxItfla07vroV2vuGwe75
33,Good Luck feat. Maiyarap,Lipta,77,9891,7,3tMbwbZpYXGHeg0l45m7Tv
34,ยังคิดถึง...(Same),Marc Tatchapon,77,6743,34,1OlInnJssr9pXY0Ooa0SDT
35,Strawberries & Cigarettes,Troye Sivan,75,9265,7,2z7UKVsBdbA7HFPunDKDP4
36,WHISTLE - KR Ver.,BLACKPINK,74,7632,72,67BbMuItfrHmaNqDxBPF7c
