,Track Name,Artist,Count,Streams,Position,spotify_id
0,Beni Sen İnandır,Pinhani,155,9951,36,1rY4UYyZ3PcuYgWIddkcnL
1,Rüyalarda Buruşmuşum,Adamlar,151,9966,82,4cQSOn9oP0MiM7BgiRngFk
2,Bir Derdim Var,mor ve ötesi,151,9964,31,5oecOcmSEHs7MZiB0NPbFu
3,Affet,Müslüm Gürses,147,9948,5,0ikRchpmFlaqlzLRgu9qWk
4,Cevapsız Sorular,maNga,145,9914,99,03INrUW4VCJpDXKQzNEaKS
5,Ne Farkeder,Yüzyüzeyken Konuşuruz,144,9956,13,23KSyhPMqyUVrrLo300YiW
6,Cambaz,mor ve ötesi,143,9799,79,2fMhwt77wUh3noEuedB3Nt
7,Nilüfer,Müslüm Gürses,141,9930,9,3yYHAwO4K7AYGyPCsObCtl
8,Believer,Imagine Dragons,135,8508,4,0CcQNd8CINkwQfe1RDtGV6
9,Geceler,Ezhel,134,9443,2,0R0o8uOkDz40XsR6uwThfQ
10,366.Gün,Sagopa Kajmer,121,9705,4,1EuFr1JA70TaEzlaSM4ulc
11,Şehrimin Tadı,Ezhel,117,9597,5,5JaXKUIcNxwSuUyD4CsphL
12,Sandal,Yüzyüzeyken Konuşuruz,115,32298,21,2j69gw8fSyTDksf3glQaCH
13,Alo,Ezhel,113,9306,10,3hdXIz9eY9u5QoEUkBs5yN
14,Haydi Gel İçelim,Yüksek Sadakat,113,9934,106,5iloeEnYSKxjR9GSOAgu4D
15,Suspus,Ceza,112,7379,19,1JvUmKSl9Mg6mQnmbjLYyz
16,İmkansızım,Ezhel,111,87662,1,5Y3ZTBwRNrgj3AlXYASvDe
17,Ne Güzel Güldün,Pinhani,110,9833,81,79bKKv3MNqU7jec2IFKw7d
18,Bazen (feat. Emel),Ezhel,110,6806,13,0tIV7NLhfqaCtbdX6zpX6K
19,Lost on You,LP,110,9517,9,3SqvR3HYLlCTYzbDXJ52OC
20,Beni Vur - Akustik,Deniz Tekin,107,9114,21,3CPBzUohQI0fVoFFMSZouO
21,Kupa Kızı Ve Sinek Valesi,Teoman,107,9994,90,0lX83giId8IqjzbZg2tP5B
22,Senden Daha Güzel,Duman,106,9886,86,2sLAykCWyB1VA5hXDjU59T
23,Karma,Şehinşah,105,9920,64,2FLvbfkf8LzH8nk5NS36OU
24,Neyim Var Ki (feat. Sagopa K),Ceza,104,9899,2,09XOVDSIbBxBf6Kr1vGnHf
25,Shape of You,Ed Sheeran,101,92352,1,7qiZfU4dY1lWllzX7mPBI3
26,Hiç Işık Yok,No.1,99,71078,2,0PclukJchjSoghjq6dOhnh
27,Bodrum,Yüzyüzeyken Konuşuruz,99,45901,12,50U7iRDXk72LF0WOZiqRqV
28,Dinle Beni Bi',Yüzyüzeyken Konuşuruz,97,71370,19,11PO9iu6PtpgL1JK4QNUEJ
29,Bu Gece,Ceg,94,37990,33,2DTLzghmLMDNvTYe67ffuD
30,Pavyon (feat. Ezhel),DJ Artz,94,9821,10,1ilFULm3dQtAPMpNIQz5RJ
31,Acının İlacı,Adamlar,94,9638,89,3xegx5QZeKRjlLTUN1xfX1
32,Thunder,Imagine Dragons,91,9982,3,0tKcYR2II1VCQWT79i5NrW
33,Sıfır Sıkıntı,Istanbul Trip,90,35790,17,2gCZGzOm3XP7WlQH0IzmYX
34,Yan Benimle,Sıla,89,8514,9,2LX6XfSqCKBrt2qJngS87z
35,New Rules,Dua Lipa,88,9992,1,2ekn2ttSfGqwhhate0LSR0
36,Yaramızda Kalsın,Onur Can Özcan,87,33371,37,0OTmkHR256dTdFVI7KWoPm
37,Heyecanı Yok,Gazapizm,86,9477,1,4sa0pXDdQkBZ1r5NZWQJyV
38,Olsun,Sertab Erener,85,9991,38,07Af1vF3LFqNrmLC1Yzs0L
39,Angela Merkel,Xir,85,20352,52,1SUA45wCGWq7yyx7Nby58E
40,Starboy,The Weeknd,83,9956,2,5aAx2yezTd8zXrkmtKl66Z
41,Yol,Fikri Karayel,82,38993,57,5b06F0e1Z6hzFMcMrzcCzL
42,Kazıdık Tırnaklarla,Ezhel,81,81571,2,27OWNTEEtJCFVejrh5mqgv
43,Kibir,Contra,81,67779,2,1y2mzrtAcHvmPJlNZUQ78e
44,Sevmemeliyiz,Sena Şener,80,9928,54,2JEOc9AyetyCtLKco6o5p5
45,Kimse Bilmez,Mehmet Güreli,80,9883,84,0tFQm8EGvBrhq23UZtkzHs
46,Bana Öyle Bakma,Teoman,79,9998,88,1ro2RpCboxcjM7iKNqfQO8
47,Esen,Yüzyüzeyken Konuşuruz,78,9903,42,2IBoAGhwtoBwp0RD2kb9Kb
48,Yak Yak Yak,Şehinşah,77,59565,6,4GjIoWGPLf7C8LcjK1UNlS
49,Kime Ne,Khontkar,77,9703,58,2HomWdJV2msBL9XvAnUgiB
50,Ay Tenli Kadın,Ufuk Beydemir,75,99979,1,5CaKpl8JB1FMCbsgh0sgO8
51,Yad Eller,maNga,75,31626,21,0ckzNo4VIOTDNfuqeNIqtW
