,Track Name,Artist,Count,Streams,Position,spotify_id
0,失落沙洲,LaLa Hsu,155,8207,48,4vBoopG4WzohMju1GUmwoi
1,後來的我們,Mayday,155,9991,14,0qepAQsUGIzofBj82iP17C
2,演員,Joker Xue,155,9965,8,6LunoYd3xpZ19sICOXS8Xd
3,光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,155,9940,18,1bkvGbgK4HU8B7Ue4k7O7I
4,Shape of You,Ed Sheeran,155,9159,1,7qiZfU4dY1lWllzX7mPBI3
5,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""",Eric Chou,152,9893,17,2gug6MRv4xQFYi9LA3PJCS
6,不為誰而作的歌,JJ Lin,151,9635,13,0VqSdtXseb9khdZrnYVyM1
7,以後別做朋友,Eric Chou,149,8171,48,7zyYmIdjqqiX6kLryb7QBx
8,Something Just Like This,The Chainsmokers,148,9866,1,6RUKPb4LETWmmr3iAEQktW
9,泡沫,G.E.M.,143,7937,64,2IfSPLPDW6RGosdB5huwAA
10,Closer (feat. Halsey),The Chainsmokers,142,9876,2,7BKLCZ1jbUBVqRi2FVlTVw
11,家家酒,Jia Jia,139,9692,19,6cqG6uyhuGDqsRyBwFrzxJ
12,Faded,Alan Walker,135,9501,20,698ItKASDavgwZ3WjaWjtz
13,讓我留在你身邊,Eason Chan,134,9964,18,07MNtfddtgCo6VrUm3O9dw
14,Photograph,Ed Sheeran,129,9871,26,6fxVffaTuwjgEk5h9QyRjy
15,Perfect,Ed Sheeran,124,9882,3,0tgVpDi06FyKpA1z0VMD4v
16,魚仔 - 電視劇<花甲男孩轉大人>主題曲,Crowd Lu,118,9830,1,2sb6AZQLeoD3VgA4zglQB6
17,猜不透,Della,118,8310,65,2X2PpBmMlVnpLJOeurbLyp
18,可惜沒如果,JJ Lin,118,6020,49,6WoQzK5Exbfcmow1AoNRkl
19,說散就散,JC 陳泳彤,116,9871,29,35fpQiijFocukVyzHCjhCn
20,她說,JJ Lin,116,6690,79,632VyMrvhsHIsO4zq9khts
21,你啊你啊 - 電視劇「用九柑仔店」插曲,Waa Wei,112,9948,25,4nyO1azSuhT5JrETvzEahs
22,追光者 - 電視劇夏至未至插曲,Yoyo Sham,112,9926,16,66LKcDWIHdqWEaviZhcMTx
23,那些你很冒險的夢,JJ Lin,112,8940,72,5kZDxLcbqglZ2yYXg4Mkjc
24,青春住了誰,Rainie Yang,112,9666,40,0JddqUycMUJv6IoOzwUCVG
25,人質,A-Mei Chang,110,7178,54,6OAUhxFZzaRHHC8XiuIkvb
