,Track Name,Artist,Count,Streams,Position,spotify_id
0,Shape of You,Ed Sheeran,149,9984,2,7qiZfU4dY1lWllzX7mPBI3
1,Me Rehúso,Danny Ocean,131,9915,2,6De0lHrwBfPfrhorm9q1Xl
2,Perfect,Ed Sheeran,126,6403,32,0tgVpDi06FyKpA1z0VMD4v
3,Creo,Callejeros,122,2261,99,5Bi9Cq5oVFy1OtUgecbegZ
4,Una Nueva Noche Fría,Callejeros,112,2258,115,39KmBOGkD1ztCbVeo2uspA
5,Besos En Guerra,Morat,111,4596,38,1d0c62VFYauOOgxZ2eFUxx
6,Thinking out Loud,Ed Sheeran,109,5054,44,1Slwb6dOYkBlWal1PGtnNg
7,Piel a Piel,Dame 5,108,9775,5,2q3B7GLCEA4uYvuo2g5P82
8,Photograph,Ed Sheeran,102,3860,57,6fxVffaTuwjgEk5h9QyRjy
9,Zafar,La Vela Puerca,98,2765,101,0ZYcjnsXrs7BxWGnU0uVeV
10,Believer,Imagine Dragons,96,2135,78,0CcQNd8CINkwQfe1RDtGV6
11,Maldición,Once Tiros,95,2191,106,34BMzIFvpIgacpqUvuNpOT
12,Otra vez (feat. J Balvin),Zion & Lennox,90,9704,6,3QwBODjSEzelZyVjxPOHdq
13,Nunca quise,Intoxicados,88,2042,103,0ZAJ660VP57lLK4U7NlGOy
14,Robarte un Beso,Carlos Vives,88,9802,7,0JcNysfWVWaMS7R6vzGB2k
15,Chau,No Te Va Gustar,87,2983,82,1984D5gJLsxAkZaF5fSdGG
16,A las Nueve,No Te Va Gustar,87,1936,98,0uuEqOyKlABOB7hzWKcEeG
17,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,87,9040,3,1j6xOGusnyXq3l6IryKF3G
18,New Rules,Dua Lipa,86,5884,31,2ekn2ttSfGqwhhate0LSR0
19,Traicionera,Sebastian Yatra,85,7542,10,4Ft0391aLVNtCPPseh98lp
20,Felices los 4,Maluma,85,9894,1,0qYTZCo5Bwh1nsUFGZP3zn
21,Criminal,Natti Natasha,82,9078,1,2SmgFAhQkQCQPyBiBxR6Te
22,Cuando Nadie Ve,Morat,82,5373,31,1Cxd4ZJJ9VOQQpNcpdcZEQ
