,Track Name,Artist,Count,Streams,Position,spotify_id
0,Ngày Mai Em Đi,Lê Hiếu,90,4676,11,0ZP4bO2ywAv44HiEzzHaq5
1,Muon Mang La Tu Luc,Mỹ Tâm,90,4312,8,249fiLJ8fFXYLL4NNjjgXT
2,Lạ Lùng,Vũ.,90,8465,17,1ayp8veQBb6NRZepn7ENm6
3,Shape of You,Ed Sheeran,90,3654,21,7qiZfU4dY1lWllzX7mPBI3
4,Attention,Charlie Puth,90,3819,10,4iLqG9SeJSnt0cSPICSjxv
5,Nguoi Hay Quen Em DI,Mỹ Tâm,90,6842,1,6XJsQ5nqCu8RUv9pv1iz1x
6,Perfect,Ed Sheeran,90,4109,28,0tgVpDi06FyKpA1z0VMD4v
7,Havana (feat. Young Thug),Camila Cabello,90,3858,8,1rfofaqEpACxVEHIZBJe6W
8,FRIENDS,Marshmello,90,4504,4,08bNPGLD8AhKpnnERrAc6G
9,Neu Anh Di,Mỹ Tâm,89,3722,12,2me4nvwIdLsSXA5omarKq5
10,Wolves,Selena Gomez,89,3113,23,0tBbt8CrmxbjRP0pueQkyU
11,2002,Anne-Marie,87,8212,24,2BgEsaKNfHUdlh97KmvFyo
12,The Middle,Zedd,85,4453,5,09IStsImFySgyp0pIQdqAc
13,Bùa Yêu,Bich Phuong,85,9639,1,1ZrADntHAYV84R2y1Op3Eg
14,Too Good At Goodbyes,Sam Smith,85,3727,31,1mXVgsBdtIVeCLJnSnmtdV
15,Girls Like You (feat. Cardi B),Maroon 5,83,6278,2,6FRLCMO5TUHTexlWo8ym1W
16,Let Me Down Slowly,Alec Benjamin,81,9984,2,2qxmye6gAegTMjLKEBoR3d
17,I'm a Mess,Bebe Rexha,79,4439,18,04ZTP5KsCypmtCmQg5tH9R
18,All Falls Down (feat. Juliander),Alan Walker,79,4186,8,1HvCFAUIWQsWV9zud3UhDl
19,FAKE LOVE,BTS,78,9042,1,3aW0ds4A4tSQDIp75FqWTo
20,Closer (feat. Halsey),The Chainsmokers,78,3150,72,7BKLCZ1jbUBVqRi2FVlTVw
21,Vai Lan Don Dua,Soobin Hoang Son,77,3005,65,6hUpxEKFSjS8metuA1yxlf
22,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,77,3900,2,4hQ6UGyWQIGJmHSo0J88JW
